Country,population_growth_rate
Afghanistan,"
      2.471%"
Albania,"
      0.249%"
Algeria,"
      1.177%"
American Samoa,"
      1.212%"
Andorra,"
      0.382%"
Angola,"
      2.063%"
Anguilla,"
      2.215%"
Antigua and Barbuda,"
      1.3%"
Argentina,"
      1.036%"
Armenia,"
      0.016%"
Aruba,"
      1.457%"
Australia,"
      1.171%"
Austria,"
      0.042%"
Azerbaijan,"
      0.805%"
"Bahamas, The","
      0.935%"
Bahrain,"
      1.243%"
Bangladesh,"
      1.55%"
Barbados,"
      0.374%"
Belarus,"
      -0.368%"
Belgium,"
      0.082%"
Belize,"
      2.102%"
Benin,"
      2.944%"
Bermuda,"
      0.62%"
Bhutan,"
      1.236%"
Bolivia,"
      1.72%"
Bosnia and Herzegovina,"
      0.016%"
Botswana,"
      1.843%"
Brazil,"
      1.166%"
British Virgin Islands,"
      1.784%"
Brunei,"
      1.733%"
Bulgaria,"
      -0.768%"
Burkina Faso,"
      3.095%"
Burma,"
      1.096%"
Burundi,"
      3.561%"
Cambodia,"
      1.705%"
Cameroon,"
      2.157%"
Canada,"
      0.804%"
Cape Verde,"
      1.459%"
Cayman Islands,"
      2.338%"
Central African Republic,"
      2.149%"
Chad,"
      2.038%"
Chile,"
      0.856%"
China,"
      0.494%"
Christmas Island,"
      0%"
Cocos (Keeling) Islands,"
      0%"
Colombia,"
      1.184%"
Comoros,"
      2.731%"
"Congo, Democratic Republic of the","
      3.165%"
"Congo, Republic of the","
      2.807%"
Cook Islands,"
      -3.256%"
Costa Rica,"
      1.347%"
Cote d'Ivoire,"
      2.105%"
Croatia,"
      -0.061%"
Cuba,"
      0.217%"
Curacao,
Cyprus,"
      1.663%"
Czech Republic,"
      -0.106%"
Denmark,"
      0.267%"
Djibouti,"
      2.181%"
Dominica,"
      0.213%"
Dominican Republic,"
      1.357%"
Ecuador,"
      1.466%"
Egypt,"
      1.997%"
El Salvador,"
      0.332%"
Equatorial Guinea,"
      2.674%"
Eritrea,"
      2.522%"
Estonia,"
      -0.635%"
Ethiopia,"
      3.202%"
European Union,"
      0.098 %"
Falkland Islands (Islas Malvinas),"
      0.011%"
Faroe Islands,"
      0.424%"
Fiji,"
      0.827%"
Finland,"
      0.084%"
France,"
      0.525%"
French Polynesia,"
      1.355%"
Gabon,"
      2.025%"
"Gambia, The","
      2.528%"
Gaza Strip,"
      3.29%"
Georgia,"
      -0.325%"
Germany,"
      -0.061%"
Ghana,"
      1.855%"
Gibraltar,"
      0.27%"
Greece,"
      0.106%"
Greenland,"
      0.064%"
Grenada,"
      0.563%"
Guam,"
      1.346%"
Guatemala,"
      2.019%"
Guernsey,"
      0.466%"
Guinea,"
      2.649%"
Guinea-Bissau,"
      2.004%"
Guyana,"
      -0.547%"
Haiti,"
      0.787%"
Holy See (Vatican City),"
      0.004%"
Honduras,"
      1.935%"
Hong Kong,"
      0.476%"
Hungary,"
      -0.156%"
Iceland,"
      0.699%"
India,"
      1.376%"
Indonesia,"
      1.097%"
Iran,"
      1.253%"
Iraq,"
      2.449%"
Ireland,"
      1.007%"
Isle of Man,"
      0.968%"
Israel,"
      1.628%"
Italy,"
      -0.075%"
Jamaica,"
      0.747%"
Japan,"
      -0.242%"
Jersey,"
      0.86%"
Jordan,"
      2.159%"
Kazakhstan,"
      0.399%"
Kenya,"
      2.588%"
Kiribati,"
      1.271%"
"Korea, North","
      0.389%"
"Korea, South","
      0.258%"
Kuwait,"
      3.501%"
Kyrgyzstan,"
      1.414%"
Laos,"
      1.712%"
Latvia,"
      -0.602%"
Lebanon,"
      0.621%"
Lesotho,"
      0.277%"
Liberia,"
      2.782%"
Libya,"
      2.117%"
Liechtenstein,"
      0.683%"
Lithuania,"
      -0.276%"
Luxembourg,"
      1.158%"
Macau,"
      0.89%"
Macedonia,"
      0.257%"
Madagascar,"
      2.993%"
Malawi,"
      2.758%"
Malaysia,"
      1.609%"
Maldives,"
      -0.178%"
Mali,"
      2.607%"
Malta,"
      0.391%"
Marshall Islands,"
      2.023%"
Mauritania,"
      2.373%"
Mauritius,"
      0.751%"
Mayotte,"
      3.171%"
Mexico,"
      1.118%"
"Micronesia, Federated States of","
      -0.284%"
Moldova,"
      -0.072%"
Monaco,"
      -0.183%"
Mongolia,"
      1.495%"
Montenegro,"
      -0.777%"
Montserrat,"
      0.391%"
Morocco,"
      1.077%"
Mozambique,"
      1.797%"
Namibia,"
      0.909%"
Nauru,"
      0.594%"
Nepal,"
      1.419%"
Netherlands,"
      0.39%"
New Caledonia,"
      1.561%"
New Zealand,"
      0.901%"
Nicaragua,"
      1.74%"
Niger,"
      3.66%"
Nigeria,"
      1.966%"
Niue,"
      -0.032%"
Norfolk Island,"
      0.006%"
Northern Mariana Islands,"
      -5.567%"
Norway,"
      0.334%"
Oman,"
      1.996%"
Pakistan,"
      1.589%"
Palau,"
      0.374%"
Panama,"
      1.463%"
Papua New Guinea,"
      2.033%"
Paraguay,"
      1.31%"
Peru,"
      1.193%"
Philippines,"
      1.931%"
Pitcairn Islands,"
      0%"
Poland,"
      -0.053%"
Portugal,"
      0.244%"
Puerto Rico,"
      0.27%"
Qatar,"
      0.869%"
Romania,"
      -0.247%"
Russia,"
      -0.465%"
Rwanda,"
      2.818%"
"Saint Helena, Ascension, and Tristan da Cunha","
      0.404%"
Saint Kitts and Nevis,"
      0.838%"
Saint Lucia,"
      0.398%"
Saint Pierre and Miquelon,"
      -0.909%"
Saint Vincent and the Grenadines,"
      -0.341%"
Samoa,"
      0.605%"
San Marino,"
      1.106%"
Sao Tome and Principe,"
      2.112%"
Saudi Arabia,"
      1.548%"
Senegal,"
      2.579%"
Serbia,"
      -0.469%"
Seychelles,"
      0.966%"
Sierra Leone,"
      2.216%"
Singapore,"
      0.863%"
Sint Maarten,
Slovakia,"
      0.129%"
Slovenia,"
      -0.142%"
Solomon Islands,"
      2.27%"
Somalia,"
      2.809%"
South Africa,"
      -0.051%"
Spain,"
      0.493%"
Sri Lanka,"
      0.863%"
Sudan,"
      2.497%"
Suriname,"
      1.108%"
Svalbard,"
      -0.023%"
Swaziland,"
      1.213%"
Sweden,"
      0.16%"
Switzerland,"
      0.223%"
Syria,"
      1.954%"
Taiwan,"
      0.213%"
Tajikistan,"
      1.852%"
Tanzania,"
      2.032%"
Thailand,"
      0.653%"
Timor-Leste,"
      1.999%"
Togo,"
      2.773%"
Tokelau,"
      -0.011%"
