Country,population_growth_rate
Afghanistan,"
      2.25%"
Albania,"
      0.29%"
Algeria,"
      1.9%"
American Samoa,"
      -0.4%"
Andorra,"
      0.22%"
Angola,"
      2.78%"
Anguilla,"
      2.11%"
Antigua and Barbuda,"
      1.26%"
Argentina,"
      0.98%"
Armenia,"
      0.14%"
Aruba,"
      1.39%"
Australia,"
      1.11%"
Austria,"
      0.02%"
Azerbaijan,"
      1.01%"
"Bahamas, The","
      0.89%"
Bahrain,"
      2.57%"
Bangladesh,"
      1.59%"
Barbados,"
      0.34%"
Belarus,"
      -0.18%"
Belgium,"
      0.05%"
Belize,"
      1.97%"
Benin,"
      2.84%"
Bermuda,"
      0.55%"
Bhutan,"
      1.15%"
Bolivia,"
      1.63%"
Bosnia and Herzegovina,"
      -0.1%"
Botswana,"
      1.35%"
Brazil,"
      0.83%"
British Virgin Islands,"
      2.4%"
Brunei,"
      1.67%"
Bulgaria,"
      -0.81%"
Burkina Faso,"
      3.06%"
Burma,"
      1.05%"
Burundi,"
      3.08%"
Cabo Verde,"
      1.41%"
Cambodia,"
      1.67%"
Cameroon,"
      2.04%"
Canada,"
      0.77%"
Cayman Islands,"
      2.19%"
Central African Republic,"
      2.14%"
Chad,"
      1.95%"
Chile,"
      0.86%"
China,"
      0.46%"
Christmas Island,"
      1.12%"
Cocos (Keeling) Islands,"
      0%"
Colombia,"
      1.1%"
Comoros,"
      1.97%"
"Congo, Democratic Republic of the","
      2.54%"
"Congo, Republic of the","
      2.86%"
Cook Islands,"
      -3.07%"
Costa Rica,"
      1.27%"
Cote d'Ivoire,"
      2%"
Croatia,"
      -0.11%"
Cuba,"
      -0.13%"
Curacao,
Cyprus,"
      1.52%"
Czech Republic,"
      -0.15%"
Denmark,"
      0.23%"
Djibouti,"
      2.26%"
Dominica,"
      0.22%"
Dominican Republic,"
      1.28%"
Ecuador,"
      1.4%"
Egypt,"
      1.88%"
El Salvador,"
      0.29%"
Equatorial Guinea,"
      2.58%"
Eritrea,"
      2.36%"
Estonia,"
      -0.66%"
Ethiopia,"
      2.9%"
European Union,"
      0.21%"
Falkland Islands (Islas Malvinas),"
      0.01%"
Faroe Islands,"
      0.47%"
Fiji,"
      0.73%"
Finland,"
      0.06%"
France,"
      0.47%"
French Polynesia,"
      1%"
Gabon,"
      1.96%"
"Gambia, The","
      2.29%"
Gaza Strip,"
      3.01%"
Georgia,"
      -0.33%"
Germany,"
      -0.19%"
Ghana,"
      2.19%"
Gibraltar,"
      0.26%"
Greece,"
      0.04%"
Greenland,"
      0.03%"
Grenada,"
      0.52%"
Guam,"
      0.34%"
Guatemala,"
      1.91%"
Guernsey,"
      0.38%"
Guinea,"
      2.64%"
Guinea-Bissau,"
      1.95%"
Guyana,"
      -0.21%"
Haiti,"
      0.99%"
Holy See (Vatican City),"
      0%"
Honduras,"
      1.79%"
Hong Kong,"
      0.39%"
Hungary,"
      -0.2%"
Iceland,"
      0.66%"
India,"
      1.28%"
Indonesia,"
      0.99%"
Iran,"
      1.24%"
Iraq,"
      2.29%"
Ireland,"
      1.16%"
Isle of Man,"
      0.84%"
Israel,"
      1.5%"
Italy,"
      0.34%"
Jamaica,"
      0.7%"
Japan,"
      -0.1%"
Jersey,"
      0.82%"
Jordan,"
      0.14%"
Kazakhstan,"
      1.2%"
Kenya,"
      2.27%"
Kiribati,"
      1.21%"
"Korea, North","
      0.53%"
"Korea, South","
      0.18%"
Kuwait,"
      1.79%"
Kyrgyzstan,"
      0.97%"
Laos,"
      1.63%"
Latvia,"
      -0.61%"
Lebanon,"
      -0.04%"
Lesotho,"
      0.34%"
Liberia,"
      2.56%"
Libya,"
      4.85%"
Liechtenstein,"
      0.81%"
Lithuania,"
      -0.28%"
Luxembourg,"
      1.13%"
Macau,"
      0.85%"
Macedonia,"
      0.22%"
Madagascar,"
      2.65%"
Malawi,"
      2.74%"
Malaysia,"
      1.51%"
Maldives,"
      -0.11%"
Mali,"
      3.01%"
Malta,"
      0.34%"
Marshall Islands,"
      1.79%"
Mauritania,"
      2.29%"
Mauritius,"
      0.68%"
Mexico,"
      1.07%"
"Micronesia, Federated States of","
      -0.38%"
Moldova,"
      -1.02%"
Monaco,"
      -0%"
Mongolia,"
      1.44%"
Montenegro,"
      -0.56%"
Montserrat,"
      0.48%"
Morocco,"
      1.04%"
Mozambique,"
      2.44%"
Namibia,"
      0.75%"
Nauru,"
      0.58%"
Nepal,"
      1.81%"
Netherlands,"
      0.44%"
New Caledonia,"
      1.45%"
New Zealand,"
      0.85%"
Nicaragua,"
      1.05%"
Niger,"
      3.32%"
Nigeria,"
      2.54%"
Niue,"
      -0.03%"
Norfolk Island,"
      0.01%"
Northern Mariana Islands,"
      0.09%"
Norway,"
      0.33%"
Oman,"
      2.06%"
Pakistan,"
      1.52%"
Palau,"
      0.37%"
Panama,"
      1.38%"
Papua New Guinea,"
      1.89%"
Paraguay,"
      1.23%"
Peru,"
      1%"
Philippines,"
      1.84%"
Pitcairn Islands,"
      0%"
Poland,"
      -0.09%"
Portugal,"
      0.15%"
Puerto Rico,"
      -0.47%"
Qatar,"
      4.19%"
Romania,"
      -0.27%"
Russia,"
      -0.02%"
Rwanda,"
      2.7%"
"Saint Helena, Ascension, and Tristan da Cunha","
      0.3%"
Saint Kitts and Nevis,"
      0.8%"
Saint Lucia,"
      0.36%"
Saint Pierre and Miquelon,"
      -1.01%"
Saint Vincent and the Grenadines,"
      -0.3%"
Samoa,"
      0.59%"
San Marino,"
      0.93%"
Sao Tome and Principe,"
      1.94%"
Saudi Arabia,"
      1.51%"
Senegal,"
      2.51%"
Serbia,"
      -0.46%"
Seychelles,"
      0.9%"
Sierra Leone,"
      2.3%"
Singapore,"
      1.96%"
Sint Maarten,"
      1.51%"
Slovakia,"
      0.09%"
Slovenia,"
      -0.21%"
Solomon Islands,"
      2.12%"
Somalia,"
      1.67%"
South Africa,"
      -0.45%"
South Sudan,"
      4.23%"
Spain,"
      0.73%"
Sri Lanka,"
      0.89%"
Sudan,"
      1.83%"
Suriname,"
      1.15%"
Svalbard,"
      -0.03%"
Swaziland,"
      1.17%"
Sweden,"
      0.18%"
Switzerland,"
      0.85%"
Syria,"
      0.15%"
Taiwan,"
      0.27%"
Tajikistan,"
      1.79%"
Tanzania,"
      2.82%"
Thailand,"
      0.52%"
Timor-Leste,"
      2.47%"
Togo,"
      2.73%"
Tokelau,"
      -0.01%"
Tonga,"
      0.14%"
Trinidad and Tobago,"
      -0.09%"
Tunisia,"
      0.95%"
Turkey,"
      1.16%"
Turkmenistan,"
      1.15%"
Turks and Caicos Islands,"
      2.87%"
Tuvalu,"
      0.77%"
Uganda,"
      3.32%"
Ukraine,"
      -0.63%"
United Arab Emirates,"
      2.87%"
United Kingdom,"
      0.55%"
United States,"
      0.9%"
Uruguay,"
      0.25%"
Uzbekistan,"
      0.94%"
Vanuatu,"
      2.06%"
Venezuela,"
      1.44%"
Vietnam,"
      1.03%"
Virgin Islands,"
      -0.53%"
Wallis and Futuna,"
      0.35%"
West Bank,"
      2.03%"
Western Sahara,"
      2.96%"
World,"
      1.1%"
Yemen,"
      2.5%"
Zambia,"
      2.89%"
Zimbabwe,"
      4.38%"
