Country,population_growth_rate
Afghanistan,"
      2.22%"
Albania,"
      0.28%"
Algeria,"
      1.92%"
American Samoa,"
      -0.44%"
Andorra,"
      0.274%"
Angola,"
      2.784%"
Anguilla,"
      2.146%"
Antigua and Barbuda,"
      1.276%"
Argentina,"
      0.997%"
Armenia,"
      0.107%"
Aruba,"
      1.413%"
Australia,"
      1.126%"
Austria,"
      0.026%"
Azerbaijan,"
      1.017%"
"Bahamas, The","
      0.904%"
Bahrain,"
      2.652%"
Bangladesh,"
      1.579%"
Barbados,"
      0.354%"
Belarus,"
      -0.18%"
Belgium,"
      0.061%"
Belize,"
      2.011%"
Benin,"
      2.877%"
Bermuda,"
      0.572%"
Bhutan,"
      1.175%"
Bolivia,"
      1.664%"
Bosnia and Herzegovina,"
      -0.09%"
Botswana,"
      1.477%"
Brazil,"
      0.86%"
British Virgin Islands,"
      2.443%"
Brunei,"
      1.691%"
Bulgaria,"
      -0.796%"
Burkina Faso,"
      3.073%"
Burma,"
      1.07%"
Burundi,"
      3.104%"
Cambodia,"
      1.687%"
Cameroon,"
      2.082%"
Canada,"
      0.784%"
Cape Verde,"
      1.428%"
Cayman Islands,"
      2.239%"
Central African Republic,"
      2.142%"
Chad,"
      1.98%"
Chile,"
      0.88%"
China,"
      0.481%"
Christmas Island,"
      1.136%"
Cocos (Keeling) Islands,"
      0%"
Colombia,"
      1.128%"
Comoros,"
      2.063%"
"Congo, Democratic Republic of the","
      2.579%"
"Congo, Republic of the","
      2.849%"
Cook Islands,"
      -3.136%"
Costa Rica,"
      1.288%"
Cote d'Ivoire,"
      2.044%"
Croatia,"
      -0.092%"
Cuba,"
      -0.115%"
Curacao,
Cyprus,"
      1.571%"
Czech Republic,"
      -0.134%"
Denmark,"
      0.239%"
Djibouti,"
      2.285%"
Dominica,"
      0.216%"
Dominican Republic,"
      1.305%"
Ecuador,"
      1.419%"
Egypt,"
      1.922%"
El Salvador,"
      0.303%"
Equatorial Guinea,"
      2.607%"
Eritrea,"
      2.418%"
Estonia,"
      -0.65%"
Ethiopia,"
      2.9%"
European Union,"
      0.212%"
Falkland Islands (Islas Malvinas),"
      0.011%"
Faroe Islands,"
      0.447%"
Fiji,"
      0.766%"
Finland,"
      0.065%"
France,"
      0.5%"
French Polynesia,"
      1.021%"
Gabon,"
      1.977%"
"Gambia, The","
      2.344%"
Gaza Strip,"
      3.108%"
Georgia,"
      -0.327%"
Germany,"
      -0.2%"
Ghana,"
      2.2%"
Gibraltar,"
      0.265%"
Greece,"
      0.06%"
Greenland,"
      0.038%"
Grenada,"
      0.538%"
Guam,"
      0.24%"
Guatemala,"
      1.948%"
Guernsey,"
      0.41%"
Guinea,"
      2.641%"
Guinea-Bissau,"
      1.971%"
Guyana,"
      -0.327%"
Haiti,"
      0.888%"
Holy See (Vatican City),"
      0.004%"
Honduras,"
      1.838%"
Hong Kong,"
      0.421%"
Hungary,"
      -0.184%"
Iceland,"
      0.674%"
India,"
      1.312%"
Indonesia,"
      1.03%"
Iran,"
      1.247%"
Iraq,"
      2.345%"
Ireland,"
      1.112%"
Isle of Man,"
      0.882%"
Israel,"
      1.541%"
Italy,"
      0.38%"
Jamaica,"
      0.714%"
Japan,"
      -0.077%"
Jersey,"
      0.826%"
Jordan,"
      -0.965%"
Kazakhstan,"
      1.235%"
Kenya,"
      2.444%"
Kiribati,"
      1.228%"
"Korea, North","
      0.535%"
"Korea, South","
      0.204%"
Kuwait,"
      1.883%"
Kyrgyzstan,"
      0.89%"
Laos,"
      1.655%"
Latvia,"
      -0.598%"
Lebanon,"
      -0.38%"
Lesotho,"
      0.332%"
Liberia,"
      2.609%"
Libya,"
      2.007%"
Liechtenstein,"
      0.795%"
Lithuania,"
      -0.278%"
Luxembourg,"
      1.135%"
Macau,"
      0.866%"
Macedonia,"
      0.237%"
Madagascar,"
      2.68%"
Malawi,"
      2.758%"
Malaysia,"
      1.542%"
Maldives,"
      -0.127%"
Mali,"
      3.02%"
Malta,"
      0.359%"
Marshall Islands,"
      1.874%"
Mauritania,"
      2.323%"
Mauritius,"
      0.705%"
Mexico,"
      1.086%"
"Micronesia, Federated States of","
      -0.343%"
Moldova,"
      -1.014%"
Monaco,"
      -0.066%"
Mongolia,"
      1.469%"
Montenegro,"
      -0.633%"
Montserrat,"
      0.484%"
Morocco,"
      1.054%"
Mozambique,"
      2.442%"
Namibia,"
      0.817%"
Nauru,"
      0.608%"
Nepal,"
      1.768%"
Netherlands,"
      0.452%"
New Caledonia,"
      1.489%"
New Zealand,"
      0.863%"
Nicaragua,"
      1.067%"
Niger,"
      3.36%"
Nigeria,"
      2.553%"
Niue,"
      -0.032%"
Norfolk Island,"
      0.006%"
Northern Mariana Islands,"
      -0.96%"
Norway,"
      0.327%"
Oman,"
      2.043%"
Pakistan,"
      1.551%"
Palau,"
      0.361%"
Panama,"
      1.41%"
Papua New Guinea,"
      1.936%"
Paraguay,"
      1.256%"
Peru,"
      1.016%"
Philippines,"
      1.873%"
Pitcairn Islands,"
      0%"
Poland,"
      -0.075%"
Portugal,"
      0.181%"
Puerto Rico,"
      -0.44%"
Qatar,"
      4.93%"
Romania,"
      -0.26%"
Russia,"
      -0.01%"
Rwanda,"
      2.751%"
"Saint Helena, Ascension, and Tristan da Cunha","
      0.349%"
Saint Kitts and Nevis,"
      0.806%"
Saint Lucia,"
      0.378%"
Saint Pierre and Miquelon,"
      -0.978%"
Saint Vincent and the Grenadines,"
      -0.313%"
Samoa,"
      0.596%"
San Marino,"
      0.98%"
Sao Tome and Principe,"
      1.996%"
Saudi Arabia,"
      1.523%"
Senegal,"
      2.532%"
Serbia,"
      -0.464%"
Seychelles,"
      0.922%"
Sierra Leone,"
      2.277%"
Singapore,"
      1.993%"
Sint Maarten,
Slovakia,"
      0.104%"
Slovenia,"
      -0.185%"
Solomon Islands,"
      2.17%"
Somalia,"
      1.596%"
South Africa,"
      -0.412%"
Spain,"
      0.654%"
Sri Lanka,"
      0.913%"
Sudan,"
      1.88%"
Suriname,"
      1.222%"
Svalbard,"
      -0.025%"
Swaziland,"
      1.195%"
Sweden,"
      0.168%"
Switzerland,"
      0.92%"
Syria,"
      -0.797%"
Taiwan,"
      0.29%"
Tajikistan,"
      1.823%"
Tanzania,"
      2.85%"
Thailand,"
      0.543%"
Timor-Leste,"
      2.49%"
Togo,"
      2.748%"
Tokelau,"
      -0.011%"
Tonga,"
      0.192%"
Trinidad and Tobago,"
      -0.086%"
Tunisia,"
      0.964%"
Turkey,"
      1.197%"
Turkmenistan,"
      1.143%"
Turks and Caicos Islands,"
      3.17%"
Tuvalu,"
      0.725%"
Uganda,"
      3.3%"
Ukraine,"
      -0.625%"
United Arab Emirates,"
      3.055%"
United Kingdom,"
      0.553%"
United States,"
      0.9%"
Uruguay,"
      0.24%"
Uzbekistan,"
      0.94%"
Vanuatu,"
      2.12%"
Venezuela,"
      1.468%"
Vietnam,"
      1.054%"
Virgin Islands,"
      -0.5%"
Wallis and Futuna,"
      0.356%"
West Bank,"
      2.063%"
Western Sahara,"
      3.027%"
World,"
      1.096%"
Yemen,"
      2.575%"
Zambia,"
      2.89%"
Zimbabwe,"
      4.357%"
