Country,"unemployment_rate( migrant(s)/1,000 population)"
Afghanistan,40%
Albania,12.5%
Algeria,12.8%
American Samoa,29.8%
Andorra,0%
Angola,NA
Anguilla,8%
Antigua and Barbuda,11%
Argentina,7.9%
Armenia,7.1%
Aruba,6.9%
Australia,4.2%
Austria,3.9%
Azerbaijan,0.9%
"Bahamas, The",7.6%
Bahrain,15%
Bangladesh,2.5%
Barbados,10.7%
Belarus,1.6%
Belgium,7%
Belize,8.1%
Benin,NA
Bermuda,2.1%
Bhutan,2.5%
Bolivia,7.5%
Bosnia and Herzegovina,29%
Botswana,7.5%
Brazil,7.9%
British Virgin Islands,3.6%
Brunei,3.7%
Bulgaria,6.3%
Burkina Faso,77%
Burma,5%
Burundi,NA
Cambodia,3.5%
Cameroon,30%
Canada,6.2%
Cape Verde,21%
Cayman Islands,4.4%
Central African Republic,8%
Chad,NA
Chile,7.8%
China,4%
Cocos (Keeling) Islands,60%
Colombia,11.3%
Comoros,20%
"Congo, Democratic Republic of the",NA
"Congo, Republic of the",NA
Cook Islands,13.1%
Costa Rica,4.9%
Cote d'Ivoire,NA
Croatia,13.7%
Cuba,1.6%
Cyprus,3.6%
Czech Republic,5.4%
Denmark,1.8%
Djibouti,59%
Dominica,23%
Dominican Republic,14.1%
Ecuador,7.3%
Egypt,8.7%
El Salvador,6.9%
Equatorial Guinea,30%
Eritrea,NA
Estonia,5.7%
Ethiopia,NA
European Union,7.2%
Falkland Islands (Islas Malvinas),NA
Faroe Islands,1.4%
Fiji,7.6%
Finland,6.4%
France,7.4%
French Polynesia,11.7%
Gabon,21%
"Gambia, The",NA
Gaza Strip,41.3%
Georgia,13.6%
Germany,7.8%
Ghana,11%
Gibraltar,3%
Greece,7.7%
Greenland,9.3%
Grenada,12.5%
Guam,11.4%
Guatemala,3.2%
Guernsey,0.9%
Guinea,NA
Guinea-Bissau,NA
Guyana,11%
Haiti,NA
Honduras,3.5%
Hong Kong,3.5%
Hungary,7.8%
Iceland,1.6%
India,9.1%
Indonesia,8.4%
Iran,12.5%
Iraq,18.2%
Ireland,6.3%
Isle of Man,1.5%
Israel,6.1%
Italy,6.8%
Jamaica,11%
Japan,4%
Jersey,2.2%
Jordan,12.6%
Kazakhstan,6.6%
Kenya,40%
Kiribati,2%
"Korea, North",NA
"Korea, South",3.2%
Kosovo,40%
Kuwait,2.2%
Kyrgyzstan,18%
Laos,2.4%
Latvia,7.5%
Lebanon,9.2%
Lesotho,45%
Liberia,85%
Libya,30%
Liechtenstein,1.5%
Lithuania,5.8%
Luxembourg,4.4%
Macau,3%
Macedonia,33.8%
Malawi,NA
Malaysia,3.3%
Maldives,14.4%
Mali,30%
Malta,6%
Marshall Islands,36%
Mauritania,30%
Mauritius,7.2%
Mayotte,25.4%
Mexico,4%
"Micronesia, Federated States of",22%
Moldova,1.5%
Monaco,0%
Mongolia,2.8%
Montenegro,14.7%
Montserrat,6%
Morocco,9.5%
Mozambique,21%
Namibia,5%
Nauru,90%
Nepal,46%
Netherlands,4%
Netherlands Antilles,15.5%
New Caledonia,17.1%
New Zealand,4.2%
Nicaragua,5.6%
Niger,NA
Nigeria,4.9%
Niue,12%
Northern Mariana Islands,8%
Norway,2.6%
Oman,15%
Pakistan,13.6%
Palau,4.2%
Panama,5.6%
Papua New Guinea,1.9%
Paraguay,5.4%
Peru,8.1%
Philippines,7.4%
Poland,9.8%
Portugal,7.6%
Puerto Rico,12%
Qatar,0.4%
Romania,4.4%
Russia,6.4%
Rwanda,NA
Saint Helena,14%
Saint Kitts and Nevis,4.5%
Saint Lucia,20%
Saint Pierre and Miquelon,10.3%
Saint Vincent and the Grenadines,15%
Samoa,NA
San Marino,3.1%
Sao Tome and Principe,NA
Saudi Arabia,11.8%
Senegal,48%
Serbia,18.8%
Seychelles,2%
Sierra Leone,NA
Singapore,2.2%
Slovakia,7.7%
Slovenia,6.7%
Solomon Islands,NA
Somalia,NA
South Africa,22.9%
Spain,11.3%
Sri Lanka,5.2%
Sudan,18.7%
Suriname,9.5%
Swaziland,40%
Sweden,6.2%
Switzerland,2.6%
Syria,8.6%
Taiwan,4.1%
Tajikistan,2.3%
Tanzania,NA
Thailand,1.4%
Timor-Leste,20%
Togo,NA
Tokelau,NA
Tonga,13%
Trinidad and Tobago,4.6%
Tunisia,14.1%
Turkey,11%
Turkmenistan,60%
Turks and Caicos Islands,10%
Tuvalu,NA
Uganda,NA
Ukraine,3%
United Arab Emirates,2.4%
United Kingdom,5.6%
United States,5.8%
Uruguay,7.6%
Uzbekistan,1%
Vanuatu,1.7%
Venezuela,7.4%
Vietnam,4.7%
Virgin Islands,6.2%
Wallis and Futuna,15.2%
West Bank,16.3%
Western Sahara,NA
World,30%
Yemen,35%
Zambia,50%
Zimbabwe,80%
