Country,"unemployment_rate( migrant(s)/1,000 population)"
Afghanistan,NA
Albania,14.8%
Algeria,25.4%
American Samoa,6%
Andorra,0%
Angola,NA
Anguilla,8%
Antigua and Barbuda,11%
Argentina,14.8%
Armenia,30%
Aruba,0.6%
Australia,5.1%
Austria,4.4%
Azerbaijan,1.2%
"Bahamas, The",10.2%
Bahrain,15%
Bangladesh,40%
Barbados,10.7%
Belarus,2%
Belgium,12%
Belize,12.9%
Benin,NA
Bermuda,5%
Bhutan,NA
Bolivia,9.2%
Bosnia and Herzegovina,44%
Botswana,23.8%
Brazil,11.5%
British Virgin Islands,3%
Brunei,3.2%
Bulgaria,12.7%
Burkina Faso,NA
Burma,5.2%
Burundi,NA
Cambodia,2.5%
Cameroon,30%
Canada,7%
Cape Verde,21%
Cayman Islands,4.1%
Central African Republic,8%
Chad,NA
Chile,8.5%
China,9.8%
Cocos (Keeling) Islands,60%
Colombia,13.6%
Comoros,20%
"Congo, Democratic Republic of the",NA
"Congo, Republic of the",NA
Cook Islands,13%
Costa Rica,6.6%
Cote d'Ivoire,13%
Croatia,13.8%
Cuba,2.5%
Cyprus,NA
Czech Republic,10.6%
Denmark,6.2%
Djibouti,50%
Dominica,23%
Dominican Republic,17%
East Timor,50%
Ecuador,NA
Egypt,10.9%
El Salvador,NA
Equatorial Guinea,30%
Eritrea,NA
Estonia,9.6%
Ethiopia,NA
European Union,9.5%
Falkland Islands (Islas Malvinas),NA
Faroe Islands,1%
Fiji,7.6%
Finland,8.9%
France,10.1%
French Guiana,22%
French Polynesia,11.8%
Gabon,21%
"Gambia, The",NA
Gaza Strip,50%
Georgia,17%
Germany,10.6%
Ghana,20%
Gibraltar,2%
Greece,10%
Greenland,10%
Grenada,12.5%
Guadeloupe,27.8%
Guam,15%
Guatemala,7.5%
Guernsey,0.5%
Guinea,NA
Guinea-Bissau,NA
Guyana,9.1%
Haiti,NA
Honduras,28.5%
Hong Kong,6.7%
Hungary,5.9%
Iceland,3.1%
India,9.2%
Indonesia,9.2%
Iran,11.2%
Iraq,25%
Ireland,4.3%
Israel,10.7%
Italy,8.6%
Jamaica,15%
Japan,4.7%
Jersey,0.9%
Jordan,15%
Kazakhstan,8%
Kenya,40%
Kiribati,NA
"Korea, North",NA
"Korea, South",3.6%
Kuwait,2.2%
Kyrgyzstan,18%
Laos,5.7%
Latvia,8.8%
Lebanon,18%
Lesotho,45%
Liberia,85%
Libya,30%
Liechtenstein,1.3%
Lithuania,8%
Luxembourg,4.5%
Macau,4.7%
Macedonia,37.7%
Malawi,NA
Malaysia,3%
Maldives,NA
Mali,14.6%
Malta,7%
"Man, Isle of",0.6%
Marshall Islands,30.9%
Martinique,27.2%
Mauritania,20%
Mauritius,10.8%
Mayotte,38%
Mexico,3.2%
"Micronesia, Federated States of",16%
Moldova,8%
Monaco,22%
Mongolia,6.7%
Montserrat,6%
Morocco,12.1%
Mozambique,21%
Namibia,35%
Nauru,90%
Nepal,47%
Netherlands,6%
Netherlands Antilles,15.6%
New Caledonia,19%
New Zealand,4.2%
Nicaragua,7.8%
Niger,NA
Nigeria,NA
Niue,NA
Norfolk Island,0%
Northern Mariana Islands,NA
Norway,4.3%
Oman,15%
Pakistan,8.3%
Palau,2.3%
Panama,12.6%
Papua New Guinea,NA
Paraguay,15.1%
Peru,9.6%
Philippines,11.7%
Pitcairn Islands,NA
Poland,19.5%
Portugal,6.5%
Puerto Rico,12%
Qatar,2.7%
Reunion,36%
Romania,6.3%
Russia,8.3%
Rwanda,NA
Saint Helena,14%
Saint Kitts and Nevis,4.5%
Saint Lucia,20%
Saint Pierre and Miquelon,9.8%
Saint Vincent and the Grenadines,15%
Samoa,NA
San Marino,2.6%
Sao Tome and Principe,NA
Saudi Arabia,25%
Senegal,48%
Serbia and Montenegro,30%
Seychelles,NA
Sierra Leone,NA
Singapore,3.4%
Slovakia,13.1%
Slovenia,6.4%
Solomon Islands,NA
Somalia,NA
South Africa,26.2%
Spain,10.4%
Sri Lanka,7.8%
Sudan,18.7%
Suriname,17%
Swaziland,34%
Sweden,5.6%
Switzerland,3.4%
Syria,20%
Taiwan,4.5%
Tajikistan,40%
Tanzania,NA
Thailand,1.5%
Togo,NA
Tokelau,NA
Tonga,13.3%
Trinidad and Tobago,10.4%
Tunisia,13.8%
Turkey,9.3%
Turkmenistan,60%
Turks and Caicos Islands,10%
Tuvalu,NA
Uganda,NA
Ukraine,3.5%
United Arab Emirates,2.4%
United Kingdom,4.8%
United States,5.5%
Uruguay,13%
Uzbekistan,0.6%
Vanuatu,NA
Venezuela,17.1%
Vietnam,1.9%
Virgin Islands,9.3%
Wallis and Futuna,NA
West Bank,27.2%
Western Sahara,NA
World,NA
Yemen,35%
Zambia,50%
Zimbabwe,70%
