Country,"unemployment_rate( migrant(s)/1,000 population)"
Afghanistan,NA
Albania,15.8%
Algeria,26.2%
American Samoa,6%
Andorra,0%
Angola,NA
Anguilla,6.7%
Antigua and Barbuda,11%
Argentina,17.3%
Armenia,20%
Aruba,0.6%
Australia,6%
Austria,4.4%
Azerbaijan,1.1%
"Bahamas, The",6.9%
Bahrain,15%
Bangladesh,40%
Barbados,10.7%
Belarus,2.1%
Belgium,8.1%
Belize,9.1%
Benin,NA
Bermuda,5%
Bhutan,NA
Bolivia,11.7%
Bosnia and Herzegovina,40%
Botswana,40%
Brazil,12.3%
British Virgin Islands,3%
Brunei,10%
Bulgaria,14.3%
Burkina Faso,NA
Burma,4.2%
Burundi,NA
Cambodia,2.5%
Cameroon,30%
Canada,7.8%
Cape Verde,21%
Cayman Islands,4.1%
Central African Republic,8%
Chad,NA
Chile,8.5%
China,10.1%
Christmas Island,NA
Cocos (Keeling) Islands,60%
Colombia,14.2%
Comoros,20%
"Congo, Democratic Republic of the",NA
"Congo, Republic of the",NA
Cook Islands,13%
Costa Rica,6.7%
Cote d'Ivoire,13%
Croatia,19.5%
Cuba,2.6%
Cyprus,NA
Czech Republic,9.9%
Denmark,6.1%
Djibouti,50%
Dominica,23%
Dominican Republic,16.5%
East Timor,50%
Ecuador,NA
Egypt,9.9%
El Salvador,NA
Equatorial Guinea,30%
Eritrea,NA
Estonia,10.1%
Ethiopia,NA
European Union,9.1%
Falkland Islands (Islas Malvinas),NA
Faroe Islands,1%
Fiji,7.6%
Finland,9%
France,9.7%
French Guiana,22%
French Polynesia,11.8%
Gabon,21%
"Gambia, The",NA
Gaza Strip,50%
Georgia,17%
Germany,10.5%
Ghana,20%
Gibraltar,2%
Greece,9.4%
Greenland,10%
Grenada,12.5%
Guadeloupe,27.8%
Guam,15%
Guatemala,7.5%
Guernsey,0.5%
Guinea,NA
Guinea-Bissau,NA
Guyana,9.1%
Haiti,NA
Honduras,27.5%
Hong Kong,7.9%
Hungary,5.9%
Iceland,3.4%
India,9.5%
Indonesia,8.7%
Iran,15.7%
Iraq,NA
Ireland,4.7%
Israel,10.7%
Italy,8.6%
Jamaica,15.9%
Japan,5.3%
Jersey,0.7%
Jordan,16%
Kazakhstan,8.8%
Kenya,40%
Kiribati,NA
"Korea, North",NA
"Korea, South",3.4%
Kuwait,2.1%
Kyrgyzstan,7.2%
Laos,5.7%
Latvia,8.6%
Lebanon,18%
Lesotho,45%
Liberia,85%
Libya,30%
Liechtenstein,1.3%
Lithuania,10.3%
Luxembourg,3.6%
Macau,6.3%
Macedonia,36.7%
Madagascar,5.9%
Malawi,NA
Malaysia,3.6%
Maldives,NA
Mali,14.6%
Malta,7%
"Man, Isle of",0.7%
Marshall Islands,30.9%
Martinique,27.2%
Mauritania,21%
Mauritius,9.8%
Mayotte,38%
Mexico,3.3%
"Micronesia, Federated States of",16%
Moldova,8%
Monaco,3.1%
Mongolia,4.6%
Montserrat,6%
Morocco,19%
Mozambique,21%
Namibia,35%
Nauru,0%
Nepal,47%
Netherlands,5.3%
Netherlands Antilles,15.6%
New Caledonia,19%
New Zealand,4.7%
Nicaragua,22%
Niger,NA
Nigeria,NA
Niue,NA
Norfolk Island,NA
Northern Mariana Islands,NA
Norway,4.7%
Oman,NA
Pakistan,7.7%
Palau,2.3%
Panama,13.8%
Papua New Guinea,NA
Paraguay,18.5%
Peru,NA
Philippines,11.4%
Pitcairn Islands,NA
Poland,20%
Portugal,6.4%
Puerto Rico,12%
Qatar,2.7%
Reunion,36%
Romania,7.2%
Russia,8.5%
Rwanda,NA
Saint Helena,14%
Saint Kitts and Nevis,4.5%
Saint Lucia,16.5%
Saint Pierre and Miquelon,9.8%
Saint Vincent and the Grenadines,22%
Samoa,NA
San Marino,2.6%
Sao Tome and Principe,NA
Saudi Arabia,25%
Senegal,48%
Serbia and Montenegro,34.5%
Seychelles,NA
Sierra Leone,NA
Singapore,4.8%
Slovakia,15.2%
Slovenia,11.2%
Solomon Islands,NA
Somalia,NA
South Africa,31%
Spain,11.3%
Sri Lanka,8.4%
Sudan,18.7%
Suriname,17%
Swaziland,34%
Sweden,4.9%
Switzerland,3.7%
Syria,20%
Taiwan,5%
Tajikistan,40%
Tanzania,NA
Thailand,2.2%
Togo,NA
Tokelau,NA
Tonga,13.3%
Trinidad and Tobago,10.4%
Tunisia,14.3%
Turkey,10.5%
Turkmenistan,NA
Turks and Caicos Islands,10%
Tuvalu,NA
Uganda,NA
Ukraine,3.7%
United Arab Emirates,2.4%
United Kingdom,5%
United States,6%
Uruguay,16%
Uzbekistan,0.5%
Vanuatu,NA
Venezuela,18%
Vietnam,6.1%
Virgin Islands,9.3%
Wallis and Futuna,NA
West Bank,50%
Western Sahara,NA
World,NA
Yemen,35%
Zambia,50%
Zimbabwe,70%
