Country,"unemployment_rate( migrant(s)/1,000 population)"
Afghanistan,40%
Albania,13.2%
Algeria,11.8%
American Samoa,29.8%
Andorra,0%
Angola,NA
Anguilla,8%
Antigua and Barbuda,11%
Argentina,8.5%
Armenia,7.1%
Aruba,6.9%
Australia,4.4%
Austria,4.4%
Azerbaijan,1%
"Bahamas, The",7.6%
Bahrain,15%
Bangladesh,2.5%
Barbados,10.7%
Belarus,1.6%
Belgium,7.5%
Belize,9.4%
Benin,NA
Bermuda,2.1%
Bhutan,2.5%
Bolivia,7.5%
Bosnia and Herzegovina,45.5%
Botswana,7.5%
Brazil,9.3%
British Virgin Islands,3.6%
Brunei,4%
Bulgaria,7.7%
Burkina Faso,77%
Burma,5.2%
Burundi,NA
Cambodia,2.5%
Cameroon,30%
Canada,6%
Cape Verde,21%
Cayman Islands,4.4%
Central African Republic,8%
Chad,NA
Chile,7%
China,4%
Cocos (Keeling) Islands,60%
Colombia,11.2%
Comoros,20%
"Congo, Democratic Republic of the",NA
"Congo, Republic of the",NA
Cook Islands,13.1%
Costa Rica,4.6%
Cote d'Ivoire,NA
Croatia,11.8%
Cuba,1.8%
Cyprus,3.9%
Czech Republic,6.6%
Denmark,2.8%
Djibouti,59%
Dominica,23%
Dominican Republic,15.6%
Ecuador,8.8%
Egypt,9.1%
El Salvador,6.2%
Equatorial Guinea,30%
Eritrea,NA
Estonia,4.7%
Ethiopia,NA
European Union,8.5%
Falkland Islands (Islas Malvinas),NA
Faroe Islands,2.1%
Fiji,7.6%
Finland,6.9%
France,7.9%
French Polynesia,11.7%
Gabon,21%
"Gambia, The",NA
Gaza Strip,34.8%
Georgia,13.6%
Germany,9%
Ghana,11%
Gibraltar,3%
Greece,8.3%
Greenland,9.3%
Grenada,12.5%
Guam,11.4%
Guatemala,3.2%
Guernsey,0.9%
Guinea,NA
Guinea-Bissau,NA
Guyana,9.1%
Haiti,NA
Honduras,27.8%
Hong Kong,4%
Hungary,7.3%
Iceland,1%
India,7.2%
Indonesia,9.1%
Iran,12%
Iraq,18%
Ireland,4.6%
Isle of Man,1.5%
Israel,7.3%
Italy,6.2%
Jamaica,9.9%
Japan,3.8%
Jersey,2.2%
Jordan,13.5%
Kazakhstan,7.3%
Kenya,40%
Kiribati,2%
"Korea, North",NA
"Korea, South",3.3%
Kosovo,43%
Kuwait,2.2%
Kyrgyzstan,18%
Laos,2.4%
Latvia,5.7%
Lebanon,20%
Lesotho,45%
Liberia,85%
Libya,30%
Liechtenstein,1.3%
Lithuania,3.5%
Luxembourg,4.4%
Macau,3.1%
Macedonia,34.9%
Malawi,NA
Malaysia,3.2%
Maldives,NA
Mali,30%
Malta,6.4%
Marshall Islands,30.9%
Mauritania,20%
Mauritius,8.8%
Mayotte,25.4%
Mexico,3.7%
"Micronesia, Federated States of",22%
Moldova,NA
Monaco,0%
Mongolia,3%
Montenegro,14.7%
Montserrat,6%
Morocco,9.8%
Mozambique,21%
Namibia,5.2%
Nauru,90%
Nepal,42%
Netherlands,4.6%
Netherlands Antilles,17%
New Caledonia,17.1%
New Zealand,3.6%
Nicaragua,4.9%
Niger,NA
Nigeria,4.9%
Niue,12%
Northern Mariana Islands,3.9%
Norway,2.5%
Oman,15%
Pakistan,5.6%
Palau,4.2%
Panama,6.4%
Papua New Guinea,1.9%
Paraguay,5.6%
Peru,6.9%
Philippines,7.3%
Poland,12.8%
Portugal,8%
Puerto Rico,12%
Qatar,0.7%
Romania,4.1%
Russia,6.2%
Rwanda,NA
Saint Helena,14%
Saint Kitts and Nevis,4.5%
Saint Lucia,20%
Saint Pierre and Miquelon,10.3%
Saint Vincent and the Grenadines,15%
Samoa,NA
San Marino,3.8%
Sao Tome and Principe,NA
Saudi Arabia,13%
Senegal,48%
Serbia,18.8%
Seychelles,2%
Sierra Leone,NA
Singapore,2.1%
Slovakia,8.4%
Slovenia,7.7%
Solomon Islands,NA
Somalia,NA
South Africa,24.3%
Spain,8.3%
Sri Lanka,6%
Sudan,18.7%
Suriname,9.5%
Swaziland,40%
Sweden,6.1%
Switzerland,2.8%
Syria,9%
Taiwan,3.9%
Tajikistan,2.4%
Tanzania,NA
Thailand,1.4%
Timor-Leste,50%
Togo,NA
Tokelau,NA
Tonga,13%
Trinidad and Tobago,4.5%
Tunisia,14.1%
Turkey,9.9%
Turkmenistan,60%
Turks and Caicos Islands,10%
Tuvalu,NA
Uganda,NA
Ukraine,2.3%
United Arab Emirates,2.4%
United Kingdom,5.3%
United States,4.6%
Uruguay,9.2%
Uzbekistan,0.8%
Vanuatu,1.7%
Venezuela,8.5%
Vietnam,4.3%
Virgin Islands,6.2%
Wallis and Futuna,15.2%
West Bank,18.6%
Western Sahara,NA
World,30%
Yemen,35%
Zambia,50%
Zimbabwe,80%
