Country,"unemployment_rate( migrant(s)/1,000 population)"
Afghanistan,35%
Albania,13.7%
Algeria,10%
American Samoa,29.8%
Andorra,2.9%
Angola,NA
Anguilla,8%
Antigua and Barbuda,11%
Argentina,7.8%
Armenia,7.1%
Aruba,6.9%
Australia,5.2%
Austria,6.9%
Azerbaijan,1%
"Bahamas, The",7.6%
Bahrain,15%
Bangladesh,5.1%
Barbados,10.7%
Belarus,1%
Belgium,8.3%
Belize,13.1%
Benin,NA
Bermuda,2.1%
Bhutan,4%
Bolivia,7.8%
Bosnia and Herzegovina,43.1%
Botswana,7.5%
Brazil,6.7%
British Virgin Islands,3.6%
Brunei,3.7%
Bulgaria,9.5%
Burkina Faso,77%
Burma,5.7%
Burundi,NA
Cambodia,3.5%
Cameroon,30%
Canada,8%
Cape Verde,21%
Cayman Islands,4%
Central African Republic,8%
Chad,NA
Chile,7.1%
China,6.1%
Cocos (Keeling) Islands,60%
Colombia,11.8%
Comoros,20%
"Congo, Democratic Republic of the",NA
"Congo, Republic of the",NA
Cook Islands,13.1%
Costa Rica,7.3%
Cote d'Ivoire,NA
Croatia,17.6%
Cuba,1.6%
Curacao,10.3%
Cyprus,4.6%
Czech Republic,9%
Denmark,6%
Djibouti,59%
Dominica,23%
Dominican Republic,13.3%
Ecuador,7.6%
Egypt,9%
El Salvador,7.2%
Equatorial Guinea,22.3%
Eritrea,NA
Estonia,16.9%
Ethiopia,NA
European Union,9.6%
Falkland Islands (Islas Malvinas),NA
Faroe Islands,3.9%
Fiji,7.6%
Finland,8.4%
France,9.3%
French Polynesia,11.7%
Gabon,21%
"Gambia, The",NA
Gaza Strip,40%
Georgia,16.4%
Germany,7.1%
Ghana,11%
Gibraltar,3%
Greece,12.5%
Greenland,6.8%
Grenada,12.5%
Guam,11.4%
Guatemala,3.2%
Guernsey,0.9%
Guinea,NA
Guinea-Bissau,NA
Guyana,11%
Haiti,40.6%
Honduras,5.1%
Hong Kong,4.3%
Hungary,11.2%
Iceland,8.1%
India,10%
Indonesia,7.1%
Iran,13.2%
Iraq,15.3%
Ireland,13.6%
Isle of Man,1.8%
Israel,6.7%
Italy,8.4%
Jamaica,12.4%
Japan,5%
Jersey,2.2%
Jordan,12.5%
Kazakhstan,5.8%
Kenya,40%
Kiribati,2%
"Korea, North",NA
"Korea, South",3.7%
Kosovo,45%
Kuwait,2.2%
Kyrgyzstan,18%
Laos,2.5%
Latvia,18.4%
Lebanon,NA
Lesotho,45%
Liberia,85%
Libya,30%
Liechtenstein,1.5%
Lithuania,17.8%
Luxembourg,6%
Macau,2.9%
Macedonia,32%
Malawi,NA
Malaysia,3.4%
Maldives,14.5%
Mali,30%
Malta,6.9%
Marshall Islands,36%
Mauritania,30%
Mauritius,7.8%
Mexico,5.4%
"Micronesia, Federated States of",22%
Moldova,7.5%
Monaco,0%
Mongolia,11.5%
Montenegro,14.7%
Montserrat,6%
Morocco,9.1%
Mozambique,21%
Namibia,51.2%
Nauru,90%
Nepal,46%
Netherlands,5.5%
New Caledonia,17.1%
New Zealand,6.5%
Nicaragua,7.8%
Niger,NA
Nigeria,4.9%
Niue,12%
Northern Mariana Islands,8%
Norway,3.6%
Oman,15%
Pakistan,15.4%
Palau,4.2%
Panama,4.2%
Papua New Guinea,1.8%
Paraguay,7%
Peru,6.6%
Philippines,7.3%
Poland,12.1%
Portugal,10.8%
Puerto Rico,12%
Qatar,0.5%
Romania,6.9%
Russia,7.5%
Rwanda,NA
"Saint Helena, Ascension, and Tristan da Cunha",14%
Saint Kitts and Nevis,4.5%
Saint Lucia,20%
Saint Pierre and Miquelon,10.3%
Saint Vincent and the Grenadines,15%
Samoa,NA
San Marino,3.8%
Sao Tome and Principe,NA
Saudi Arabia,10.8%
Senegal,48%
Serbia,17.2%
Seychelles,2%
Sierra Leone,NA
Singapore,2.2%
Sint Maarten,10.6%
Slovakia,12.5%
Slovenia,10.7%
Solomon Islands,NA
Somalia,NA
South Africa,24.9%
Spain,20.1%
Sri Lanka,5.8%
Sudan,18.7%
Suriname,9.5%
Swaziland,40%
Sweden,8.4%
Switzerland,3.9%
Syria,8.3%
Taiwan,5.2%
Tajikistan,2.2%
Tanzania,NA
Thailand,1%
Timor-Leste,20%
Togo,NA
Tokelau,NA
Tonga,13%
Trinidad and Tobago,6.4%
Tunisia,13%
Turkey,12%
Turkmenistan,60%
Turks and Caicos Islands,10%
Tuvalu,NA
Uganda,NA
Ukraine,8.1%
United Arab Emirates,2.4%
United Kingdom,7.8%
United States,9.6%
Uruguay,6.7%
Uzbekistan,1.1%
Vanuatu,1.7%
Venezuela,8.5%
Vietnam,4.4%
Virgin Islands,6.2%
Wallis and Futuna,15.2%
West Bank,16.5%
Western Sahara,NA
World,8.7%
Yemen,35%
Zambia,14%
Zimbabwe,95%
