Country,"unemployment_rate( migrant(s)/1,000 population)"
Afghanistan,NA
Albania,17%
Algeria,34%
American Samoa,6%
Andorra,0%
Angola,NA
Anguilla,8%
Antigua and Barbuda,7%
Argentina,25%
Armenia,20%
Aruba,0.6%
Australia,6.3%
Austria,4.8%
Azerbaijan,16%
"Bahamas, The",6.9%
Bahrain,15%
Bangladesh,35%
Barbados,10%
Belarus,2.1%
Belgium,7.2%
Belize,11.5%
Benin,NA
Bermuda,4.5%
Bhutan,NA
Bolivia,7.6%
Bosnia and Herzegovina,40%
Botswana,40%
Brazil,6.4%
British Virgin Islands,3%
Brunei,10%
Bulgaria,18%
Burkina Faso,NA
Burma,5.1%
Burundi,NA
Cambodia,2.8%
Cameroon,30%
Canada,7.6%
Cape Verde,21%
Cayman Islands,4.1%
Central African Republic,8%
Chad,NA
Chile,10.1%
China,NA
Christmas Island,NA
Cocos (Keeling) Islands,60%
Colombia,17%
Comoros,20%
"Congo, Democratic Republic of the",NA
"Congo, Republic of the",NA
Cook Islands,13%
Costa Rica,5.2%
Cote d'Ivoire,13%
Croatia,20.2%
Cuba,4.1%
Cyprus,NA
Czech Republic,8.5%
Denmark,5.1%
Djibouti,50%
Dominica,23%
Dominican Republic,15%
East Timor,50%
Ecuador,NA
Egypt,12%
El Salvador,10%
Equatorial Guinea,30%
Eritrea,NA
Estonia,12.4%
Ethiopia,NA
Falkland Islands (Islas Malvinas),NA
Faroe Islands,1%
Fiji,7.6%
Finland,8.5%
France,9.1%
French Guiana,21.4%
French Polynesia,NA
Gabon,21%
"Gambia, The",NA
Gaza Strip,26%
Georgia,17%
Germany,9.8%
Ghana,20%
Gibraltar,13.5%
Greece,10.3%
Greenland,10%
Grenada,11.5%
Guadeloupe,27.8%
Guam,15%
Guatemala,7.5%
Guernsey,0.5%
Guinea,NA
Guinea-Bissau,NA
Guyana,9.1%
Haiti,NA
Honduras,28%
Hong Kong,5.2%
Hungary,5.8%
Iceland,2.8%
India,8.8%
Indonesia,8%
Iran,14%
Iraq,NA
Ireland,4.7%
Israel,10.4%
Italy,9.1%
Jamaica,16%
Japan,5.4%
Jersey,0.7%
Jordan,16%
Kazakhstan,10%
Kenya,40%
Kiribati,NA
"Korea, North",NA
"Korea, South",3.1%
Kuwait,1.8%
Kyrgyzstan,7.2%
Laos,5.7%
Latvia,7.6%
Lebanon,18%
Lesotho,45%
Liberia,70%
Libya,30%
Liechtenstein,1.3%
Lithuania,12.5%
Luxembourg,4.1%
Macau,6.5%
"Macedonia, The Former Yugoslav Republic of",35%
Madagascar,NA
Malawi,NA
Malaysia,3.7%
Maldives,NA
Mali,14.6%
Malta,7%
"Man, Isle of",0.7%
Marshall Islands,30.9%
Martinique,27.2%
Mauritania,21%
Mauritius,8.6%
Mayotte,45%
Mexico,NA
"Micronesia, Federated States of",16%
Moldova,8%
Monaco,3.1%
Mongolia,20%
Montserrat,6%
Morocco,23%
Mozambique,21%
Namibia,30%
Nauru,0%
Nepal,47%
Netherlands,3%
Netherlands Antilles,15%
New Caledonia,19%
New Zealand,5.5%
Nicaragua,23%
Niger,NA
Nigeria,NA
Niue,NA
Norfolk Island,NA
Northern Mariana Islands,NA
Norway,3.9%
Oman,NA
Pakistan,6.3%
Palau,2.3%
Panama,13%
Papua New Guinea,NA
Paraguay,17.8%
Peru,NA
Philippines,10%
Pitcairn Islands,NA
Poland,17%
Portugal,4.7%
Puerto Rico,9.5%
Qatar,2.7%
Reunion,42.8%
Romania,9.1%
Russia,8%
Rwanda,NA
Saint Helena,14%
Saint Kitts and Nevis,4.5%
Saint Lucia,15%
Saint Pierre and Miquelon,9.8%
Saint Vincent and the Grenadines,22%
Samoa,NA
San Marino,2.6%
Sao Tome and Principe,NA
Saudi Arabia,NA
Senegal,48%
Serbia and Montenegro,28%
Seychelles,NA
Sierra Leone,NA
Singapore,4.7%
Slovakia,17.2%
Slovenia,11%
Solomon Islands,NA
Somalia,NA
South Africa,37%
Spain,11.3%
Sri Lanka,7.7%
Sudan,18.7%
Suriname,20%
Swaziland,34%
Sweden,4%
Switzerland,1.9%
Syria,20%
Taiwan,4.5%
Tajikistan,20%
Tanzania,NA
Thailand,3.9%
Togo,NA
Tokelau,NA
Tonga,13.3%
Trinidad and Tobago,11.8%
Tunisia,15.6%
Turkey,10.8%
Turkmenistan,NA
Turks and Caicos Islands,10%
Tuvalu,NA
Uganda,NA
Ukraine,3.6%
United Arab Emirates,NA
United Kingdom,5.2%
United States,5%
Uruguay,15.2%
Uzbekistan,10%
Vanuatu,NA
Venezuela,14.1%
Vietnam,25%
Virgin Islands,4.9%
Wallis and Futuna,NA
West Bank,26%
Western Sahara,NA
World,30%
Yemen,30%
Zambia,50%
Zimbabwe,60%
