Country,"unemployment_rate( migrant(s)/1,000 population)"
Afghanistan,35%
Albania,12.7%
Algeria,9.9%
American Samoa,29.8%
Andorra,7%
Angola,NA
Anguilla,8%
Antigua and Barbuda,11%
Argentina,7.9%
Armenia,7.1%
Aruba,6.9%
Australia,5.1%
Austria,4.6%
Azerbaijan,0.9%
"Bahamas, The",7.6%
Bahrain,15%
Bangladesh,5.1%
Barbados,10.7%
Belarus,1%
Belgium,8.1%
Belize,13.1%
Benin,NA
Bermuda,2.1%
Bhutan,4%
Bolivia,8.3%
Bosnia and Herzegovina,27.2%
Botswana,7.5%
Brazil,7%
British Virgin Islands,3.6%
Brunei,3.7%
Bulgaria,9.5%
Burkina Faso,77%
Burma,5.7%
Burundi,NA
Cambodia,3.5%
Cameroon,30%
Canada,8%
Cape Verde,21%
Cayman Islands,4%
Central African Republic,8%
Chad,NA
Chile,8.7%
China,4.3%
Cocos (Keeling) Islands,60%
Colombia,11.2%
Comoros,20%
"Congo, Democratic Republic of the",NA
"Congo, Republic of the",NA
Cook Islands,13.1%
Costa Rica,6.6%
Cote d'Ivoire,NA
Croatia,17.6%
Cuba,2%
Curacao,10.3%
Cyprus,6%
Czech Republic,9.3%
Denmark,4.2%
Djibouti,59%
Dominica,23%
Dominican Republic,14.2%
Ecuador,7.6%
Egypt,9.7%
El Salvador,7%
Equatorial Guinea,30%
Eritrea,NA
Estonia,13.5%
Ethiopia,NA
European Union,9.5%
Falkland Islands (Islas Malvinas),NA
Faroe Islands,3.9%
Fiji,7.6%
Finland,7.9%
France,9.5%
French Polynesia,11.7%
Gabon,21%
"Gambia, The",NA
Gaza Strip,40%
Georgia,16.4%
Germany,7.1%
Ghana,11%
Gibraltar,3%
Greece,12%
Greenland,6.8%
Grenada,12.5%
Guam,11.4%
Guatemala,3.2%
Guernsey,0.9%
Guinea,NA
Guinea-Bissau,NA
Guyana,11%
Haiti,NA
Honduras,5.1%
Hong Kong,4.6%
Hungary,11.5%
Iceland,8.6%
India,10.8%
Indonesia,7.1%
Iran,14.6%
Iraq,15.3%
Ireland,13.7%
Isle of Man,1.8%
Israel,6.4%
Italy,8.4%
Jamaica,12.9%
Japan,5.2%
Jersey,2.2%
Jordan,13.4%
Kazakhstan,5.5%
Kenya,40%
Kiribati,2%
"Korea, North",NA
"Korea, South",3.7%
Kosovo,16.6%
Kuwait,2.2%
Kyrgyzstan,18%
Laos,2.5%
Latvia,19.1%
Lebanon,NA
Lesotho,45%
Liberia,85%
Libya,30%
Liechtenstein,1.5%
Lithuania,16%
Luxembourg,5.5%
Macau,3.6%
Macedonia,33.1%
Malawi,NA
Malaysia,3.5%
Maldives,14.4%
Mali,30%
Malta,7%
Marshall Islands,36%
Mauritania,30%
Mauritius,7.5%
Mayotte,25.4%
Mexico,5.6%
"Micronesia, Federated States of",22%
Moldova,3.4%
Monaco,0%
Mongolia,2.8%
Montenegro,14.7%
Montserrat,6%
Morocco,9.8%
Mozambique,21%
Namibia,51.2%
Nauru,90%
Nepal,46%
Netherlands,5.5%
New Caledonia,17.1%
New Zealand,6.5%
Nicaragua,8%
Niger,NA
Nigeria,4.9%
Niue,12%
Northern Mariana Islands,8%
Norway,3.7%
Oman,15%
Pakistan,15%
Palau,4.2%
Panama,4.4%
Papua New Guinea,1.8%
Paraguay,6.9%
Peru,6.7%
Philippines,7.5%
Poland,11.8%
Portugal,10.7%
Puerto Rico,12%
Qatar,0.5%
Romania,8.2%
Russia,7.6%
Rwanda,NA
"Saint Helena, Ascension, and Tristan da Cunha",14%
Saint Kitts and Nevis,4.5%
Saint Lucia,20%
Saint Pierre and Miquelon,10.3%
Saint Vincent and the Grenadines,15%
Samoa,NA
San Marino,3.1%
Sao Tome and Principe,NA
Saudi Arabia,10.8%
Senegal,48%
Serbia,17.2%
Seychelles,2%
Sierra Leone,NA
Singapore,2.3%
Sint Maarten,10.6%
Slovakia,12.5%
Slovenia,10.6%
Solomon Islands,NA
Somalia,NA
South Africa,23.3%
Spain,20%
Sri Lanka,5.4%
Sudan,18.7%
Suriname,9.5%
Swaziland,40%
Sweden,8.3%
Switzerland,3.9%
Syria,8.3%
Taiwan,5.2%
Tajikistan,2.2%
Tanzania,NA
Thailand,1.2%
Timor-Leste,20%
Togo,NA
Tokelau,NA
Tonga,13%
Trinidad and Tobago,6.4%
Tunisia,14%
Turkey,12.4%
Turkmenistan,60%
Turks and Caicos Islands,10%
Tuvalu,NA
Uganda,NA
Ukraine,8.4%
United Arab Emirates,2.4%
United Kingdom,7.9%
United States,9.6%
Uruguay,7.4%
Uzbekistan,1.1%
Vanuatu,1.7%
Venezuela,12.1%
Vietnam,6.4%
Virgin Islands,6.2%
Wallis and Futuna,15.2%
West Bank,16.5%
Western Sahara,NA
World,8.8%
Yemen,35%
Zambia,50%
Zimbabwe,95%
