Country,"unemployment_rate( migrant(s)/1,000 population)"
Afghanistan,35%
Albania,13%
Algeria,10.2%
American Samoa,29.8%
Andorra,1.9%
Angola,NA
Anguilla,8%
Antigua and Barbuda,11%
Argentina,7.2%
Armenia,7%
Aruba,6.9%
Australia,5.2%
Austria,4.4%
Azerbaijan,1%
"Bahamas, The",14.2%
Bahrain,15%
Bangladesh,5%
Barbados,11.2%
Belarus,1%
Belgium,7.6%
Belize,13.1%
Benin,NA
Bermuda,2.1%
Bhutan,4%
Bolivia,7.5%
Bosnia and Herzegovina,43.3%
Botswana,7.5%
Brazil,6.2%
British Virgin Islands,3.6%
Brunei,2.7%
Bulgaria,9.9%
Burkina Faso,77%
Burma,5.4%
Burundi,NA
Cambodia,3.5%
Cameroon,30%
Canada,7.3%
Cape Verde,21%
Cayman Islands,4%
Central African Republic,8%
Chad,NA
Chile,6.4%
China,6.4%
Cocos (Keeling) Islands,60%
Colombia,10.3%
Comoros,20%
"Congo, Democratic Republic of the",NA
"Congo, Republic of the",NA
Cook Islands,13.1%
Costa Rica,7.9%
Cote d'Ivoire,NA
Croatia,19%
Cuba,3.6%
Curacao,10.3%
Cyprus,8%
Czech Republic,8.6%
Denmark,6.4%
Djibouti,59%
Dominica,23%
Dominican Republic,14.7%
Ecuador,5.9%
Egypt,12.5%
El Salvador,6.9%
Equatorial Guinea,22.3%
Eritrea,NA
Estonia,11.5%
Ethiopia,NA
European Union,10.5%
Falkland Islands (Islas Malvinas),4.1%
Faroe Islands,6.8%
Fiji,7.6%
Finland,7.3%
France,9.8%
French Polynesia,11.7%
Gabon,21%
"Gambia, The",NA
Gaza Strip,40%
Georgia,16.3%
Germany,6.5%
Ghana,11%
Gibraltar,3%
Greece,24.4%
Greenland,4.9%
Grenada,25%
Guam,11.4%
Guatemala,4.1%
Guernsey,0.9%
Guinea,NA
Guinea-Bissau,NA
Guyana,11%
Haiti,40.6%
Honduras,4.5%
Hong Kong,3.4%
Hungary,11.2%
Iceland,5.6%
India,9.9%
Indonesia,6.7%
Iran,15.5%
Iraq,16%
Ireland,14.6%
Isle of Man,2%
Israel,6.3%
Italy,10.9%
Jamaica,14.2%
Japan,4.4%
Jersey,2.2%
Jordan,12.3%
Kazakhstan,5.3%
Kenya,40%
Kiribati,2%
"Korea, North",NA
"Korea, South",3.8%
Kosovo,45.3%
Kuwait,2.2%
Kyrgyzstan,8.6%
Laos,2.5%
Latvia,14.3%
Lebanon,NA
Lesotho,45%
Liberia,85%
Libya,30%
Liechtenstein,2.8%
Lithuania,15.7%
Luxembourg,4.8%
Macau,2%
Macedonia,31.3%
Malawi,NA
Malaysia,3%
Maldives,28%
Mali,30%
Malta,6.1%
Marshall Islands,36%
Mauritania,30%
Mauritius,8%
Mexico,4.5%
"Micronesia, Federated States of",22%
Moldova,6.9%
Monaco,0%
Mongolia,9%
Montenegro,11.5%
Montserrat,6%
Morocco,8.8%
Mozambique,21%
Namibia,51.2%
Nauru,90%
Nepal,46%
Netherlands,6.8%
New Caledonia,17.1%
New Zealand,6.5%
Nicaragua,7.4%
Niger,NA
Nigeria,23.9%
Niue,12%
Northern Mariana Islands,8%
Norway,3.1%
Oman,15%
Pakistan,5.6%
Palau,4.2%
Panama,4.4%
Papua New Guinea,1.9%
Paraguay,6.9%
Peru,7.7%
Philippines,6.9%
Poland,12.6%
Portugal,15.3%
Puerto Rico,16%
Qatar,0.5%
Romania,4.3%
Russia,6.2%
Rwanda,NA
"Saint Helena, Ascension, and Tristan da Cunha",14%
Saint Kitts and Nevis,4.5%
Saint Lucia,20%
Saint Pierre and Miquelon,10.3%
Saint Vincent and the Grenadines,15%
Samoa,NA
San Marino,5.5%
Sao Tome and Principe,NA
Saudi Arabia,10.7%
Senegal,48%
Serbia,25.9%
Seychelles,2%
Sierra Leone,NA
Singapore,2%
Sint Maarten,10.6%
Slovakia,12.8%
Slovenia,12.3%
Solomon Islands,NA
Somalia,NA
South Africa,24.4%
Spain,24.9%
Sri Lanka,5.1%
Sudan,20%
Suriname,9%
Swaziland,40%
Sweden,7.5%
Switzerland,3%
Syria,18%
Taiwan,4.3%
Tajikistan,2.2%
Tanzania,NA
Thailand,0.9%
Timor-Leste,18.4%
Togo,NA
Tokelau,NA
Tonga,13%
Trinidad and Tobago,6.3%
Tunisia,18.8%
Turkey,9%
Turkmenistan,60%
Turks and Caicos Islands,10%
Tuvalu,NA
Uganda,NA
Ukraine,8.5%
United Arab Emirates,2.4%
United Kingdom,7.8%
United States,8.2%
Uruguay,6.1%
Uzbekistan,1%
Vanuatu,1.7%
Venezuela,8%
Vietnam,4.3%
Virgin Islands,6.2%
Wallis and Futuna,15.2%
West Bank,23%
Western Sahara,NA
World,9.2%
Yemen,35%
Zambia,14%
Zimbabwe,95%
