Country,"unemployment_rate( migrant(s)/1,000 population)"
Afghanistan,40%
Albania,14.3%
Algeria,17.1%
American Samoa,29.8%
Andorra,0%
Angola,NA
Anguilla,8%
Antigua and Barbuda,11%
Argentina,11.6%
Armenia,31.6%
Aruba,6.9%
Australia,5.1%
Austria,5.2%
Azerbaijan,1.1%
"Bahamas, The",10.2%
Bahrain,15%
Bangladesh,2.5%
Barbados,10.7%
Belarus,1.6%
Belgium,8.4%
Belize,12.9%
Benin,NA
Bermuda,2.1%
Bhutan,NA
Bolivia,8%
Bosnia and Herzegovina,45.5%
Botswana,23.8%
Brazil,9.8%
British Virgin Islands,3.6%
Brunei,4.8%
Bulgaria,9.9%
Burkina Faso,NA
Burma,5%
Burundi,NA
Cambodia,2.5%
Cameroon,30%
Canada,6.8%
Cape Verde,21%
Cayman Islands,4.4%
Central African Republic,8%
Chad,NA
Chile,8.1%
China,9%
Cocos (Keeling) Islands,60%
Colombia,11.8%
Comoros,20%
"Congo, Democratic Republic of the",NA
"Congo, Republic of the",NA
Cook Islands,13.1%
Costa Rica,6.6%
Cote d'Ivoire,13%
Croatia,18%
Cuba,1.9%
Cyprus,NA
Czech Republic,7.9%
Denmark,5.7%
Djibouti,50%
Dominica,23%
Dominican Republic,17%
East Timor,50%
Ecuador,10.7%
Egypt,9.5%
El Salvador,6.5%
Equatorial Guinea,30%
Eritrea,NA
Estonia,7.8%
Ethiopia,NA
European Union,9.4%
Falkland Islands (Islas Malvinas),NA
Faroe Islands,1%
Fiji,7.6%
Finland,8.4%
France,9.9%
French Guiana,19.2%
French Polynesia,11.8%
Gabon,21%
"Gambia, The",NA
Gaza Strip,31%
Georgia,12.6%
Germany,11.7%
Ghana,20%
Gibraltar,2%
Greece,9.9%
Greenland,10%
Grenada,12.5%
Guadeloupe,26.9%
Guam,11.4%
Guatemala,7.5%
Guernsey,0.5%
Guinea,NA
Guinea-Bissau,NA
Guyana,9.1%
Haiti,NA
Honduras,28%
Hong Kong,5.5%
Hungary,7.2%
Iceland,2.1%
India,8.9%
Indonesia,11.8%
Iran,11.2%
Iraq,25%
Ireland,4.3%
Isle of Man,0.6%
Israel,9%
Italy,7.7%
Jamaica,11.5%
Japan,4.4%
Jersey,0.9%
Jordan,12.5%
Kazakhstan,8.1%
Kenya,40%
Kiribati,2%
"Korea, North",NA
"Korea, South",3.7%
Kuwait,2.2%
Kyrgyzstan,18%
Laos,2.4%
Latvia,7.5%
Lebanon,18%
Lesotho,45%
Liberia,85%
Libya,30%
Liechtenstein,1.3%
Lithuania,8.2%
Luxembourg,4.5%
Macau,4.1%
Macedonia,37.3%
Malawi,NA
Malaysia,3.6%
Maldives,NA
Mali,14.6%
Malta,7.8%
Marshall Islands,30.9%
Martinique,27.2%
Mauritania,20%
Mauritius,9.6%
Mayotte,32.8%
Mexico,3.6%
"Micronesia, Federated States of",22%
Moldova,NA
Monaco,22%
Mongolia,6.7%
Montenegro,27.7%
Montserrat,6%
Morocco,11%
Mozambique,21%
Namibia,35%
Nauru,90%
Nepal,42%
Netherlands,6.6%
Netherlands Antilles,17%
New Caledonia,17.1%
New Zealand,3.7%
Nicaragua,5.6%
Niger,NA
Nigeria,2.9%
Niue,NA
Norfolk Island,0%
Northern Mariana Islands,NA
Norway,4.6%
Oman,15%
Pakistan,6.6%
Palau,4.2%
Panama,9.8%
Papua New Guinea,2.8%
Paraguay,16%
Peru,7.6%
Philippines,8.7%
Poland,18.2%
Portugal,7.6%
Puerto Rico,12%
Qatar,2.7%
Reunion,31%
Romania,7.7%
Russia,7.6%
Rwanda,NA
Saint Helena,14%
Saint Kitts and Nevis,4.5%
Saint Lucia,20%
Saint Pierre and Miquelon,10.3%
Saint Vincent and the Grenadines,15%
Samoa,NA
San Marino,2.6%
Sao Tome and Principe,NA
Saudi Arabia,13%
Senegal,NA
Serbia,31.6%
Seychelles,NA
Sierra Leone,NA
Singapore,3.1%
Slovakia,16.4%
Slovenia,6.3%
Solomon Islands,NA
Somalia,NA
South Africa,26.6%
Spain,9.2%
Sri Lanka,7.7%
Sudan,18.7%
Suriname,9.5%
Swaziland,40%
Sweden,5.8%
Switzerland,3.8%
Syria,12.3%
Taiwan,4.1%
Tajikistan,12%
Tanzania,NA
Thailand,1.8%
Togo,NA
Tokelau,NA
Tonga,13%
Trinidad and Tobago,8%
Tunisia,14.2%
Turkey,10.2%
Turkmenistan,60%
Turks and Caicos Islands,10%
Tuvalu,NA
Uganda,NA
Ukraine,3.1%
United Arab Emirates,2.4%
United Kingdom,4.7%
United States,5.1%
Uruguay,12.2%
Uzbekistan,0.7%
Vanuatu,NA
Venezuela,12.2%
Vietnam,2.4%
Virgin Islands,6.2%
Wallis and Futuna,NA
West Bank,19.9%
Western Sahara,NA
World,NA
Yemen,35%
Zambia,50%
Zimbabwe,80%
