Country,"unemployment_rate( migrant(s)/1,000 population)"
Afghanistan,NA
Albania,17%
Algeria,31%
American Samoa,6%
Andorra,0%
Angola,NA
Anguilla,6.7%
Antigua and Barbuda,11%
Argentina,21.5%
Armenia,20%
Aruba,0.6%
Australia,6.3%
Austria,4.8%
Azerbaijan,16%
"Bahamas, The",6.9%
Bahrain,15%
Bangladesh,40%
Barbados,10%
Belarus,2.1%
Belgium,7.2%
Belize,9.1%
Benin,NA
Bermuda,4.5%
Bhutan,NA
Bolivia,7.6%
Bosnia and Herzegovina,40%
Botswana,40%
Brazil,6.4%
British Virgin Islands,3%
Brunei,10%
Bulgaria,18%
Burkina Faso,NA
Burma,5.1%
Burundi,NA
Cambodia,2.8%
Cameroon,30%
Canada,7.6%
Cape Verde,21%
Cayman Islands,4.1%
Central African Republic,8%
Chad,NA
Chile,9.2%
China,NA
Christmas Island,NA
Cocos (Keeling) Islands,60%
Colombia,17.4%
Comoros,20%
"Congo, Democratic Republic of the",NA
"Congo, Republic of the",NA
Cook Islands,13%
Costa Rica,6.3%
Cote d'Ivoire,13%
Croatia,21.7%
Cuba,4.1%
Cyprus,NA
Czech Republic,9.8%
Denmark,5.1%
Djibouti,50%
Dominica,23%
Dominican Republic,14.5%
East Timor,50%
Ecuador,NA
Egypt,12%
El Salvador,NA
Equatorial Guinea,30%
Eritrea,NA
Estonia,12.4%
Ethiopia,NA
Falkland Islands (Islas Malvinas),NA
Faroe Islands,1%
Fiji,7.6%
Finland,8.5%
France,9.1%
French Guiana,22%
French Polynesia,11.8%
Gabon,21%
"Gambia, The",NA
Gaza Strip,50%
Georgia,17%
Germany,9.8%
Ghana,20%
Gibraltar,2%
Greece,10.3%
Greenland,10%
Grenada,12.5%
Guadeloupe,27.8%
Guam,15%
Guatemala,7.5%
Guernsey,0.5%
Guinea,NA
Guinea-Bissau,NA
Guyana,9.1%
Haiti,NA
Honduras,28%
Hong Kong,7.5%
Hungary,5.8%
Iceland,2.8%
India,8.8%
Indonesia,10.6%
Iran,16.3%
Iraq,NA
Ireland,4.3%
Israel,10.4%
Italy,9.1%
Jamaica,15.4%
Japan,5.4%
Jersey,0.7%
Jordan,16%
Kazakhstan,8.8%
Kenya,40%
Kiribati,NA
"Korea, North",NA
"Korea, South",3.1%
Kuwait,7%
Kyrgyzstan,7.2%
Laos,5.7%
Latvia,7.6%
Lebanon,18%
Lesotho,45%
Liberia,NA
Libya,30%
Liechtenstein,1.3%
Lithuania,12.5%
Luxembourg,4.1%
Macau,6.3%
"Macedonia, The Former Yugoslav Republic of",37%
Madagascar,5.9%
Malawi,NA
Malaysia,3.8%
Maldives,NA
Mali,14.6%
Malta,7%
"Man, Isle of",0.7%
Marshall Islands,30.9%
Martinique,27.2%
Mauritania,21%
Mauritius,8.8%
Mayotte,38%
Mexico,NA
"Micronesia, Federated States of",16%
Moldova,8%
Monaco,3.1%
Mongolia,20%
Montserrat,6%
Morocco,19%
Mozambique,21%
Namibia,35%
Nauru,0%
Nepal,47%
Netherlands,3%
Netherlands Antilles,15%
New Caledonia,19%
New Zealand,5.3%
Nicaragua,24%
Niger,NA
Nigeria,28%
Niue,NA
Norfolk Island,NA
Northern Mariana Islands,NA
Norway,3.9%
Oman,NA
Pakistan,7.8%
Palau,2.3%
Panama,16%
Papua New Guinea,NA
Paraguay,18.2%
Peru,NA
Philippines,10.2%
Pitcairn Islands,NA
Poland,18.1%
Portugal,4.7%
Puerto Rico,12%
Qatar,2.7%
Reunion,36%
Romania,8.3%
Russia,7.9%
Rwanda,NA
Saint Helena,14%
Saint Kitts and Nevis,4.5%
Saint Lucia,16.5%
Saint Pierre and Miquelon,9.8%
Saint Vincent and the Grenadines,22%
Samoa,NA
San Marino,2.6%
Sao Tome and Principe,NA
Saudi Arabia,25%
Senegal,48%
Serbia and Montenegro,32%
Seychelles,NA
Sierra Leone,NA
Singapore,4.6%
Slovakia,17.2%
Slovenia,11%
Solomon Islands,NA
Somalia,NA
South Africa,37%
Spain,11.3%
Sri Lanka,8%
Sudan,18.7%
Suriname,17%
Swaziland,34%
Sweden,4%
Switzerland,1.9%
Syria,20%
Taiwan,5.2%
Tajikistan,40%
Tanzania,NA
Thailand,2.9%
Togo,NA
Tokelau,NA
Tonga,13.3%
Trinidad and Tobago,10.8%
Tunisia,15.4%
Turkey,10.8%
Turkmenistan,NA
Turks and Caicos Islands,10%
Tuvalu,NA
Uganda,NA
Ukraine,3.8%
United Arab Emirates,NA
United Kingdom,5.2%
United States,5.8%
Uruguay,19.4%
Uzbekistan,10%
Vanuatu,NA
Venezuela,17%
Vietnam,25%
Virgin Islands,4.9%
Wallis and Futuna,NA
West Bank,50%
Western Sahara,NA
World,NA
Yemen,30%
Zambia,50%
Zimbabwe,70%
