Country,"net_migration_rate( migrant(s)/1,000 population)"
Afghanistan,0.0
Albania,-4.54
Algeria,-0.33
American Samoa,-21.21
Andorra,6.42
Angola,2.14
Anguilla,5.12
Antigua and Barbuda,-6.04
Argentina,0.4
Armenia,-5.34
Aruba,10.0
Australia,3.78
Austria,1.91
Azerbaijan,-2.25
"Bahamas, The",-2.15
Bahrain,0.6
Bangladesh,-0.66
Barbados,-0.31
Belarus,0.38
Belgium,1.22
Belize,0.0
Benin,0.58
Bermuda,2.34
Bhutan,0.0
Bolivia,-1.18
Bosnia and Herzegovina,9.65
Botswana,5.49
Brazil,-0.03
British Virgin Islands,8.83
Brunei,2.79
Bulgaria,-3.71
Burkina Faso,0.0
Burma,0.0
Burundi,7.13
Cambodia,0.0
Cameroon,0.0
Canada,5.79
Cape Verde,-11.83
Cayman Islands,17.34
Central African Republic,0.0
Chad,-2.46
Chile,0.0
China,-0.39
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,-0.29
Comoros,0.0
"Congo, Democratic Republic of the",1.28
"Congo, Republic of the",-3.17
Costa Rica,0.48
Cote d'Ivoire,0.0
Croatia,1.58
Cuba,-1.57
Cyprus,0.42
Czech Republic,0.97
Denmark,2.5
Djibouti,0.0
Dominica,-5.47
Dominican Republic,-2.59
Ecuador,-2.16
Egypt,-0.21
El Salvador,-3.54
Equatorial Guinea,0.0
Eritrea,0.0
Estonia,-3.22
Ethiopia,0.0
European Union,1.6
Falkland Islands (Islas Malvinas),NA
Faroe Islands,0.0
Fiji,-2.78
Finland,0.78
France,1.52
French Polynesia,2.81
Gabon,-3.15
"Gambia, The",0.94
Gaza Strip,1.43
Georgia,-4.45
Germany,2.18
Ghana,-0.58
Gibraltar,0.0
Greece,2.34
Greenland,-8.38
Grenada,-11.9
Guam,0.0
Guatemala,-2.31
Guernsey,3.81
Guinea,0.0
Guinea-Bissau,0.0
Guyana,-7.47
Haiti,-0.94
Honduras,-1.36
Hong Kong,4.72
Hungary,0.86
Iceland,1.43
India,-0.05
Indonesia,-1.27
Iran,-4.29
Iraq,0.0
Ireland,4.82
Isle of Man,5.27
Israel,0.0
Italy,2.06
Jamaica,-6.07
Japan,0.0
Jersey,2.74
Jordan,6.11
Kazakhstan,-3.32
Kenya,0.0
Kiribati,0.0
"Korea, North",0.0
"Korea, South",0.0
Kuwait,16.05
Kyrgyzstan,-2.52
Laos,0.0
Latvia,-2.27
Lebanon,0.0
Lesotho,-0.78
Liberia,26.86
Libya,0.0
Liechtenstein,4.73
Lithuania,-0.72
Luxembourg,8.64
Macau,4.42
Macedonia,-0.61
Madagascar,0.0
Malawi,0.0
Malaysia,0.0
Maldives,0.0
Mali,-6.28
Malta,2.04
Marshall Islands,-5.65
Mauritania,0.0
Mauritius,-0.4
Mayotte,3.35
Mexico,-4.08
"Micronesia, Federated States of",-21.02
Moldova,-1.13
Monaco,7.65
Mongolia,0.0
Montserrat,0.0
Morocco,-0.82
Mozambique,0.0
Namibia,0.41
Nauru,0.0
Nepal,0.0
Netherlands,2.63
Netherlands Antilles,-0.4
New Caledonia,0.0
New Zealand,3.43
Nicaragua,-1.15
Niger,-0.59
Nigeria,0.26
Niue,NA
Norfolk Island,NA
Northern Mariana Islands,7.64
Norway,1.72
Oman,0.36
Pakistan,-1.24
Palau,1.39
Panama,-0.37
Papua New Guinea,0.0
Paraguay,-0.08
Peru,-0.99
Philippines,-1.48
Pitcairn Islands,NA
Poland,-0.46
Portugal,3.31
Puerto Rico,-1.09
Qatar,13.12
Romania,-0.13
Russia,0.28
Rwanda,2.41
Saint Helena,0.0
Saint Kitts and Nevis,-3.51
Saint Lucia,-1.28
Saint Pierre and Miquelon,-4.97
Saint Vincent and the Grenadines,-7.58
Samoa,-9.49
San Marino,10.57
Sao Tome and Principe,-2.14
Saudi Arabia,-5.95
Senegal,0.0
Seychelles,-5.25
Sierra Leone,0.15
Singapore,7.98
Slovakia,0.3
Slovenia,0.76
Solomon Islands,0.0
Somalia,0.0
South Africa,-0.08
Spain,0.99
Sri Lanka,-1.16
Sudan,0.35
Suriname,-0.78
Svalbard,NA
Swaziland,0.0
Sweden,1.66
Switzerland,2.66
Syria,0.0
Taiwan,0.61
Tajikistan,-1.33
Tanzania,-1.68
Thailand,0.0
Timor-Leste,0.0
Togo,0.0
Tokelau,NA
Tonga,0.0
Trinidad and Tobago,-11.13
Tunisia,-0.47
Turkey,0.0
Turkmenistan,-3.01
Turks and Caicos Islands,9.98
Tuvalu,0.0
Uganda,0.24
Ukraine,-0.13
United Arab Emirates,26.04
United Kingdom,2.17
United States,3.05
Uruguay,-0.21
Uzbekistan,-1.4
Vanuatu,0.0
Venezuela,-1.28
Vietnam,-0.4
Virgin Islands,-8.8
Wallis and Futuna,NA
West Bank,2.71
Yemen,0.0
Zambia,-2.68
Zimbabwe,0.0
