Country,"net_migration_rate( migrant(s)/1,000 population)"
Afghanistan,3.31
Albania,-3.34
Algeria,-0.27
American Samoa,-6.63
Andorra,0.0
Angola,0.82
Anguilla,13.25
Antigua and Barbuda,2.32
Argentina,0.0
Armenia,-3.76
Aruba,9.42
Australia,6.03
Austria,1.81
Azerbaijan,-1.14
"Bahamas, The",0.0
Bahrain,16.1
Bangladesh,-1.57
Barbados,-0.3
Belarus,0.38
Belgium,1.22
Belize,0.0
Benin,0.0
Bermuda,2.1
Bhutan,0.0
Bolivia,-0.92
Bosnia and Herzegovina,0.0
Botswana,4.82
Brazil,-0.09
British Virgin Islands,7.41
Brunei,2.6
Bulgaria,-2.82
Burkina Faso,0.0
Burma,-0.31
Burundi,3.22
Cambodia,-0.34
Cameroon,0.0
Canada,5.65
Cape Verde,-0.66
Cayman Islands,15.72
Central African Republic,0.0
Chad,-3.84
Chile,0.0
China,-0.33
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,-0.67
Comoros,0.0
"Congo, Democratic Republic of the",-0.54
"Congo, Republic of the",-0.71
Costa Rica,0.87
Cote d'Ivoire,0.0
Croatia,1.55
Cuba,-3.56
Curacao,1.27
Cyprus,11.21
Czech Republic,0.97
Denmark,2.41
Djibouti,5.33
Dominica,-5.43
Dominican Republic,-2.01
Ecuador,-0.52
Egypt,-0.21
El Salvador,-8.95
Equatorial Guinea,0.0
Eritrea,0.0
Estonia,-3.31
Ethiopia,-0.01
European Union,1.48
Falkland Islands (Islas Malvinas),NA
Faroe Islands,0.0
Fiji,-7.24
Finland,0.62
France,1.46
French Polynesia,2.65
Gabon,-2.2
"Gambia, The",-2.58
Gaza Strip,0.0
Georgia,-4.06
Germany,0.54
Ghana,-0.58
Gibraltar,-3.32
Greece,2.32
Greenland,-5.98
Grenada,-3.56
Guam,0.0
Guatemala,-2.12
Guernsey,2.69
Guinea,0.0
Guinea-Bissau,0.0
Guyana,-14.32
Haiti,-8.32
Honduras,-1.25
Hong Kong,4.06
Hungary,1.39
Iceland,0.53
India,-0.05
Indonesia,-1.15
Iran,-0.13
Iraq,0.0
Ireland,0.86
Isle of Man,7.71
Israel,2.08
Italy,4.86
Jamaica,-5.34
Japan,0.0
Jersey,5.03
Jordan,-14.26
Kazakhstan,-3.27
Kenya,0.0
Kiribati,-2.85
"Korea, North",-0.04
"Korea, South",0.0
Kuwait,0.65
Kyrgyzstan,-2.6
Laos,-1.16
Latvia,-2.33
Lebanon,-6.04
Lesotho,-8.42
Liberia,0.0
Libya,0.0
Liechtenstein,4.48
Lithuania,-0.72
Luxembourg,8.24
Macau,3.49
Macedonia,-0.48
Madagascar,0.0
Malawi,0.0
Malaysia,-0.39
Maldives,-12.62
Mali,-5.23
Malta,2.01
Marshall Islands,-5.19
Mauritania,-0.91
Mauritius,0.0
Mexico,-3.24
"Micronesia, Federated States of",-20.99
Moldova,-1.13
Monaco,0.1
Mongolia,0.0
Montserrat,0.0
Morocco,-3.77
Mozambique,-2.18
Namibia,0.2
Nauru,-15.55
Nepal,0.61
Netherlands,2.33
New Caledonia,4.25
New Zealand,2.28
Nicaragua,-3.54
Niger,0.0
Nigeria,-0.1
Niue,NA
Norfolk Island,NA
Northern Mariana Islands,-57.46
Norway,1.7
Oman,-0.48
Pakistan,-2.17
Palau,0.76
Panama,-0.42
Papua New Guinea,0.0
Paraguay,-0.08
Peru,-3.2
Philippines,-1.29
Pitcairn Islands,NA
Poland,-0.47
Portugal,2.98
Puerto Rico,-0.86
Qatar,-4.94
Romania,-0.26
Russia,0.29
Rwanda,1.06
"Saint Helena, Ascension, and Tristan da Cunha",0.0
Saint Kitts and Nevis,1.25
Saint Lucia,-3.73
Saint Pierre and Miquelon,-9.17
Saint Vincent and the Grenadines,-10.92
Samoa,-11.16
San Marino,9.3
Sao Tome and Principe,-9.33
Saudi Arabia,-0.64
Senegal,-1.9
Serbia,0.0
Seychelles,1.03
Sierra Leone,-4.25
Singapore,4.63
Sint Maarten,14.24
Slovakia,0.29
Slovenia,0.39
Solomon Islands,-1.9
Somalia,-11.81
South Africa,-6.19
Spain,3.89
Sri Lanka,-2.16
Sudan,-0.29
Suriname,0.0
Svalbard,NA
Swaziland,0.0
Sweden,1.65
Switzerland,1.29
Syria,-11.18
Taiwan,0.03
Tajikistan,-1.24
Tanzania,-0.53
Thailand,0.0
Timor-Leste,0.0
Togo,0.0
Tokelau,NA
Tonga,-17.94
Trinidad and Tobago,-6.93
Tunisia,-1.79
Turkey,0.51
Turkmenistan,-1.92
Turks and Caicos Islands,20.08
Tuvalu,-7.02
Uganda,-0.02
Ukraine,-0.09
United Arab Emirates,19.0
United Kingdom,2.6
United States,4.18
Uruguay,-1.63
Uzbekistan,-2.74
Vanuatu,0.0
Venezuela,0.0
Vietnam,-0.35
Virgin Islands,-5.04
Wallis and Futuna,-5.72
West Bank,0.0
Yemen,0.0
Zambia,-0.84
Zimbabwe,24.83
