Country,"net_migration_rate( migrant(s)/1,000 population)"
Afghanistan,-1.83
Albania,-3.31
Algeria,-0.93
American Samoa,-21.64
Andorra,0.0
Angola,0.47
Anguilla,12.43
Antigua and Barbuda,2.23
Argentina,0.0
Armenia,-5.88
Aruba,9.04
Australia,5.74
Austria,1.76
Azerbaijan,0.0
"Bahamas, The",0.0
Bahrain,13.6
Bangladesh,-0.02
Barbados,-0.3
Belarus,0.78
Belgium,1.22
Belize,0.0
Benin,0.0
Bermuda,1.92
Bhutan,0.0
Bolivia,-0.69
Bosnia and Herzegovina,-0.38
Botswana,4.62
Brazil,-0.15
British Virgin Islands,17.69
Brunei,2.47
Bulgaria,-2.89
Burkina Faso,0.0
Burma,-0.3
Burundi,0.0
Cabo Verde,-0.64
Cambodia,-0.32
Cameroon,-0.15
Canada,5.66
Cayman Islands,14.71
Central African Republic,0.0
Chad,-3.54
Chile,0.35
China,-0.32
Colombia,-0.65
Comoros,-2.58
"Congo, Democratic Republic of the",-0.33
"Congo, Republic of the",-7.02
Costa Rica,0.84
Cote d'Ivoire,0.0
Croatia,1.43
Cuba,-3.64
Curacao,1.27
Cyprus,9.89
Czech Republic,2.15
Denmark,2.25
Djibouti,6.06
Dominica,-5.39
Dominican Republic,-1.93
Ecuador,-0.13
Egypt,-0.19
El Salvador,-8.44
Equatorial Guinea,0.0
Eritrea,0.0
Estonia,-3.37
Ethiopia,-0.23
European Union,2.22
Falkland Islands (Islas Malvinas),NA
Faroe Islands,0.0
Fiji,-6.86
Finland,0.62
France,1.09
French Polynesia,-0.87
Gabon,-2.07
"Gambia, The",-2.23
Gaza Strip,0.0
Georgia,-3.25
Germany,1.06
Ghana,-2.13
Gibraltar,-3.29
Greece,2.32
Greenland,-5.98
Grenada,-3.24
Guam,-7.61
Guatemala,-2.0
Guernsey,2.4
Guinea,0.0
Guinea-Bissau,0.0
Guyana,-9.67
Haiti,-4.12
Honduras,-1.18
Hong Kong,1.69
Hungary,1.34
Iceland,0.52
India,-0.05
Indonesia,-1.18
Iran,-0.08
Iraq,0.0
Ireland,3.31
Isle of Man,6.84
Israel,1.68
Italy,4.29
Jamaica,-4.83
Japan,0.0
Jersey,4.08
Jordan,17.22
Kazakhstan,0.42
Kenya,-0.22
Kiribati,-2.86
"Korea, North",-0.04
"Korea, South",0.0
Kuwait,-1.11
Kyrgyzstan,-6.16
Laos,-1.1
Latvia,-2.37
Lebanon,83.82
Lesotho,-7.62
Liberia,0.0
Libya,16.01
Liechtenstein,4.72
Lithuania,-0.73
Luxembourg,7.97
Macau,3.4
Macedonia,-0.48
Madagascar,0.0
Malawi,0.25
Malaysia,-0.34
Maldives,-12.67
Mali,-2.33
Malta,1.99
Marshall Islands,-4.92
Mauritania,-0.85
Mauritius,0.0
Mexico,-1.64
"Micronesia, Federated States of",-20.93
Moldova,-9.8
Monaco,2.85
Mongolia,-0.85
Montserrat,0.0
Morocco,-3.46
Mozambique,-2.02
Namibia,0.05
Nauru,-14.12
Nepal,3.71
Netherlands,1.97
New Caledonia,4.06
New Zealand,2.23
Nicaragua,-3.13
Niger,-0.58
Nigeria,-0.22
Northern Mariana Islands,-4.02
Norway,7.96
Oman,-0.45
Pakistan,-1.69
Palau,0.66
Panama,-0.32
Papua New Guinea,0.0
Paraguay,-0.08
Peru,-2.69
Philippines,-1.23
Poland,-0.47
Portugal,2.74
Puerto Rico,-8.93
Qatar,27.35
Romania,-0.24
Russia,1.69
Rwanda,0.9
"Saint Helena, Ascension, and Tristan da Cunha",0.0
Saint Kitts and Nevis,1.22
Saint Lucia,-3.13
Saint Pierre and Miquelon,-8.57
Saint Vincent and the Grenadines,-9.6
Samoa,-10.12
San Marino,8.31
Sao Tome and Principe,-8.79
Saudi Arabia,-0.59
Senegal,-1.66
Serbia,0.0
Seychelles,1.0
Sierra Leone,-3.12
Singapore,14.55
Sint Maarten,6.63
Slovakia,0.01
Slovenia,0.37
Solomon Islands,-1.78
Somalia,-9.51
South Africa,-6.27
South Sudan,11.94
Spain,7.24
Sri Lanka,-1.54
Sudan,-4.36
Suriname,0.57
Swaziland,0.0
Sweden,5.46
Switzerland,5.43
Syria,-113.51
Taiwan,0.9
Tajikistan,-1.17
Tanzania,-0.57
Thailand,0.0
Timor-Leste,-3.87
Togo,0.0
Tonga,-17.85
Trinidad and Tobago,-6.42
Tunisia,-1.74
Turkey,0.46
Turkmenistan,-1.86
Turks and Caicos Islands,12.23
Tuvalu,-6.86
Uganda,-0.76
Ukraine,-0.06
United Arab Emirates,13.58
United Kingdom,2.56
United States,2.45
Uruguay,-1.08
Uzbekistan,-2.46
Vanuatu,-1.5
Venezuela,0.0
Vietnam,-0.32
Virgin Islands,-7.84
Wallis and Futuna,-5.27
West Bank,0.0
Yemen,2.61
Zambia,-0.72
Zimbabwe,21.78
