Country,sex_ratio,at birth,0-14,15-64,65 years and ove,total population
Afghanistan,"birth: 1.05 male(s)/female 
      
under 15 years: 1.03 male(s)/female 
      
15-64 years: 1.04 male(s)/female 
      
65 years and over: 0.87 male(s)/female 
      
total population: 1.03 male(s)/female (2011 est.) 
        ", 1.05 , 1.03 , 1.04 , 0.87 , 1.03 
Albania,"birth: 1.11 male(s)/female 
      
under 15 years: 1.12 male(s)/female 
      
15-64 years: 0.96 male(s)/female 
      
65 years and over: 0.89 male(s)/female 
      
total population: 0.98 male(s)/female (2011 est.) 
        ", 1.11 , 1.12 , 0.96 , 0.89 , 0.98 
Algeria,"birth: 1.05 male(s)/female 
      
under 15 years: 1.04 male(s)/female 
      
15-64 years: 1.02 male(s)/female 
      
65 years and over: 0.86 male(s)/female 
      
total population: 1.01 male(s)/female (2011 est.) 
        ", 1.05 , 1.04 , 1.02 , 0.86 , 1.01 
American Samoa,"birth: 1.06 male(s)/female 
      
under 15 years: 1.04 male(s)/female 
      
15-64 years: 1.02 male(s)/female 
      
65 years and over: 0.88 male(s)/female 
      
total population: 1.02 male(s)/female (2011 est.) 
        ", 1.06 , 1.04 , 1.02 , 0.88 , 1.02 
Andorra,"birth: 1.06 male(s)/female 
      
under 15 years: 1.05 male(s)/female 
      
15-64 years: 1.09 male(s)/female 
      
65 years and over: 1 male(s)/female 
      
total population: 1.07 male(s)/female (2011 est.) 
        ", 1.06 , 1.05 , 1.09 , 1 , 1.07 
Angola,"birth: 1.05 male(s)/female 
      
under 15 years: 1.04 male(s)/female 
      
15-64 years: 1.02 male(s)/female 
      
65 years and over: 0.86 male(s)/female 
      
total population: 1.02 male(s)/female (2011 est.) 
        ", 1.05 , 1.04 , 1.02 , 0.86 , 1.02 
Anguilla,"birth: 1.03 male(s)/female 
      
under 15 years: 1.05 male(s)/female 
      
15-64 years: 0.89 male(s)/female 
      
65 years and over: 0.96 male(s)/female 
      
total population: 0.93 male(s)/female (2011 est.) 
        ", 1.03 , 1.05 , 0.89 , 0.96 , 0.93 
Antigua and Barbuda,"birth: 1.05 male(s)/female 
      
under 15 years: 1.03 male(s)/female 
      
15-64 years: 0.87 male(s)/female 
      
65 years and over: 0.76 male(s)/female 
      
total population: 0.9 male(s)/female (2011 est.) 
        ", 1.05 , 1.03 , 0.87 , 0.76 , 0.9 
Argentina,"birth: 1.05 male(s)/female 
      
under 15 years: 1.05 male(s)/female 
      
15-64 years: 1 male(s)/female 
      
65 years and over: 0.7 male(s)/female 
      
total population: 0.97 male(s)/female (2011 est.) 
        ", 1.05 , 1.05 , 1 , 0.7 , 0.97 
Armenia,"birth: 1.12 male(s)/female 
      
under 15 years: 1.15 male(s)/female 
      
15-64 years: 0.88 male(s)/female 
      
65 years and over: 0.59 male(s)/female 
      
total population: 0.89 male(s)/female (2011 est.) 
        ", 1.12 , 1.15 , 0.88 , 0.59 , 0.89 
Aruba,"birth: 1.02 male(s)/female 
      
under 15 years: 1.01 male(s)/female 
      
15-64 years: 0.92 male(s)/female 
      
65 years and over: 0.65 male(s)/female 
      
total population: 0.9 male(s)/female (2011 est.) 
        ", 1.02 , 1.01 , 0.92 , 0.65 , 0.9 
Australia,"birth: 1.06 male(s)/female 
      
under 15 years: 1.05 male(s)/female 
      
15-64 years: 1.03 male(s)/female 
      
65 years and over: 0.85 male(s)/female 
      
total population: 1 male(s)/female (2011 est.) 
        ", 1.06 , 1.05 , 1.03 , 0.85 , 1 
Austria,"birth: 1.05 male(s)/female 
      
under 15 years: 1.05 male(s)/female 
      
15-64 years: 1.01 male(s)/female 
      
65 years and over: 0.73 male(s)/female 
      
total population: 0.95 male(s)/female (2011 est.) 
        ", 1.05 , 1.05 , 1.01 , 0.73 , 0.95 
Azerbaijan,"birth: 1.14 male(s)/female 
      
under 15 years: 1.16 male(s)/female 
      
15-64 years: 0.96 male(s)/female 
      
65 years and over: 0.62 male(s)/female 
      
total population: 0.98 male(s)/female (2011 est.) 
        ", 1.14 , 1.16 , 0.96 , 0.62 , 0.98 
"Bahamas, The","birth: 1.03 male(s)/female 
      
under 15 years: 1.03 male(s)/female 
      
15-64 years: 0.97 male(s)/female 
      
65 years and over: 0.62 male(s)/female 
      
total population: 0.96 male(s)/female (2011 est.) 
        ", 1.03 , 1.03 , 0.97 , 0.62 , 0.96 
Bahrain,"birth: 1.03 male(s)/female 
      
under 15 years: 1.03 male(s)/female 
      
15-64 years: 1.75 male(s)/female 
      
65 years and over: 0.91 male(s)/female 
      
total population: 1.54 male(s)/female (2011 est.) 
        ", 1.03 , 1.03 , 1.75 , 0.91 , 1.54 
Bangladesh,"birth: 1.04 male(s)/female 
      
under 15 years: 1.03 male(s)/female 
      
15-64 years: 0.9 male(s)/female 
      
65 years and over: 0.96 male(s)/female 
      
total population: 0.95 male(s)/female (2011 est.) 
        ", 1.04 , 1.03 , 0.9 , 0.96 , 0.95 
Barbados,"birth: 1.01 male(s)/female 
      
under 15 years: 1 male(s)/female 
      
15-64 years: 0.97 male(s)/female 
      
65 years and over: 0.65 male(s)/female 
      
total population: 0.94 male(s)/female (2011 est.) 
        ", 1.01 , 1 , 0.97 , 0.65 , 0.94 
Belarus,"birth: 1.06 male(s)/female 
      
under 15 years: 1.06 male(s)/female 
      
15-64 years: 0.94 male(s)/female 
      
65 years and over: 0.46 male(s)/female 
      
total population: 0.87 male(s)/female (2011 est.) 
        ", 1.06 , 1.06 , 0.94 , 0.46 , 0.87 
Belgium,"birth: 1.04 male(s)/female 
      
under 15 years: 1.04 male(s)/female 
      
15-64 years: 1.02 male(s)/female 
      
65 years and over: 0.72 male(s)/female 
      
total population: 0.96 male(s)/female (2011 est.) 
        ", 1.04 , 1.04 , 1.02 , 0.72 , 0.96 
Belize,"birth: 1.05 male(s)/female 
      
under 15 years: 1.04 male(s)/female 
      
15-64 years: 1.02 male(s)/female 
      
65 years and over: 0.9 male(s)/female 
      
total population: 1.03 male(s)/female (2011 est.) 
        ", 1.05 , 1.04 , 1.02 , 0.9 , 1.03 
Benin,"birth: 1.05 male(s)/female 
      
under 15 years: 1.04 male(s)/female 
      
15-64 years: 1 male(s)/female 
      
65 years and over: 0.67 male(s)/female 
      
total population: 1 male(s)/female (2011 est.) 
        ", 1.05 , 1.04 , 1 , 0.67 , 1 
Bermuda,"birth: 1.02 male(s)/female 
      
under 15 years: 1.02 male(s)/female 
      
15-64 years: 0.97 male(s)/female 
      
65 years and over: 0.72 male(s)/female 
      
total population: 0.94 male(s)/female (2011 est.) 
        ", 1.02 , 1.02 , 0.97 , 0.72 , 0.94 
