Country,sex_ratio,at birth,0-14,15-64,65 years and ove,total population
Afghanistan,"birth: 1.05 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 1.05 male(s)/female 
			
65 years and over: 0.95 male(s)/female 
			
total population: 1.05 male(s)/female (2006 est.) 
				", 1.05 , 1.05 , 1.05 , 0.95 , 1.05 
Albania,"birth: 1.1 male(s)/female 
			
under 15 years: 1.1 male(s)/female 
			
15-64 years: 1.05 male(s)/female 
			
65 years and over: 0.86 male(s)/female 
			
total population: 1.04 male(s)/female (2006 est.) 
				", 1.1 , 1.1 , 1.05 , 0.86 , 1.04 
Algeria,"birth: 1.05 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 1.02 male(s)/female 
			
65 years and over: 0.88 male(s)/female 
			
total population: 1.02 male(s)/female (2006 est.) 
				", 1.05 , 1.04 , 1.02 , 0.88 , 1.02 
American Samoa,"birth: 1.06 male(s)/female 
			
under 15 years: 1.08 male(s)/female 
			
15-64 years: 1.08 male(s)/female 
			
65 years and over: 0.59 male(s)/female 
			
total population: 1.06 male(s)/female (2006 est.) 
				", 1.06 , 1.08 , 1.08 , 0.59 , 1.06 
Andorra,"birth: 1.07 male(s)/female 
			
under 15 years: 1.09 male(s)/female 
			
15-64 years: 1.1 male(s)/female 
			
65 years and over: 0.98 male(s)/female 
			
total population: 1.08 male(s)/female (2006 est.) 
				", 1.07 , 1.09 , 1.1 , 0.98 , 1.08 
Angola,"birth: 1.05 male(s)/female 
			
under 15 years: 1.02 male(s)/female 
			
15-64 years: 1.03 male(s)/female 
			
65 years and over: 0.8 male(s)/female 
			
total population: 1.02 male(s)/female (2006 est.) 
				", 1.05 , 1.02 , 1.03 , 0.8 , 1.02 
Anguilla,"birth: 1.03 male(s)/female 
			
under 15 years: 1.03 male(s)/female 
			
15-64 years: 1.06 male(s)/female 
			
65 years and over: 0.81 male(s)/female 
			
total population: 1.03 male(s)/female (2006 est.) 
				", 1.03 , 1.03 , 1.06 , 0.81 , 1.03 
Antigua and Barbuda,"birth: 1.05 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 1.01 male(s)/female 
			
65 years and over: 0.61 male(s)/female 
			
total population: 1 male(s)/female (2006 est.) 
				", 1.05 , 1.04 , 1.01 , 0.61 , 1 
Argentina,"birth: 1.05 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 1 male(s)/female 
			
65 years and over: 0.7 male(s)/female 
			
total population: 0.97 male(s)/female (2006 est.) 
				", 1.05 , 1.05 , 1 , 0.7 , 0.97 
Armenia,"birth: 1.17 male(s)/female 
			
under 15 years: 1.12 male(s)/female 
			
15-64 years: 0.88 male(s)/female 
			
65 years and over: 0.67 male(s)/female 
			
total population: 0.9 male(s)/female (2006 est.) 
				", 1.17 , 1.12 , 0.88 , 0.67 , 0.9 
Aruba,"birth: 1.05 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 0.95 male(s)/female 
			
65 years and over: 0.69 male(s)/female 
			
total population: 0.93 male(s)/female (2006 est.) 
				", 1.05 , 1.05 , 0.95 , 0.69 , 0.93 
Australia,"birth: 1.05 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 1.02 male(s)/female 
			
65 years and over: 0.79 male(s)/female 
			
total population: 0.99 male(s)/female (2006 est.) 
				", 1.05 , 1.05 , 1.02 , 0.79 , 0.99 
