Country,sex_ratio,at birth,0-14,15-64,65 years and ove,total population
Afghanistan,"birth: 1.05 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 1.05 male(s)/female 
			
65 years and over: 0.94 male(s)/female 
			
total population: 1.05 male(s)/female (2008 est.) 
				", 1.05 , 1.05 , 1.05 , 0.94 , 1.05 
Albania,"birth: 1.1 male(s)/female 
			
under 15 years: 1.1 male(s)/female 
			
15-64 years: 1.05 male(s)/female 
			
65 years and over: 0.87 male(s)/female 
			
total population: 1.04 male(s)/female (2008 est.) 
				", 1.1 , 1.1 , 1.05 , 0.87 , 1.04 
Algeria,"birth: 1.05 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 1.02 male(s)/female 
			
65 years and over: 0.86 male(s)/female 
			
total population: 1.01 male(s)/female (2008 est.) 
				", 1.05 , 1.04 , 1.02 , 0.86 , 1.01 
American Samoa,"birth: 1.06 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 1.03 male(s)/female 
			
65 years and over: 0.88 male(s)/female 
			
total population: 1.03 male(s)/female (2008 est.) 
				", 1.06 , 1.04 , 1.03 , 0.88 , 1.03 
Andorra,"birth: 1.07 male(s)/female 
			
under 15 years: 1.07 male(s)/female 
			
15-64 years: 1.1 male(s)/female 
			
65 years and over: 0.97 male(s)/female 
			
total population: 1.08 male(s)/female (2008 est.) 
				", 1.07 , 1.07 , 1.1 , 0.97 , 1.08 
Angola,"birth: 1.05 male(s)/female 
			
under 15 years: 1.02 male(s)/female 
			
15-64 years: 1.03 male(s)/female 
			
65 years and over: 0.79 male(s)/female 
			
total population: 1.02 male(s)/female (2008 est.) 
				", 1.05 , 1.02 , 1.03 , 0.79 , 1.02 
Anguilla,"birth: 1.03 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 0.92 male(s)/female 
			
65 years and over: 0.91 male(s)/female 
			
total population: 0.95 male(s)/female (2008 est.) 
				", 1.03 , 1.05 , 0.92 , 0.91 , 0.95 
Antigua and Barbuda,"birth: 1.05 male(s)/female 
			
under 15 years: 1.03 male(s)/female 
			
15-64 years: 0.88 male(s)/female 
			
65 years and over: 0.77 male(s)/female 
			
total population: 0.91 male(s)/female (2008 est.) 
				", 1.05 , 1.03 , 0.88 , 0.77 , 0.91 
Argentina,"birth: 1.05 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 0.99 male(s)/female 
			
65 years and over: 0.7 male(s)/female 
			
total population: 0.97 male(s)/female (2008 est.) 
				", 1.05 , 1.05 , 0.99 , 0.7 , 0.97 
Armenia,"birth: 1.15 male(s)/female 
			
under 15 years: 1.14 male(s)/female 
			
15-64 years: 0.88 male(s)/female 
			
65 years and over: 0.65 male(s)/female 
			
total population: 0.89 male(s)/female (2008 est.) 
				", 1.15 , 1.14 , 0.88 , 0.65 , 0.89 
Aruba,"birth: 1.02 male(s)/female 
			
under 15 years: 1.02 male(s)/female 
			
15-64 years: 0.92 male(s)/female 
			
65 years and over: 0.66 male(s)/female 
			
total population: 0.9 male(s)/female (2008 est.) 
				", 1.02 , 1.02 , 0.92 , 0.66 , 0.9 
Australia,"birth: 1.05 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 1.03 male(s)/female 
			
65 years and over: 0.83 male(s)/female 
			
total population: 1 male(s)/female (2008 est.) 
				", 1.05 , 1.05 , 1.03 , 0.83 , 1 
Austria,"birth: 1.05 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 1.01 male(s)/female 
			
65 years and over: 0.7 male(s)/female 
			
total population: 0.95 male(s)/female (2008 est.) 
				", 1.05 , 1.05 , 1.01 , 0.7 , 0.95 
Azerbaijan,"birth: 1.14 male(s)/female 
			
under 15 years: 1.12 male(s)/female 
			
15-64 years: 0.96 male(s)/female 
			
65 years and over: 0.59 male(s)/female 
			
total population: 0.97 male(s)/female (2008 est.) 
				", 1.14 , 1.12 , 0.96 , 0.59 , 0.97 
"Bahamas, The","birth: 1.02 male(s)/female 
			
under 15 years: 1 male(s)/female 
			
15-64 years: 0.97 male(s)/female 
			
65 years and over: 0.69 male(s)/female 
			
total population: 0.96 male(s)/female (2008 est.) 
				", 1.02 , 1 , 0.97 , 0.69 , 0.96 
Bahrain,"birth: 1.03 male(s)/female 
			
under 15 years: 1.02 male(s)/female 
			
15-64 years: 1.36 male(s)/female 
			
65 years and over: 1.1 male(s)/female 
			
total population: 1.25 male(s)/female (2008 est.) 
				", 1.03 , 1.02 , 1.36 , 1.1 , 1.25 
Bangladesh,"birth: 1.06 male(s)/female 
			
under 15 years: 1.06 male(s)/female 
			
15-64 years: 1.04 male(s)/female 
			
65 years and over: 1.15 male(s)/female 
			
total population: 1.05 male(s)/female (2008 est.) 
				", 1.06 , 1.06 , 1.04 , 1.15 , 1.05 
Barbados,"birth: 1.01 male(s)/female 
			
under 15 years: 1 male(s)/female 
			
15-64 years: 0.97 male(s)/female 
			
65 years and over: 0.63 male(s)/female 
			
total population: 0.94 male(s)/female (2008 est.) 
				", 1.01 , 1 , 0.97 , 0.63 , 0.94 
Belarus,"birth: 1.06 male(s)/female 
			
under 15 years: 1.06 male(s)/female 
			
15-64 years: 0.94 male(s)/female 
			
65 years and over: 0.48 male(s)/female 
			
total population: 0.87 male(s)/female (2008 est.) 
				", 1.06 , 1.06 , 0.94 , 0.48 , 0.87 
Belgium,"birth: 1.04 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 1.02 male(s)/female 
			
65 years and over: 0.7 male(s)/female 
			
total population: 0.96 male(s)/female (2008 est.) 
				", 1.04 , 1.04 , 1.02 , 0.7 , 0.96 
Belize,"birth: 1.05 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 1.02 male(s)/female 
			
65 years and over: 0.92 male(s)/female 
			
total population: 1.03 male(s)/female (2008 est.) 
				", 1.05 , 1.04 , 1.02 , 0.92 , 1.03 
Benin,"birth: 1.03 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 0.98 male(s)/female 
			
65 years and over: 0.7 male(s)/female 
			
total population: 1 male(s)/female (2008 est.) 
				", 1.03 , 1.04 , 0.98 , 0.7 , 1 
Bermuda,"birth: 1.02 male(s)/female 
			
under 15 years: 1.02 male(s)/female 
			
15-64 years: 0.98 male(s)/female 
			
65 years and over: 0.77 male(s)/female 
			
total population: 0.96 male(s)/female (2008 est.) 
				", 1.02 , 1.02 , 0.98 , 0.77 , 0.96 
Bhutan,"birth: 1.05 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 1.14 male(s)/female 
			
65 years and over: 1.13 male(s)/female 
			
total population: 1.1 male(s)/female (2008 est.) 
				", 1.05 , 1.04 , 1.14 , 1.13 , 1.1 
Bolivia,"birth: 1.05 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 0.96 male(s)/female 
			
65 years and over: 0.8 male(s)/female 
			
total population: 0.98 male(s)/female (2008 est.) 
				", 1.05 , 1.04 , 0.96 , 0.8 , 0.98 
Bosnia and Herzegovina,"birth: 1.07 male(s)/female 
			
under 15 years: 1.07 male(s)/female 
			
15-64 years: 1.02 male(s)/female 
			
65 years and over: 0.7 male(s)/female 
			
total population: 0.97 male(s)/female (2008 est.) 
				", 1.07 , 1.07 , 1.02 , 0.7 , 0.97 
Botswana,"birth: 1.03 male(s)/female 
			
under 15 years: 1.03 male(s)/female 
			
15-64 years: 1.02 male(s)/female 
			
65 years and over: 0.68 male(s)/female 
			
total population: 1.01 male(s)/female (2008 est.) 
				", 1.03 , 1.03 , 1.02 , 0.68 , 1.01 
Brazil,"birth: 1.05 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 0.98 male(s)/female 
			
65 years and over: 0.73 male(s)/female 
			
total population: 0.98 male(s)/female (2008 est.) 
				", 1.05 , 1.04 , 0.98 , 0.73 , 0.98 
British Virgin Islands,"birth: 1.05 male(s)/female 
			
under 15 years: 1.03 male(s)/female 
			
15-64 years: 1.05 male(s)/female 
			
65 years and over: 1.07 male(s)/female 
			
total population: 1.05 male(s)/female (2008 est.) 
				", 1.05 , 1.03 , 1.05 , 1.07 , 1.05 
Brunei,"birth: 1.05 male(s)/female 
			
under 15 years: 1.06 male(s)/female 
			
15-64 years: 1 male(s)/female 
			
65 years and over: 0.92 male(s)/female 
			
total population: 1.02 male(s)/female (2008 est.) 
				", 1.05 , 1.06 , 1 , 0.92 , 1.02 
Bulgaria,"birth: 1.06 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 0.97 male(s)/female 
			
65 years and over: 0.69 male(s)/female 
			
total population: 0.92 male(s)/female (2008 est.) 
				", 1.06 , 1.05 , 0.97 , 0.69 , 0.92 
Burkina Faso,"birth: 1.03 male(s)/female 
			
under 15 years: 1.01 male(s)/female 
			
15-64 years: 0.99 male(s)/female 
			
65 years and over: 0.66 male(s)/female 
			
total population: 0.99 male(s)/female (2008 est.) 
				", 1.03 , 1.01 , 0.99 , 0.66 , 0.99 
Burma,"birth: 1.06 male(s)/female 
			
under 15 years: 1.03 male(s)/female 
			
15-64 years: 0.98 male(s)/female 
			
65 years and over: 0.75 male(s)/female 
			
total population: 0.98 male(s)/female (2008 est.) 
				", 1.06 , 1.03 , 0.98 , 0.75 , 0.98 
Burundi,"birth: 1.03 male(s)/female 
			
under 15 years: 1.01 male(s)/female 
			
15-64 years: 0.99 male(s)/female 
			
65 years and over: 0.66 male(s)/female 
			
total population: 0.99 male(s)/female (2008 est.) 
				", 1.03 , 1.01 , 0.99 , 0.66 , 0.99 
Cambodia,"birth: 1.04 male(s)/female 
			
under 15 years: 1.02 male(s)/female 
			
15-64 years: 0.94 male(s)/female 
			
65 years and over: 0.6 male(s)/female 
			
total population: 0.96 male(s)/female (2008 est.) 
				", 1.04 , 1.02 , 0.94 , 0.6 , 0.96 
Cameroon,"birth: 1.03 male(s)/female 
			
under 15 years: 1.02 male(s)/female 
			
15-64 years: 1.01 male(s)/female 
			
65 years and over: 0.85 male(s)/female 
			
total population: 1.01 male(s)/female (2008 est.) 
				", 1.03 , 1.02 , 1.01 , 0.85 , 1.01 
Canada,"birth: 1.06 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 1.02 male(s)/female 
			
65 years and over: 0.77 male(s)/female 
			
total population: 0.98 male(s)/female (2008 est.) 
				", 1.06 , 1.05 , 1.02 , 0.77 , 0.98 
Cape Verde,"birth: 1.03 male(s)/female 
			
under 15 years: 1.01 male(s)/female 
			
15-64 years: 0.96 male(s)/female 
			
65 years and over: 0.58 male(s)/female 
			
total population: 0.95 male(s)/female (2008 est.) 
				", 1.03 , 1.01 , 0.96 , 0.58 , 0.95 
Cayman Islands,"birth: 1.02 male(s)/female 
			
under 15 years: 1 male(s)/female 
			
15-64 years: 0.95 male(s)/female 
			
65 years and over: 0.89 male(s)/female 
			
total population: 0.96 male(s)/female (2008 est.) 
				", 1.02 , 1 , 0.95 , 0.89 , 0.96 
Central African Republic,"birth: 1.03 male(s)/female 
			
under 15 years: 1.01 male(s)/female 
			
15-64 years: 0.99 male(s)/female 
			
65 years and over: 0.64 male(s)/female 
			
total population: 0.98 male(s)/female (2008 est.) 
				", 1.03 , 1.01 , 0.99 , 0.64 , 0.98 
Chad,"birth: 1.04 male(s)/female 
			
under 15 years: 1.03 male(s)/female 
			
15-64 years: 0.84 male(s)/female 
			
65 years and over: 0.73 male(s)/female 
			
total population: 0.92 male(s)/female (2008 est.) 
				", 1.04 , 1.03 , 0.84 , 0.73 , 0.92 
