Country,sex_ratio,at birth,0-14,15-64,65 years and ove,total population
Afghanistan,"birth: 1.05 male(s)/female 
      
0-14 years: 1.03 male(s)/female 
      
15-24 years: 1.04 male(s)/female 
      
25-54 years: 1.04 male(s)/female 
      
55-64 years: 1.03 male(s)/female 
      
65 years and over: 0.87 male(s)/female 
      
total population: 1.03 male(s)/female (2014 est.) 
        ", 1.05 , 1.03 ,3.11, 0.87 , 1.03 
Albania,"birth: 1.11 male(s)/female 
      
0-14 years: 1.12 male(s)/female 
      
15-24 years: 1.05 male(s)/female 
      
25-54 years: 0.91 male(s)/female 
      
55-64 years: 0.98 male(s)/female 
      
65 years and over: 0.89 male(s)/female 
      
total population: 0.98 male(s)/female (2014 est.) 
        ", 1.11 , 1.12 ,2.94, 0.89 , 0.98 
Algeria,"birth: 1.05 male(s)/female 
      
0-14 years: 1.05 male(s)/female 
      
15-24 years: 1.05 male(s)/female 
      
25-54 years: 1.02 male(s)/female 
      
55-64 years: 1.03 male(s)/female 
      
65 years and over: 0.84 male(s)/female 
      
total population: 1.03 male(s)/female (2014 est.) 
        ", 1.05 , 1.05 ,3.1, 0.84 , 1.03 
American Samoa,"birth: 1.06 male(s)/female 
      
0-14 years: 0.96 male(s)/female 
      
15-24 years: 0.98 male(s)/female 
      
25-54 years: 1.06 male(s)/female 
      
55-64 years: 1 male(s)/female 
      
65 years and over: 0.86 male(s)/female 
      
total population: 1.01 male(s)/female (2014 est.) 
        ", 1.06 , 0.96 ,3.04, 0.86 , 1.01 
Andorra,"birth: 1.07 male(s)/female 
      
0-14 years: 1.05 male(s)/female 
      
15-24 years: 1.08 male(s)/female 
      
25-54 years: 1.06 male(s)/female 
      
55-64 years: 1.07 male(s)/female 
      
65 years and over: 1 male(s)/female 
      
total population: 1.07 male(s)/female (2014 est.) 
        ", 1.07 , 1.05 ,3.21, 1 , 1.07 
Angola,"birth: 1.05 male(s)/female 
      
0-14 years: 1.04 male(s)/female 
      
15-24 years: 1.04 male(s)/female 
      
25-54 years: 1.02 male(s)/female 
      
55-64 years: 1.02 male(s)/female 
      
65 years and over: 0.86 male(s)/female 
      
total population: 1.02 male(s)/female (2014 est.) 
        ", 1.05 , 1.04 ,3.08, 0.86 , 1.02 
Anguilla,"birth: 1.03 male(s)/female 
      
0-14 years: 1.05 male(s)/female 
      
15-24 years: 0.98 male(s)/female 
      
25-54 years: 0.82 male(s)/female 
      
55-64 years: 0.92 male(s)/female 
      
65 years and over: 0.96 male(s)/female 
      
total population: 0.93 male(s)/female (2014 est.) 
        ", 1.03 , 1.05 ,2.72, 0.96 , 0.93 
Antigua and Barbuda,"birth: 1.05 male(s)/female 
      
0-14 years: 1.03 male(s)/female 
      
15-24 years: 0.98 male(s)/female 
      
25-54 years: 0.84 male(s)/female 
      
55-64 years: 0.9 male(s)/female 
      
65 years and over: 0.76 male(s)/female 
      
total population: 0.9 male(s)/female (2014 est.) 
        ", 1.05 , 1.03 ,2.72, 0.76 , 0.9 
Argentina,"birth: 1.05 male(s)/female 
      
0-14 years: 1.05 male(s)/female 
      
15-24 years: 1.04 male(s)/female 
      
25-54 years: 1 male(s)/female 
      
55-64 years: 0.97 male(s)/female 
      
65 years and over: 0.7 male(s)/female 
      
total population: 0.97 male(s)/female (2014 est.) 
        ", 1.05 , 1.05 ,3.01, 0.7 , 0.97 
Armenia,"birth: 1.14 male(s)/female 
      
0-14 years: 1.15 male(s)/female 
      
15-24 years: 1.03 male(s)/female 
      
25-54 years: 0.92 male(s)/female 
      
55-64 years: 0.93 male(s)/female 
      
65 years and over: 0.59 male(s)/female 
      
total population: 0.89 male(s)/female (2014 est.) 
        ", 1.14 , 1.15 ,2.88, 0.59 , 0.89 
