Country,sex_ratio,at birth,0-14,15-64,65 years and ove,total population
Afghanistan,"birth: 1.05 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 1.07 male(s)/female 
			
65 years and over: 1.11 male(s)/female 
			
total population: 1.06 male(s)/female (2003 est.) 
				", 1.05 , 1.04 , 1.07 , 1.11 , 1.06 
Albania,"birth: 1.08 male(s)/female 
			
under 15 years: 1.07 male(s)/female 
			
15-64 years: 0.93 male(s)/female 
			
65 years and over: 0.79 male(s)/female 
			
total population: 0.96 male(s)/female (2003 est.) 
				", 1.08 , 1.07 , 0.93 , 0.79 , 0.96 
Algeria,"birth: 1.04 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 1.02 male(s)/female 
			
65 years and over: 0.85 male(s)/female 
			
total population: 1.02 male(s)/female (2003 est.) 
				", 1.04 , 1.04 , 1.02 , 0.85 , 1.02 
American Samoa,"birth: 1.06 male(s)/female 
			
under 15 years: 1.06 male(s)/female 
			
15-64 years: 0.97 male(s)/female 
			
65 years and over: 1.19 male(s)/female 
			
total population: 1.01 male(s)/female (2003 est.) 
				", 1.06 , 1.06 , 0.97 , 1.19 , 1.01 
Andorra,"birth: 1.07 male(s)/female 
			
under 15 years: 1.1 male(s)/female 
			
15-64 years: 1.11 male(s)/female 
			
65 years and over: 1 male(s)/female 
			
total population: 1.09 male(s)/female (2003 est.) 
				", 1.07 , 1.1 , 1.11 , 1 , 1.09 
Angola,"birth: 1.05 male(s)/female 
			
under 15 years: 1.02 male(s)/female 
			
15-64 years: 1.03 male(s)/female 
			
65 years and over: 0.81 male(s)/female 
			
total population: 1.02 male(s)/female (2003 est.) 
				", 1.05 , 1.02 , 1.03 , 0.81 , 1.02 
Anguilla,"birth: 1.03 male(s)/female 
			
under 15 years: 1.03 male(s)/female 
			
15-64 years: 1.06 male(s)/female 
			
65 years and over: 0.8 male(s)/female 
			
total population: 1.03 male(s)/female (2003 est.) 
				", 1.03 , 1.03 , 1.06 , 0.8 , 1.03 
Antigua and Barbuda,"birth: 1.05 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 1 male(s)/female 
			
65 years and over: 0.67 male(s)/female 
			
total population: 0.99 male(s)/female (2003 est.) 
				", 1.05 , 1.04 , 1 , 0.67 , 0.99 
Argentina,"birth: 1.05 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 1 male(s)/female 
			
65 years and over: 0.7 male(s)/female 
			
total population: 0.97 male(s)/female (2003 est.) 
				", 1.05 , 1.05 , 1 , 0.7 , 0.97 
Armenia,"birth: 1.05 male(s)/female 
			
under 15 years: 1.03 male(s)/female 
			
15-64 years: 0.96 male(s)/female 
			
65 years and over: 0.72 male(s)/female 
			
total population: 0.95 male(s)/female (2003 est.) 
				", 1.05 , 1.03 , 0.96 , 0.72 , 0.95 
