Country,sex_ratio,at birth,0-14,15-64,65 years and ove,total population
Afghanistan,"birth: 1.05 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 1.05 male(s)/female 
			
65 years and over: 0.95 male(s)/female 
			
total population: 1.05 male(s)/female (2004 est.) 
				", 1.05 , 1.05 , 1.05 , 0.95 , 1.05 
Albania,"birth: 1.1 male(s)/female 
			
under 15 years: 1.1 male(s)/female 
			
15-64 years: 1.05 male(s)/female 
			
65 years and over: 0.85 male(s)/female 
			
total population: 1.04 male(s)/female (2004 est.) 
				", 1.1 , 1.1 , 1.05 , 0.85 , 1.04 
Algeria,"birth: 1.05 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 1.01 male(s)/female 
			
65 years and over: 0.89 male(s)/female 
			
total population: 1.02 male(s)/female (2004 est.) 
				", 1.05 , 1.04 , 1.01 , 0.89 , 1.02 
American Samoa,"birth: 1.06 male(s)/female 
			
under 15 years: 1.08 male(s)/female 
			
15-64 years: 1.06 male(s)/female 
			
65 years and over: 0.65 male(s)/female 
			
total population: 1.05 male(s)/female (2004 est.) 
				", 1.06 , 1.08 , 1.06 , 0.65 , 1.05 
Andorra,"birth: 1.07 male(s)/female 
			
under 15 years: 1.1 male(s)/female 
			
15-64 years: 1.11 male(s)/female 
			
65 years and over: 0.99 male(s)/female 
			
total population: 1.09 male(s)/female (2004 est.) 
				", 1.07 , 1.1 , 1.11 , 0.99 , 1.09 
Angola,"birth: 1.05 male(s)/female 
			
under 15 years: 1.02 male(s)/female 
			
15-64 years: 1.04 male(s)/female 
			
65 years and over: 0.8 male(s)/female 
			
total population: 1.02 male(s)/female (2004 est.) 
				", 1.05 , 1.02 , 1.04 , 0.8 , 1.02 
Anguilla,"birth: 1.03 male(s)/female 
			
under 15 years: 1.03 male(s)/female 
			
15-64 years: 1.06 male(s)/female 
			
65 years and over: 0.8 male(s)/female 
			
total population: 1.03 male(s)/female (2004 est.) 
				", 1.03 , 1.03 , 1.06 , 0.8 , 1.03 
Antigua and Barbuda,"birth: 1.05 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 1.01 male(s)/female 
			
65 years and over: 0.65 male(s)/female 
			
total population: 1 male(s)/female (2004 est.) 
				", 1.05 , 1.04 , 1.01 , 0.65 , 1 
Argentina,"birth: 1.05 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 1 male(s)/female 
			
65 years and over: 0.7 male(s)/female 
			
total population: 0.97 male(s)/female (2004 est.) 
				", 1.05 , 1.05 , 1 , 0.7 , 0.97 
Armenia,"birth: 1.18 male(s)/female 
			
under 15 years: 1.1 male(s)/female 
			
15-64 years: 0.87 male(s)/female 
			
65 years and over: 0.68 male(s)/female 
			
total population: 0.9 male(s)/female (2004 est.) 
				", 1.18 , 1.1 , 0.87 , 0.68 , 0.9 
Aruba,"birth: 1.05 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 0.94 male(s)/female 
			
65 years and over: 0.7 male(s)/female 
			
total population: 0.93 male(s)/female (2004 est.) 
				", 1.05 , 1.05 , 0.94 , 0.7 , 0.93 
Australia,"birth: 1.05 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 1.02 male(s)/female 
			
65 years and over: 0.79 male(s)/female 
			
total population: 0.99 male(s)/female (2004 est.) 
				", 1.05 , 1.05 , 1.02 , 0.79 , 0.99 
Austria,"birth: 1.05 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 1.01 male(s)/female 
			
65 years and over: 0.65 male(s)/female 
			
total population: 0.95 male(s)/female (2004 est.) 
				", 1.05 , 1.05 , 1.01 , 0.65 , 0.95 
Azerbaijan,"birth: 1.05 male(s)/female 
			
under 15 years: 1.03 male(s)/female 
			
15-64 years: 0.95 male(s)/female 
			
65 years and over: 0.66 male(s)/female 
			
total population: 0.95 male(s)/female (2004 est.) 
				", 1.05 , 1.03 , 0.95 , 0.66 , 0.95 
"Bahamas, The","birth: 1.02 male(s)/female 
			
under 15 years: 1 male(s)/female 
			
15-64 years: 0.97 male(s)/female 
			
65 years and over: 0.69 male(s)/female 
			
total population: 0.96 male(s)/female (2004 est.) 
				", 1.02 , 1 , 0.97 , 0.69 , 0.96 
Bahrain,"birth: 1.03 male(s)/female 
			
under 15 years: 1.02 male(s)/female 
			
15-64 years: 1.41 male(s)/female 
			
65 years and over: 1.05 male(s)/female 
			
total population: 1.27 male(s)/female (2004 est.) 
				", 1.03 , 1.02 , 1.41 , 1.05 , 1.27 
Bangladesh,"birth: 1.06 male(s)/female 
			
under 15 years: 1.06 male(s)/female 
			
15-64 years: 1.04 male(s)/female 
			
65 years and over: 1.17 male(s)/female 
			
total population: 1.05 male(s)/female (2004 est.) 
				", 1.06 , 1.06 , 1.04 , 1.17 , 1.05 
Barbados,"birth: 1.01 male(s)/female 
			
under 15 years: 1.01 male(s)/female 
			
15-64 years: 0.96 male(s)/female 
			
65 years and over: 0.62 male(s)/female 
			
total population: 0.93 male(s)/female (2004 est.) 
				", 1.01 , 1.01 , 0.96 , 0.62 , 0.93 
Belarus,"birth: 1.05 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 0.95 male(s)/female 
			
65 years and over: 0.5 male(s)/female 
			
total population: 0.88 male(s)/female (2004 est.) 
				", 1.05 , 1.04 , 0.95 , 0.5 , 0.88 
Belgium,"birth: 1.05 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 1.02 male(s)/female 
			
65 years and over: 0.7 male(s)/female 
			
total population: 0.96 male(s)/female (2004 est.) 
				", 1.05 , 1.04 , 1.02 , 0.7 , 0.96 
Belize,"birth: 1.05 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 1.02 male(s)/female 
			
65 years and over: 0.94 male(s)/female 
			
total population: 1.03 male(s)/female (2004 est.) 
				", 1.05 , 1.04 , 1.02 , 0.94 , 1.03 
Benin,"birth: 1.03 male(s)/female 
			
under 15 years: 1.02 male(s)/female 
			
15-64 years: 0.95 male(s)/female 
			
65 years and over: 0.71 male(s)/female 
			
total population: 0.98 male(s)/female (2004 est.) 
				", 1.03 , 1.02 , 0.95 , 0.71 , 0.98 
Bermuda,"birth: 1.02 male(s)/female 
			
under 15 years: 1 male(s)/female 
			
15-64 years: 0.98 male(s)/female 
			
65 years and over: 0.77 male(s)/female 
			
total population: 0.96 male(s)/female (2004 est.) 
				", 1.02 , 1 , 0.98 , 0.77 , 0.96 
Bhutan,"birth: 1.05 male(s)/female 
			
under 15 years: 1.08 male(s)/female 
			
15-64 years: 1.06 male(s)/female 
			
65 years and over: 1.02 male(s)/female 
			
total population: 1.07 male(s)/female (2004 est.) 
				", 1.05 , 1.08 , 1.06 , 1.02 , 1.07 
Bolivia,"birth: 1.05 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 0.96 male(s)/female 
			
65 years and over: 0.81 male(s)/female 
			
total population: 0.98 male(s)/female (2004 est.) 
				", 1.05 , 1.04 , 0.96 , 0.81 , 0.98 
Bosnia and Herzegovina,"birth: 1.07 male(s)/female 
			
under 15 years: 1.06 male(s)/female 
			
15-64 years: 1.05 male(s)/female 
			
65 years and over: 0.75 male(s)/female 
			
total population: 1.01 male(s)/female (2004 est.) 
				", 1.07 , 1.06 , 1.05 , 0.75 , 1.01 
