Country,sex_ratio,at birth,0-14,15-64,65 years and ove,total population
Afghanistan,"birth: 1.05 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 1.05 male(s)/female 
			
65 years and over: 0.95 male(s)/female 
			
total population: 1.05 male(s)/female (2005 est.) 
				", 1.05 , 1.05 , 1.05 , 0.95 , 1.05 
Albania,"birth: 1.1 male(s)/female 
			
under 15 years: 1.1 male(s)/female 
			
15-64 years: 1.05 male(s)/female 
			
65 years and over: 0.86 male(s)/female 
			
total population: 1.04 male(s)/female (2005 est.) 
				", 1.1 , 1.1 , 1.05 , 0.86 , 1.04 
Algeria,"birth: 1.05 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 1.02 male(s)/female 
			
65 years and over: 0.89 male(s)/female 
			
total population: 1.02 male(s)/female (2005 est.) 
				", 1.05 , 1.04 , 1.02 , 0.89 , 1.02 
American Samoa,"birth: 1.06 male(s)/female 
			
under 15 years: 1.08 male(s)/female 
			
15-64 years: 1.07 male(s)/female 
			
65 years and over: 0.62 male(s)/female 
			
total population: 1.06 male(s)/female (2005 est.) 
				", 1.06 , 1.08 , 1.07 , 0.62 , 1.06 
Andorra,"birth: 1.07 male(s)/female 
			
under 15 years: 1.1 male(s)/female 
			
15-64 years: 1.1 male(s)/female 
			
65 years and over: 0.98 male(s)/female 
			
total population: 1.08 male(s)/female (2005 est.) 
				", 1.07 , 1.1 , 1.1 , 0.98 , 1.08 
Angola,"birth: 1.05 male(s)/female 
			
under 15 years: 1.02 male(s)/female 
			
15-64 years: 1.04 male(s)/female 
			
65 years and over: 0.8 male(s)/female 
			
total population: 1.02 male(s)/female (2005 est.) 
				", 1.05 , 1.02 , 1.04 , 0.8 , 1.02 
Anguilla,"birth: 1.03 male(s)/female 
			
under 15 years: 1.03 male(s)/female 
			
15-64 years: 1.06 male(s)/female 
			
65 years and over: 0.8 male(s)/female 
			
total population: 1.03 male(s)/female (2005 est.) 
				", 1.03 , 1.03 , 1.06 , 0.8 , 1.03 
Antigua and Barbuda,"birth: 1.05 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 1.01 male(s)/female 
			
65 years and over: 0.63 male(s)/female 
			
total population: 1 male(s)/female (2005 est.) 
				", 1.05 , 1.04 , 1.01 , 0.63 , 1 
Argentina,"birth: 1.05 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 1 male(s)/female 
			
65 years and over: 0.7 male(s)/female 
			
total population: 0.97 male(s)/female (2005 est.) 
				", 1.05 , 1.05 , 1 , 0.7 , 0.97 
Armenia,"birth: 1.17 male(s)/female 
			
under 15 years: 1.11 male(s)/female 
			
15-64 years: 0.87 male(s)/female 
			
65 years and over: 0.68 male(s)/female 
			
total population: 0.9 male(s)/female (2005 est.) 
				", 1.17 , 1.11 , 0.87 , 0.68 , 0.9 
Aruba,"birth: 1.05 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 0.95 male(s)/female 
			
65 years and over: 0.7 male(s)/female 
			
total population: 0.93 male(s)/female (2005 est.) 
				", 1.05 , 1.05 , 0.95 , 0.7 , 0.93 
Australia,"birth: 1.05 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 1.02 male(s)/female 
			
65 years and over: 0.79 male(s)/female 
			
total population: 0.99 male(s)/female (2005 est.) 
				", 1.05 , 1.05 , 1.02 , 0.79 , 0.99 
Austria,"birth: 1.05 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 1.01 male(s)/female 
			
65 years and over: 0.67 male(s)/female 
			
total population: 0.95 male(s)/female (2005 est.) 
				", 1.05 , 1.05 , 1.01 , 0.67 , 0.95 
Azerbaijan,"birth: 1.05 male(s)/female 
			
under 15 years: 1.03 male(s)/female 
			
15-64 years: 0.95 male(s)/female 
			
65 years and over: 0.66 male(s)/female 
			
total population: 0.94 male(s)/female (2005 est.) 
				", 1.05 , 1.03 , 0.95 , 0.66 , 0.94 
"Bahamas, The","birth: 1.02 male(s)/female 
			
under 15 years: 1 male(s)/female 
			
15-64 years: 0.97 male(s)/female 
			
65 years and over: 0.69 male(s)/female 
			
total population: 0.96 male(s)/female (2005 est.) 
				", 1.02 , 1 , 0.97 , 0.69 , 0.96 
Bahrain,"birth: 1.03 male(s)/female 
			
under 15 years: 1.02 male(s)/female 
			
15-64 years: 1.4 male(s)/female 
			
65 years and over: 1.06 male(s)/female 
			
total population: 1.27 male(s)/female (2005 est.) 
				", 1.03 , 1.02 , 1.4 , 1.06 , 1.27 
Bangladesh,"birth: 1.06 male(s)/female 
			
under 15 years: 1.06 male(s)/female 
			
15-64 years: 1.04 male(s)/female 
			
65 years and over: 1.16 male(s)/female 
			
total population: 1.05 male(s)/female (2005 est.) 
				", 1.06 , 1.06 , 1.04 , 1.16 , 1.05 
Barbados,"birth: 1.01 male(s)/female 
			
under 15 years: 1.01 male(s)/female 
			
15-64 years: 0.96 male(s)/female 
			
65 years and over: 0.62 male(s)/female 
			
total population: 0.93 male(s)/female (2005 est.) 
				", 1.01 , 1.01 , 0.96 , 0.62 , 0.93 
Belarus,"birth: 1.05 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 0.95 male(s)/female 
			
65 years and over: 0.5 male(s)/female 
			
total population: 0.88 male(s)/female (2005 est.) 
				", 1.05 , 1.04 , 0.95 , 0.5 , 0.88 
Belgium,"birth: 1.04 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 1.02 male(s)/female 
			
65 years and over: 0.7 male(s)/female 
			
total population: 0.96 male(s)/female (2005 est.) 
				", 1.04 , 1.04 , 1.02 , 0.7 , 0.96 
Belize,"birth: 1.05 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 1.02 male(s)/female 
			
65 years and over: 0.93 male(s)/female 
			
total population: 1.03 male(s)/female (2005 est.) 
				", 1.05 , 1.04 , 1.02 , 0.93 , 1.03 
Benin,"birth: 1.03 male(s)/female 
			
under 15 years: 1.02 male(s)/female 
			
15-64 years: 0.96 male(s)/female 
			
65 years and over: 0.7 male(s)/female 
			
total population: 0.98 male(s)/female (2005 est.) 
				", 1.03 , 1.02 , 0.96 , 0.7 , 0.98 
Bermuda,"birth: 1.02 male(s)/female 
			
under 15 years: 1 male(s)/female 
			
15-64 years: 0.98 male(s)/female 
			
65 years and over: 0.77 male(s)/female 
			
total population: 0.96 male(s)/female (2005 est.) 
				", 1.02 , 1 , 0.98 , 0.77 , 0.96 
Bhutan,"birth: 1.05 male(s)/female 
			
under 15 years: 1.08 male(s)/female 
			
15-64 years: 1.06 male(s)/female 
			
65 years and over: 1.02 male(s)/female 
			
total population: 1.07 male(s)/female (2005 est.) 
				", 1.05 , 1.08 , 1.06 , 1.02 , 1.07 
Bolivia,"birth: 1.05 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 0.96 male(s)/female 
			
65 years and over: 0.8 male(s)/female 
			
total population: 0.98 male(s)/female (2005 est.) 
				", 1.05 , 1.04 , 0.96 , 0.8 , 0.98 
Bosnia and Herzegovina,"birth: 1.07 male(s)/female 
			
under 15 years: 1.06 male(s)/female 
			
15-64 years: 1.05 male(s)/female 
			
65 years and over: 0.75 male(s)/female 
			
total population: 1.01 male(s)/female (2005 est.) 
				", 1.07 , 1.06 , 1.05 , 0.75 , 1.01 
Botswana,"birth: 1.03 male(s)/female 
			
under 15 years: 1.03 male(s)/female 
			
15-64 years: 0.93 male(s)/female 
			
65 years and over: 0.63 male(s)/female 
			
total population: 0.96 male(s)/female (2005 est.) 
				", 1.03 , 1.03 , 0.93 , 0.63 , 0.96 
Brazil,"birth: 1.05 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 0.98 male(s)/female 
			
65 years and over: 0.7 male(s)/female 
			
total population: 0.98 male(s)/female (2005 est.) 
				", 1.05 , 1.04 , 0.98 , 0.7 , 0.98 
British Virgin Islands,"birth: 1.02 male(s)/female 
			
under 15 years: 1.02 male(s)/female 
			
15-64 years: 1.06 male(s)/female 
			
65 years and over: 1.12 male(s)/female 
			
total population: 1.05 male(s)/female (2005 est.) 
				", 1.02 , 1.02 , 1.06 , 1.12 , 1.05 
Brunei,"birth: 1.06 male(s)/female 
			
under 15 years: 1.04 male(s)/female 
			
15-64 years: 1.13 male(s)/female 
			
65 years and over: 0.9 male(s)/female 
			
total population: 1.09 male(s)/female (2005 est.) 
				", 1.06 , 1.04 , 1.13 , 0.9 , 1.09 
Bulgaria,"birth: 1.06 male(s)/female 
			
under 15 years: 1.05 male(s)/female 
			
15-64 years: 0.97 male(s)/female 
			
65 years and over: 0.71 male(s)/female 
			
total population: 0.93 male(s)/female (2005 est.) 
				", 1.06 , 1.05 , 0.97 , 0.71 , 0.93 
