Country,"population_below_poverty_line( migrant(s)/1,000 population)"
World,53%
Afghanistan,25%
Akrotiri,23%
Albania,NA
Algeria,NA
American Samoa,40.5%
Andorra,23%
Angola,NA
Anguilla,23.4%
Antarctica,26.5%
Antigua and Barbuda,NA
Arctic Ocean,NA
Argentina,5.9%
Armenia,24%
Aruba,9.3%
Ashmore and Cartier Islands,NA
Atlantic Ocean,45%
Australia,NA
Austria,27.1%
Azerbaijan,15.2%
"Bahamas, The",33.5%
Bahrain,37.4%
Baker Island,19%
Bangladesh,31.7%
Barbados,60%
Belarus,25%
Belgium,30.3%
Belize,31%
Benin,NA
Bermuda,NA
Bhutan,14.1%
Bolivia,46.4%
Bosnia and Herzegovina,32.7%
Botswana,68%
Bouvet Island,35%
Brazil,48%
British Indian Ocean Territory,NA
British Virgin Islands,30%
Brunei,NA
Bulgaria,NA
Burkina Faso,80%
Burma,18.2%
Burundi,8%
Cambodia,49.2%
Cameroon,60%
Canada,NA
Cape Verde,NA
Cayman Islands,NA
Central African Republic,16%
Chad,42%
