Country,"population_below_poverty_line( migrant(s)/1,000 population)"
Afghanistan,23%
Albania,30%
Algeria,23%
American Samoa,NA
Andorra,NA
Angola,70%
Anguilla,NA
Antigua and Barbuda,NA
Argentina,51.7%
Armenia,50%
Aruba,NA
Australia,NA
Austria,3.9%
Azerbaijan,49%
"Bahamas, The",NA
Bahrain,NA
Bangladesh,35.6%
Barbados,NA
Belarus,22%
Belgium,4%
Belize,33%
Benin,37%
Bermuda,19%
Bhutan,NA
Bolivia,70%
Bosnia and Herzegovina,NA
Botswana,47%
Brazil,22%
British Virgin Islands,NA
Brunei,NA
Bulgaria,13.4%
Burkina Faso,45%
Burma,25%
Burundi,68%
Cambodia,36%
Cameroon,48%
Canada,NA
Cape Verde,30%
Cayman Islands,NA
Central African Republic,NA
Chad,80%
Chile,20.6%
China,10%
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,55%
Comoros,60%
"Congo, Democratic Republic of the",NA
"Congo, Republic of the",NA
Cook Islands,NA
