Country,"population_below_poverty_line( migrant(s)/1,000 population)"
Afghanistan,53%
Albania,25%
Algeria,25%
American Samoa,NA
Andorra,NA
Angola,70%
Anguilla,23%
Antigua and Barbuda,NA
Argentina,23.4%
Armenia,26.5%
Aruba,NA
Australia,NA
Austria,5.9%
Azerbaijan,24%
"Bahamas, The",9.3%
Bahrain,NA
Bangladesh,45%
Barbados,NA
Belarus,27.1%
Belgium,15.2%
Belize,33.5%
Benin,37.4%
Bermuda,19%
Bhutan,31.7%
Bolivia,60%
Bosnia and Herzegovina,25%
Botswana,30.3%
Brazil,31%
British Virgin Islands,NA
Brunei,NA
Bulgaria,14.1%
Burkina Faso,46.4%
Burma,32.7%
Burundi,68%
Cambodia,35%
Cameroon,48%
Canada,NA
Cape Verde,30%
Cayman Islands,NA
Central African Republic,NA
Chad,80%
Chile,18.2%
China,8%
Colombia,49.2%
Comoros,60%
"Congo, Democratic Republic of the",NA
"Congo, Republic of the",NA
Cook Islands,NA
Costa Rica,16%
Cote d'Ivoire,42%
