Country,"population_below_poverty_line( migrant(s)/1,000 population)"
Afghanistan,NA
Albania,30%
Algeria,23%
American Samoa,NA
Andorra,NA
Angola,NA
Anguilla,NA
Antigua and Barbuda,NA
Argentina,37%
Armenia,50%
Aruba,NA
Australia,NA
Austria,NA
Azerbaijan,49%
"Bahamas, The",NA
Bahrain,NA
Bangladesh,35.6%
Barbados,NA
Belarus,22%
Belgium,4%
Belize,33%
Benin,37%
Bermuda,NA
Bhutan,NA
Bolivia,70%
Bosnia and Herzegovina,NA
Botswana,47%
Brazil,22%
British Virgin Islands,NA
Brunei,NA
Bulgaria,12.6%
Burkina Faso,45%
Burma,25%
Burundi,70%
Cambodia,36%
Cameroon,48%
Canada,NA
Cape Verde,30%
Cayman Islands,NA
Central African Republic,NA
Chad,80%
Chile,21%
China,10%
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,55%
Comoros,60%
"Congo, Democratic Republic of the",NA
"Congo, Republic of the",NA
Cook Islands,NA
