Country,"net_migration_rate( migrant(s)/1,000 population)"
Afghanistan,10.32
Albania,-1.39
Algeria,-0.4
American Samoa,3.29
Andorra,6.67
Angola,0.0
Anguilla,12.8
Antigua and Barbuda,-6.19
Argentina,0.62
Armenia,-3.15
Aruba,0.0
Australia,4.05
Austria,2.44
Azerbaijan,-5.16
"Bahamas, The",-2.21
Bahrain,1.07
Bangladesh,-0.72
Barbados,-0.31
Belarus,2.66
Belgium,0.97
Belize,0.0
Benin,0.0
Bermuda,2.56
Bhutan,0.0
Bolivia,-1.37
Bosnia and Herzegovina,0.32
Botswana,0.0
Brazil,-0.03
British Virgin Islands,10.45
Brunei,3.75
Bulgaria,-4.58
Burkina Faso,0.0
Burma,-1.81
Burundi,-0.12
Cambodia,0.0
Cameroon,0.0
Canada,6.01
Cape Verde,-12.16
Cayman Islands,19.27
Central African Republic,0.0
Chad,0.0
Chile,0.0
China,-0.23
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,-0.32
Comoros,0.0
"Congo, Democratic Republic of the",-1.26
"Congo, Republic of the",0.0
Costa Rica,0.51
Cote d'Ivoire,-0.08
Croatia,1.61
Cuba,-1.05
Cyprus,0.43
Czech Republic,0.97
Denmark,2.04
Djibouti,0.0
Dominica,-16.11
Dominican Republic,-3.43
East Timor,0.0
Ecuador,-0.52
Egypt,-0.23
El Salvador,-3.81
Equatorial Guinea,0.0
Eritrea,-13.38
Estonia,-0.71
Ethiopia,0.0
Falkland Islands (Islas Malvinas),NA
Faroe Islands,1.9
Fiji,-3.24
Finland,0.63
France,0.66
French Guiana,7.49
French Polynesia,2.99
Gabon,0.0
"Gambia, The",1.89
Gaza Strip,1.66
Georgia,-2.3
Germany,2.18
Ghana,-0.83
Gibraltar,0.0
Greece,1.96
Greenland,-8.37
Grenada,-14.56
Guadeloupe,-0.15
Guam,0.0
Guatemala,-1.71
Guernsey,3.86
Guinea,-3.14
Guinea-Bissau,-1.6
Guyana,-4.16
Haiti,-4.03
Honduras,-2.04
Hong Kong,7.64
Hungary,0.78
Iceland,-2.26
India,-0.07
Indonesia,0.0
Iran,-0.86
Iraq,0.0
Ireland,3.57
Israel,1.39
Italy,2.07
Jamaica,-5.78
Japan,0.0
Jersey,2.77
Jordan,6.78
Kazakhstan,-5.89
Kenya,-0.15
Kiribati,0.0
"Korea, North",0.0
"Korea, South",0.0
Kuwait,14.04
Kyrgyzstan,-2.37
Laos,0.0
Latvia,-1.19
Lebanon,0.0
Lesotho,-0.74
Liberia,-10.7
Libya,0.0
Liechtenstein,4.89
Lithuania,0.14
Luxembourg,9.14
Macau,8.93
"Macedonia, The Former Yugoslav Republic of",-1.46
Madagascar,0.0
Malawi,0.0
Malaysia,0.0
Maldives,0.0
Mali,-0.34
Malta,2.34
"Man, Isle of",5.39
Marshall Islands,-6.18
Martinique,-0.06
Mauritania,0.0
Mauritius,-0.91
Mayotte,7.94
Mexico,-2.65
"Micronesia, Federated States of",-20.98
Moldova,-0.27
Monaco,7.78
Mongolia,0.0
Montserrat,34.8
Morocco,-1.03
Mozambique,0.0
Namibia,0.0
Nauru,0.0
Nepal,0.0
Netherlands,2.35
Netherlands Antilles,-0.41
New Caledonia,0.0
New Zealand,4.26
Nicaragua,-1.27
Niger,-0.69
Nigeria,0.26
Niue,NA
Norfolk Island,NA
Northern Mariana Islands,16.11
Norway,2.09
Oman,0.29
Pakistan,-0.75
Palau,3.4
Panama,-0.97
Papua New Guinea,0.0
Paraguay,-0.08
Peru,-1.03
Philippines,-1.5
Pitcairn Islands,NA
Poland,-0.49
Portugal,0.49
Puerto Rico,-1.54
Qatar,17.48
Reunion,0.0
Romania,-0.6
Russia,0.91
Rwanda,0.0
Saint Helena,0.0
Saint Kitts and Nevis,-8.31
Saint Lucia,-3.15
Saint Pierre and Miquelon,-4.87
Saint Vincent and the Grenadines,-7.66
Samoa,-11.67
San Marino,11.13
Sao Tome and Principe,-2.93
Saudi Arabia,1.23
Senegal,0.21
Serbia and Montenegro,-1.38
Seychelles,-5.84
Sierra Leone,6.19
Singapore,25.76
Slovakia,0.53
Slovenia,2.34
Solomon Islands,0.0
Somalia,5.56
South Africa,-0.35
Spain,0.99
Sri Lanka,-1.35
Sudan,0.24
Suriname,-8.84
Svalbard,NA
Swaziland,0.0
Sweden,1.0
Switzerland,1.37
Syria,0.0
Taiwan,0.0
Tajikistan,-3.06
Tanzania,-4.91
Thailand,0.0
Togo,0.0
Tokelau,NA
Tonga,0.0
Trinidad and Tobago,-10.79
Tunisia,-0.6
Turkey,0.0
Turkmenistan,-0.92
Turks and Caicos Islands,12.25
Tuvalu,0.0
Uganda,0.0
Ukraine,-0.41
United Arab Emirates,1.22
United Kingdom,2.2
United States,3.52
Uruguay,-0.35
Uzbekistan,-1.83
Vanuatu,0.0
Venezuela,-0.07
Vietnam,-0.46
Virgin Islands,0.12
Wallis and Futuna,NA
West Bank,3.07
Yemen,0.0
Zambia,0.0
Zimbabwe,NA
