Country,"literacy( migrant(s)/1,000 population)"
Afghanistan,36.0%
Albania,86.5%
Algeria,70.0%
American Samoa,97.0%
Andorra,100.0%
Angola,42.0%
Anguilla,95.0%
Antigua and Barbuda,89.0%
Argentina,97.1%
Armenia,98.6%
Aruba,97.0%
Australia,100.0%
Austria,98.0%
Azerbaijan,97.0%
"Bahamas, The",95.6%
Bahrain,89.1%
Bangladesh,43.1%
Barbados,97.4%
Belarus,99.6%
Belgium,98.0%
Belize,94.1%
Benin,40.9%
Bermuda,98.0%
Bhutan,42.2%
Bolivia,87.2%
Bosnia and Herzegovina,NA
Botswana,79.8%
Brazil,86.4%
British Virgin Islands,97.8%
Brunei,93.9%
Bulgaria,98.6%
Burkina Faso,26.6%
Burma,85.3%
Burundi,51.6%
Cambodia,69.4%
Cameroon,79.0%
Canada,97.0%
Cape Verde,76.6%
Cayman Islands,98.0%
Central African Republic,51.0%
Chad,47.5%
Chile,96.2%
China,90.9%
Christmas Island,NA
Colombia,92.5%
Comoros,56.5%
"Congo, Democratic Republic of the",65.5%
"Congo, Republic of the",83.8%
Cook Islands,95.0%
Costa Rica,96.0%
Cote d'Ivoire,50.9%
Croatia,98.5%
Cuba,97.0%
Cyprus,97.6%
Czech Republic,99.9%
Denmark,100.0%
Djibouti,67.9%
Dominica,94.0%
Dominican Republic,84.7%
East Timor,58.6%
Ecuador,92.5%
Egypt,57.7%
El Salvador,80.2%
Equatorial Guinea,85.7%
Eritrea,58.6%
Estonia,99.8%
Ethiopia,42.7%
Faroe Islands,NA
Fiji,93.7%
Finland,100.0%
France,99.0%
French Guiana,83.0%
French Polynesia,98.0%
Gabon,63.2%
"Gambia, The",40.1%
Gaza Strip,NA
Georgia,99.0%
Germany,99.0%
Ghana,74.8%
Gibraltar,NA
Greece,97.5%
Greenland,NA
Grenada,98.0%
Guadeloupe,90.0%
Guam,99.0%
Guatemala,70.6%
Guernsey,NA
Guinea,35.9%
Guinea-Bissau,42.4%
Guyana,98.8%
Haiti,52.9%
Holy See (Vatican City),100.0%
Honduras,76.2%
Hong Kong,93.5%
Hungary,99.4%
Iceland,99.9%
India,59.5%
Indonesia,87.9%
Iran,79.4%
Iraq,40.4%
Ireland,98.0%
Israel,95.4%
Italy,98.6%
Jamaica,87.9%
Japan,99.0%
Jersey,NA
Jordan,91.3%
Kazakhstan,98.4%
Kenya,85.1%
Kiribati,NA
"Korea, North",99.0%
"Korea, South",97.9%
Kuwait,83.5%
Kyrgyzstan,97.0%
Laos,66.4%
Latvia,99.8%
Lebanon,87.4%
Lesotho,84.8%
Liberia,57.5%
Libya,82.6%
Liechtenstein,100.0%
Lithuania,99.6%
Luxembourg,100.0%
Macau,94.5%
Macedonia,NA
Madagascar,68.9%
Malawi,62.7%
Malaysia,88.7%
Maldives,97.2%
Mali,46.4%
Malta,92.8%
"Man, Isle of",NA
Marshall Islands,93.7%
Martinique,97.7%
Mauritania,41.7%
Mauritius,85.6%
Mayotte,NA
Mexico,92.2%
"Micronesia, Federated States of",89.0%
Moldova,99.1%
Monaco,99.0%
Mongolia,97.8%
Montserrat,97.0%
Morocco,51.7%
Mozambique,47.8%
Namibia,84.0%
Nauru,NA
Nepal,45.2%
Netherlands,99.0%
Netherlands Antilles,96.7%
New Caledonia,91.0%
New Zealand,99.0%
Nicaragua,67.5%
Niger,17.6%
Nigeria,68.0%
Niue,95.0%
Norfolk Island,NA
Northern Mariana Islands,97.0%
Norway,100.0%
Oman,75.8%
Pakistan,45.7%
Palau,92.0%
Panama,92.6%
Papua New Guinea,64.6%
Paraguay,94.0%
Peru,90.9%
Philippines,92.6%
Pitcairn Islands,NA
Poland,99.8%
Portugal,93.3%
Puerto Rico,94.1%
Qatar,82.5%
Reunion,88.9%
Romania,98.4%
Russia,99.6%
Rwanda,70.4%
Saint Helena,97.0%
Saint Kitts and Nevis,97.0%
Saint Lucia,67.0%
Saint Pierre and Miquelon,99.0%
Saint Vincent and the Grenadines,96.0%
Samoa,99.7%
San Marino,96.0%
Sao Tome and Principe,79.3%
Saudi Arabia,78.8%
Senegal,40.2%
Serbia and Montenegro,93.0%
Seychelles,58.0%
Sierra Leone,31.4%
Singapore,92.5%
Slovakia,NA
Slovenia,99.7%
Solomon Islands,NA
Somalia,37.8%
South Africa,86.4%
Spain,97.9%
Sri Lanka,92.3%
Sudan,61.1%
Suriname,93.0%
Svalbard,NA
Swaziland,81.6%
Sweden,99.0%
Switzerland,99.0%
Syria,76.9%
Taiwan,96.1%
Tajikistan,99.4%
Tanzania,78.2%
Thailand,92.6%
Togo,60.9%
Tokelau,NA
Tonga,98.5%
Trinidad and Tobago,98.6%
Tunisia,74.2%
Turkey,86.5%
Turkmenistan,98.0%
Turks and Caicos Islands,98.0%
Tuvalu,NA
Uganda,69.9%
Ukraine,99.7%
United Arab Emirates,77.9%
United Kingdom,99.0%
United States,97.0%
Uruguay,98.0%
Uzbekistan,99.3%
Vanuatu,53.0%
Venezuela,93.4%
Vietnam,90.3%
Virgin Islands,NA
Wallis and Futuna,50.0%
West Bank,NA
Western Sahara,NA
World,77.0%
Yemen,50.2%
Zambia,80.6%
Zimbabwe,90.7%
