Country,"literacy( migrant(s)/1,000 population)"
Afghanistan,28.1%
Albania,98.7%
Algeria,69.9%
American Samoa,97.0%
Andorra,100.0%
Angola,70.1%
Anguilla,95.0%
Antigua and Barbuda,85.8%
Argentina,97.2%
Armenia,99.6%
Aruba,97.3%
Australia,99.0%
Austria,98.0%
Azerbaijan,99.8%
"Bahamas, The",95.6%
Bahrain,94.6%
Bangladesh,56.8%
Barbados,99.7%
Belarus,99.6%
Belgium,99.0%
Belize,76.9%
Benin,42.4%
Bermuda,98.0%
Bhutan,47.0%
Bolivia,86.7%
Bosnia and Herzegovina,97.9%
Botswana,84.5%
Brazil,88.6%
British Virgin Islands,97.8%
Brunei,92.7%
Bulgaria,98.4%
Burkina Faso,21.8%
Burma,89.9%
Burundi,67.2%
Cambodia,73.6%
Cameroon,75.9%
Canada,99.0%
Cape Verde,84.3%
Cayman Islands,98.0%
Central African Republic,56.0%
Chad,34.5%
Chile,95.7%
China,92.2%
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,90.4%
Comoros,74.9%
"Congo, Democratic Republic of the",66.8%
"Congo, Republic of the",83.8%
Cook Islands,95.0%
Costa Rica,94.9%
Cote d'Ivoire,56.2%
Croatia,98.8%
Cuba,99.8%
Cyprus,97.6%
Czech Republic,99.0%
Denmark,99.0%
Djibouti,67.9%
Dominica,94.0%
Dominican Republic,87.0%
Ecuador,91.0%
Egypt,72.0%
El Salvador,81.1%
Equatorial Guinea,93.9%
Eritrea,67.8%
Estonia,99.8%
Ethiopia,42.7%
Falkland Islands (Islas Malvinas),NA
Faroe Islands,NA
Fiji,93.7%
Finland,100.0%
France,99.0%
French Polynesia,98.0%
Gabon,88.4%
"Gambia, The",50.0%
Gaza Strip,92.4%
Georgia,99.7%
Germany,99.0%
Ghana,67.3%
Gibraltar,NA
Greece,96.0%
Greenland,100.0%
Grenada,96.0%
Guam,99.0%
Guatemala,69.1%
Guernsey,NA
Guinea,41.0%
Guinea-Bissau,54.2%
Guyana,91.8%
Haiti,52.9%
Holy See (Vatican City),100.0%
Honduras,80.0%
Hong Kong,93.5%
Hungary,99.0%
Iceland,99.0%
India,61.0%
Indonesia,90.4%
Iran,77.0%
Iraq,78.2%
Ireland,99.0%
Isle of Man,NA
Israel,97.1%
Italy,98.4%
Jamaica,87.9%
Japan,99.0%
Jersey,NA
Jordan,92.6%
Kazakhstan,99.5%
Kenya,87.4%
Kiribati,NA
"Korea, North",99.0%
"Korea, South",97.9%
Kosovo,91.9%
Kuwait,93.3%
Kyrgyzstan,98.7%
Laos,73.0%
Latvia,99.8%
Lebanon,87.4%
Lesotho,89.6%
Liberia,60.8%
Libya,89.2%
Liechtenstein,100.0%
Lithuania,99.7%
Luxembourg,100.0%
Macau,91.3%
Macedonia,97.3%
Madagascar,64.5%
Malawi,74.8%
Malaysia,88.7%
Maldives,93.8%
Mali,31.1%
Malta,92.8%
Marshall Islands,93.7%
Mauritania,58.0%
Mauritius,88.5%
Mexico,86.1%
"Micronesia, Federated States of",89.0%
Moldova,98.5%
Monaco,99.0%
Mongolia,97.4%
Montenegro,98.4%
Montserrat,97.0%
Morocco,56.1%
Mozambique,56.1%
Namibia,88.8%
Nauru,NA
Nepal,60.3%
Netherlands,99.0%
New Caledonia,96.2%
New Zealand,99.0%
Nicaragua,67.5%
Niger,28.7%
Nigeria,61.3%
Niue,95.0%
Norfolk Island,NA
Northern Mariana Islands,97.0%
Norway,100.0%
Oman,81.4%
Pakistan,54.9%
Palau,92.0%
Panama,91.9%
Papua New Guinea,57.3%
Paraguay,94.0%
Peru,92.9%
Philippines,92.6%
Pitcairn Islands,NA
Poland,99.5%
Portugal,95.2%
Puerto Rico,94.1%
Qatar,96.3%
Romania,97.7%
Russia,99.6%
Rwanda,71.1%
"Saint Helena, Ascension, and Tristan da Cunha",97.0%
Saint Kitts and Nevis,97.8%
Saint Lucia,90.1%
Saint Pierre and Miquelon,99.0%
Saint Vincent and the Grenadines,96.0%
Samoa,99.7%
San Marino,96.0%
Sao Tome and Principe,84.9%
Saudi Arabia,86.6%
Senegal,39.3%
Serbia,97.9%
Seychelles,91.8%
Sierra Leone,35.1%
Singapore,92.5%
Slovakia,99.6%
Slovenia,99.7%
Solomon Islands,NA
Somalia,37.8%
South Africa,86.4%
South Sudan,27.0%
Spain,97.7%
Sri Lanka,91.2%
Sudan,61.1%
Suriname,89.6%
Svalbard,NA
Swaziland,81.6%
Sweden,99.0%
Switzerland,99.0%
Syria,79.6%
Taiwan,96.1%
Tajikistan,99.7%
Tanzania,69.4%
Thailand,92.6%
Timor-Leste,58.6%
Togo,60.9%
Tokelau,NA
Tonga,98.9%
Trinidad and Tobago,98.6%
Tunisia,74.3%
Turkey,87.4%
Turkmenistan,98.8%
Turks and Caicos Islands,98.0%
Tuvalu,NA
Uganda,66.8%
Ukraine,99.7%
United Arab Emirates,77.9%
United Kingdom,99.0%
United States,99.0%
Uruguay,98.0%
Uzbekistan,99.3%
Vanuatu,74.0%
Venezuela,93.0%
Vietnam,94.0%
Virgin Islands,NA
Wallis and Futuna,50.0%
West Bank,92.4%
Western Sahara,NA
World,83.7%
Yemen,63.9%
Zambia,80.6%
Zimbabwe,90.7%
