Country,"literacy( migrant(s)/1,000 population)"
Afghanistan,36.0%
Albania,93.0%
Algeria,61.6%
American Samoa,97.0%
Andorra,100.0%
Angola,42.0%
Anguilla,95.0%
Antigua and Barbuda,89.0%
Argentina,96.2%
Armenia,99.0%
Aruba,97.0%
Australia,100.0%
Austria,98.0%
Azerbaijan,97.0%
"Bahamas, The",98.2%
Bahrain,88.5%
Bangladesh,56.0%
Barbados,97.4%
Belarus,98.0%
Belgium,98.0%
Belize,70.3%
Benin,37.5%
Bermuda,98.0%
Bhutan,42.2%
Bolivia,83.1%
Bosnia and Herzegovina,NA
Botswana,69.8%
Brazil,83.3%
British Virgin Islands,97.8%
Brunei,88.2%
Bulgaria,98.0%
Burkina Faso,36.0%
Burma,83.1%
Burundi,35.3%
Cambodia,35.0%
Cameroon,63.4%
Canada,97.0%
Cape Verde,71.6%
Cayman Islands,98.0%
Central African Republic,60.0%
Chad,40.0%
Chile,95.2%
China,81.5%
Christmas Island,NA
Colombia,91.3%
Comoros,57.3%
"Congo, Democratic Republic of the",77.3%
"Congo, Republic of the",74.9%
Cook Islands,95.0%
Costa Rica,95.5%
Cote d'Ivoire,48.5%
Croatia,97.0%
Cuba,95.7%
Cyprus,97.0%
Czech Republic,99.9%
Denmark,100.0%
Djibouti,46.2%
Dominica,94.0%
Dominican Republic,82.1%
East Timor,48.0%
Ecuador,90.1%
Egypt,51.4%
El Salvador,71.5%
Equatorial Guinea,78.5%
Eritrea,25.0%
Estonia,100.0%
Ethiopia,35.5%
Faroe Islands,NA
Fiji,92.5%
Finland,100.0%
France,99.0%
French Guiana,83.0%
French Polynesia,98.0%
Gabon,63.2%
"Gambia, The",47.5%
Gaza Strip,NA
Georgia,99.0%
Germany,99.0%
Ghana,64.5%
Gibraltar,NA
Greece,97.0%
Greenland,NA
Grenada,98.0%
Guadeloupe,90.0%
Guam,99.0%
Guatemala,63.6%
Guernsey,NA
Guinea,35.9%
Guinea-Bissau,34.0%
Guyana,98.1%
Haiti,45.0%
Holy See (Vatican City),100.0%
Honduras,74.0%
Hong Kong,92.2%
Hungary,99.0%
Iceland,99.9%
India,52.0%
Indonesia,83.8%
Iran,72.1%
Iraq,58.0%
Ireland,98.0%
Israel,95.0%
Italy,98.0%
Jamaica,85.0%
Japan,99.0%
Jersey,NA
Jordan,86.6%
Kazakhstan,98.4%
Kenya,78.1%
Kiribati,NA
"Korea, North",99.0%
"Korea, South",98.0%
Kuwait,78.6%
Kyrgyzstan,97.0%
Laos,57.0%
Latvia,99.8%
Lebanon,86.4%
Lesotho,83.0%
Liberia,38.3%
Libya,76.2%
Liechtenstein,100.0%
Lithuania,98.0%
Luxembourg,100.0%
Macau,90.0%
"Macedonia, The Former Yugoslav Republic of",NA
Madagascar,80.0%
Malawi,58.0%
Malaysia,83.5%
Maldives,93.2%
Mali,38.0%
Malta,88.76%
"Man, Isle of",NA
Marshall Islands,93.7%
Martinique,93.0%
Mauritania,41.2%
Mauritius,82.9%
Mayotte,NA
Mexico,89.6%
"Micronesia, Federated States of",89.0%
Moldova,96.0%
Monaco,99.0%
Mongolia,97.8%
Montserrat,97.0%
Morocco,43.7%
Mozambique,42.3%
Namibia,38.0%
Nauru,NA
Nepal,27.5%
Netherlands,99.0%
Netherlands Antilles,98.0%
New Caledonia,91.0%
New Zealand,99.0%
Nicaragua,68.2%
Niger,15.3%
Nigeria,57.1%
Niue,95.0%
Norfolk Island,NA
Northern Mariana Islands,97.0%
Norway,100.0%
Oman,NA
Pakistan,42.7%
Palau,92.0%
Panama,90.8%
Papua New Guinea,64.5%
Paraguay,92.1%
Peru,88.3%
Philippines,94.6%
Pitcairn Islands,NA
Poland,99.0%
Portugal,87.4%
Puerto Rico,89.0%
Qatar,79.0%
Reunion,79.0%
Romania,97.0%
Russia,98.0%
Rwanda,48.0%
Saint Helena,97.0%
Saint Kitts and Nevis,97.0%
Saint Lucia,67.0%
Saint Pierre and Miquelon,99.0%
Saint Vincent and the Grenadines,96.0%
Samoa,80.0%
San Marino,96.0%
Sao Tome and Principe,79.3%
Saudi Arabia,78.0%
Senegal,39.1%
Serbia and Montenegro,93.0%
Seychelles,58.0%
Sierra Leone,31.4%
Singapore,93.5%
Slovakia,NA
Slovenia,99.0%
Solomon Islands,NA
Somalia,37.8%
South Africa,85.0%
Spain,97.0%
Sri Lanka,90.2%
Sudan,46.1%
Suriname,93.0%
Svalbard,NA
Swaziland,78.3%
Sweden,99.0%
Switzerland,99.0%
Syria,70.8%
Taiwan,86.0%
Tajikistan,98.0%
Tanzania,67.8%
Thailand,93.8%
Togo,51.7%
Tokelau,NA
Tonga,98.5%
Trinidad and Tobago,94.0%
Tunisia,66.7%
Turkey,85.0%
Turkmenistan,98.0%
Turks and Caicos Islands,98.0%
Tuvalu,55.0%
Uganda,62.7%
Ukraine,98.0%
United Arab Emirates,79.2%
United Kingdom,99.0%
United States,97.0%
Uruguay,97.3%
Uzbekistan,99.0%
Vanuatu,53.0%
Venezuela,91.1%
Vietnam,93.7%
Virgin Islands,NA
Wallis and Futuna,50.0%
West Bank,NA
Western Sahara,NA
World,77.0%
Yemen,38.0%
Zambia,78.9%
Zimbabwe,85.0%
