Country,"literacy( migrant(s)/1,000 population)"
Afghanistan,28.1%
Albania,96.8%
Algeria,72.6%
American Samoa,97.0%
Andorra,100.0%
Angola,70.4%
Anguilla,95.0%
Antigua and Barbuda,99.0%
Argentina,97.9%
Armenia,99.6%
Aruba,96.8%
Australia,99.0%
Austria,98.0%
Azerbaijan,99.8%
"Bahamas, The",95.6%
Bahrain,94.6%
Bangladesh,57.7%
Barbados,99.7%
Belarus,99.6%
Belgium,99.0%
Belize,76.9%
Benin,42.4%
Bermuda,98.0%
Bhutan,52.8%
Bolivia,91.2%
Bosnia and Herzegovina,98.0%
Botswana,85.1%
Brazil,90.4%
British Virgin Islands,97.8%
Brunei,95.4%
Bulgaria,98.4%
Burkina Faso,28.7%
Burma,92.7%
Burundi,67.2%
Cabo Verde,84.9%
Cambodia,73.9%
Cameroon,71.3%
Canada,99.0%
Cayman Islands,98.9%
Central African Republic,56.6%
Chad,35.4%
Chile,98.6%
China,95.1%
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,93.6%
Comoros,75.5%
"Congo, Democratic Republic of the",66.8%
"Congo, Republic of the",83.8%
Cook Islands,95.0%
Costa Rica,96.3%
Cote d'Ivoire,56.9%
Croatia,98.9%
Cuba,99.8%
Cyprus,98.7%
Czech Republic,99.0%
Denmark,99.0%
Djibouti,67.9%
Dominica,94.0%
Dominican Republic,90.1%
Ecuador,91.6%
Egypt,73.9%
El Salvador,84.5%
Equatorial Guinea,94.2%
Eritrea,68.9%
Estonia,99.8%
Ethiopia,39.0%
Falkland Islands (Islas Malvinas),NA
Faroe Islands,NA
Fiji,93.7%
Finland,100.0%
France,99.0%
French Polynesia,98.0%
Gabon,89.0%
"Gambia, The",51.1%
Gaza Strip,95.3%
Georgia,99.7%
Germany,99.0%
Ghana,71.5%
Gibraltar,NA
Greece,97.3%
Greenland,100.0%
Grenada,96.0%
Guam,99.0%
Guatemala,75.9%
Guernsey,NA
Guinea,41.0%
Guinea-Bissau,55.3%
Guyana,91.8%
Haiti,48.7%
Holy See (Vatican City),100.0%
Honduras,85.1%
Hong Kong,93.5%
Hungary,99.0%
Iceland,99.0%
India,62.8%
Indonesia,92.8%
Iran,85.0%
Iraq,78.5%
Ireland,99.0%
Isle of Man,NA
Israel,97.1%
Italy,99.0%
Jamaica,87.0%
Japan,99.0%
Jersey,NA
Jordan,95.9%
Kazakhstan,99.7%
Kenya,87.4%
Kiribati,NA
"Korea, North",100.0%
"Korea, South",97.9%
Kosovo,91.9%
Kuwait,93.9%
Kyrgyzstan,99.2%
Laos,72.7%
Latvia,99.8%
Lebanon,89.6%
Lesotho,89.6%
Liberia,60.8%
Libya,89.5%
Liechtenstein,100.0%
Lithuania,99.7%
Luxembourg,100.0%
Macau,95.6%
Macedonia,97.4%
Madagascar,64.5%
Malawi,74.8%
Malaysia,93.1%
Maldives,98.4%
Mali,33.4%
Malta,92.4%
Marshall Islands,93.7%
Mauritania,58.6%
Mauritius,88.8%
Mexico,93.5%
"Micronesia, Federated States of",89.0%
Moldova,99.0%
Monaco,99.0%
Mongolia,97.4%
Montenegro,98.5%
Montserrat,97.0%
Morocco,67.1%
Mozambique,56.1%
Namibia,88.8%
Nauru,NA
Nepal,57.4%
Netherlands,99.0%
New Caledonia,96.2%
New Zealand,99.0%
Nicaragua,78.0%
Niger,28.7%
Nigeria,61.3%
Niue,95.0%
Norfolk Island,NA
Northern Mariana Islands,97.0%
Norway,100.0%
Oman,86.9%
Pakistan,54.9%
Palau,92.0%
Panama,94.1%
Papua New Guinea,62.4%
Paraguay,93.9%
Peru,89.6%
Philippines,95.4%
Pitcairn Islands,NA
Poland,99.7%
Portugal,95.4%
Puerto Rico,90.3%
Qatar,96.3%
Romania,97.7%
Russia,99.7%
Rwanda,71.1%
"Saint Helena, Ascension, and Tristan da Cunha",97.0%
Saint Kitts and Nevis,97.8%
Saint Lucia,90.1%
Saint Pierre and Miquelon,99.0%
Saint Vincent and the Grenadines,96.0%
Samoa,98.8%
San Marino,96.0%
Sao Tome and Principe,69.5%
Saudi Arabia,87.2%
Senegal,49.7%
Serbia,98.0%
Seychelles,91.8%
Sierra Leone,43.3%
Singapore,95.9%
Slovakia,99.6%
Slovenia,99.7%
Solomon Islands,84.1%
Somalia,37.8%
South Africa,93.0%
South Sudan,27.0%
Spain,97.7%
Sri Lanka,91.2%
Sudan,71.9%
Suriname,94.7%
Svalbard,NA
Swaziland,87.8%
Sweden,99.0%
Switzerland,99.0%
Syria,84.1%
Taiwan,96.1%
Tajikistan,99.7%
Tanzania,67.8%
Thailand,93.5%
Timor-Leste,58.3%
Togo,60.4%
Tokelau,NA
Tonga,99.0%
Trinidad and Tobago,98.8%
Tunisia,79.1%
Turkey,94.1%
Turkmenistan,99.6%
Turks and Caicos Islands,98.0%
Tuvalu,NA
Uganda,73.2%
Ukraine,99.7%
United Arab Emirates,90.0%
United Kingdom,99.0%
United States,99.0%
Uruguay,98.1%
Uzbekistan,99.4%
Vanuatu,83.2%
Venezuela,95.5%
Vietnam,93.4%
Virgin Islands,NA
Wallis and Futuna,50.0%
West Bank,95.3%
Western Sahara,NA
World,84.1%
Yemen,65.3%
Zambia,61.4%
Zimbabwe,83.6%
