Country,"inflation_rate( migrant(s)/1,000 population)"
Afghanistan,6.8%
Albania,2%
Algeria,8.9%
American Samoa,NA
Andorra,1.1%
Angola,10.3%
Anguilla,4.4%
Antigua and Barbuda,3.4%
Argentina,25.3%
Armenia,2.6%
Aruba,0.6%
Australia,1.8%
Austria,1.1%
Azerbaijan,1.1%
"Bahamas, The",2%
Bahrain,2.8%
Bangladesh,6.6%
Barbados,4.8%
Belarus,59.1%
Belgium,2.6%
Belize,1.3%
Benin,6.8%
Bermuda,2.4%
Bhutan,10.9%
Bolivia,4.5%
Bosnia and Herzegovina,2.1%
Botswana,7.5%
Brazil,5.4%
British Virgin Islands,2.2%
Brunei,0.5%
Bulgaria,3%
Burkina Faso,3.8%
Burma,1.5%
Burundi,18%
Cabo Verde,2.5%
Cambodia,2.9%
Cameroon,2.9%
Canada,1.5%
Cayman Islands,1.2%
Central African Republic,5.8%
Chad,10.2%
Chile,3%
China,2.6%
Colombia,3.2%
Comoros,6.3%
"Congo, Democratic Republic of the",9.5%
"Congo, Republic of the",3.9%
Cook Islands,2.2%
Costa Rica,4.5%
Cote d'Ivoire,1.3%
Croatia,3.4%
Cuba,5.5%
Curacao,2.3%
Cyprus,2.4%
Czech Republic,3.3%
Denmark,2.4%
Djibouti,7.9%
Dominica,1.4%
Dominican Republic,3.7%
Ecuador,5.1%
Egypt,7.1%
El Salvador,1.8%
Equatorial Guinea,6.1%
Eritrea,17%
Estonia,3.9%
Ethiopia,22.9%
European Union,2.6%
Falkland Islands (Islas Malvinas),1.2%
Faroe Islands,2.3%
Fiji,4.4%
Finland,3.2%
France,2.2%
French Polynesia,1.1%
Gabon,2.7%
"Gambia, The",4.6%
Gaza Strip,2.8%
Georgia,-0.9%
Germany,2.1%
Ghana,9.2%
Gibraltar,2.8%
Greece,1.5%
Greenland,2.8%
Grenada,2.4%
Guam,4%
Guatemala,3.8%
Guernsey,3.4%
Guinea,15.2%
Guinea-Bissau,2.1%
Guyana,2.4%
Haiti,6.3%
Honduras,5.2%
Hong Kong,4.1%
Hungary,5.7%
Iceland,5.2%
India,9.7%
Indonesia,4.3%
Iran,19.9%
Iraq,6.1%
Ireland,1.7%
Isle of Man,5%
Israel,1.7%
Italy,3.3%
Jamaica,6.9%
Japan,0%
Jersey,3.7%
Jordan,4.8%
Kazakhstan,5.1%
Kenya,9.4%
Kiribati,0.2%
"Korea, North",NA
"Korea, South",2.2%
Kosovo,8.3%
Kuwait,2.9%
Kyrgyzstan,2.7%
Laos,4.3%
Latvia,2.3%
Lebanon,6.4%
Lesotho,6.1%
Liberia,6.8%
Libya,6.1%
Liechtenstein,0.2%
Lithuania,3.1%
Luxembourg,2.7%
Macau,6.1%
Macedonia,3.3%
Madagascar,6.4%
Malawi,21.4%
Malaysia,1.7%
Maldives,5.1%
Mali,5.4%
Malta,2.4%
Marshall Islands,12.9%
Mauritania,4.9%
Mauritius,3.9%
Mexico,4.1%
"Micronesia, Federated States of",3.4%
Moldova,4.5%
Monaco,1.5%
Mongolia,15%
Montenegro,4%
Montserrat,4.8%
Morocco,1.2%
Mozambique,2.1%
Namibia,6.5%
Nauru,NA
Nepal,9.5%
Netherlands,2.8%
New Caledonia,1.7%
New Zealand,1.1%
Nicaragua,7.2%
Niger,0.5%
Nigeria,12.2%
Niue,4%
Northern Mariana Islands,-2.7%
Norway,0.7%
Oman,2.9%
Pakistan,9.7%
Palau,2.7%
Panama,5.7%
Papua New Guinea,2.3%
Paraguay,3.7%
Peru,3.7%
Philippines,3.2%
Poland,3.7%
Portugal,2.8%
Puerto Rico,2.6%
Qatar,1.9%
Romania,3.3%
Russia,5.1%
Rwanda,6.3%
"Saint Helena, Ascension, and Tristan da Cunha",4%
Saint Kitts and Nevis,1.4%
Saint Lucia,4.2%
Saint Pierre and Miquelon,4.5%
Saint Vincent and the Grenadines,2.6%
Samoa,2.1%
San Marino,2.5%
Sao Tome and Principe,10.6%
Saudi Arabia,2.9%
Senegal,1.4%
Serbia,7.3%
Seychelles,7.1%
Sierra Leone,12.9%
Singapore,4.6%
Sint Maarten,4%
Slovakia,3.6%
Slovenia,2.6%
Solomon Islands,2.6%
Somalia,NA
South Africa,5.7%
South Sudan,79%
Spain,2.4%
Sri Lanka,7.5%
Sudan,37.4%
Suriname,5%
Swaziland,8.9%
Sweden,0.9%
Switzerland,-0.7%
Syria,36.9%
Taiwan,1.9%
Tajikistan,5.8%
Tanzania,16%
Thailand,3%
Timor-Leste,11.8%
Togo,2.6%
Tokelau,NA
Tonga,1.2%
Trinidad and Tobago,9.2%
Tunisia,5.6%
Turkey,8.9%
Turkmenistan,8.5%
Turks and Caicos Islands,2.5%
Tuvalu,3.8%
Uganda,14%
Ukraine,0.6%
United Arab Emirates,0.7%
United Kingdom,2.8%
United States,2.1%
Uruguay,8.1%
Uzbekistan,11.4%
Vanuatu,1.4%
Venezuela,21.1%
Vietnam,9.1%
Virgin Islands,2.2%
Wallis and Futuna,2.8%
West Bank,2.8%
Western Sahara,NA
World,NA
Yemen,9.9%
Zambia,6.6%
Zimbabwe,8.2%
