Country,"inflation_rate( migrant(s)/1,000 population)"
Afghanistan,16.3%
Albania,2.4%
Algeria,1.9%
American Samoa,NA
Andorra,3.4%
Angola,23%
Anguilla,5.3%
Antigua and Barbuda,0.9%
Argentina,9.6%
Armenia,0.6%
Aruba,3.4%
Australia,2.7%
Austria,2.3%
Azerbaijan,9.6%
"Bahamas, The",1.2%
Bahrain,2.7%
Bangladesh,7%
Barbados,-0.5%
Belarus,10.3%
Belgium,2.8%
Belize,3%
Benin,3.5%
Bermuda,2.8%
Bhutan,7%
Bolivia,5.4%
Bosnia and Herzegovina,4.4%
Botswana,8.6%
Brazil,6.9%
British Virgin Islands,2%
Brunei,0.9%
Bulgaria,5%
Burkina Faso,6.4%
Burma,20.2%
Burundi,16%
Cambodia,5.8%
Cameroon,2%
Canada,2.2%
Cape Verde,0.4%
Cayman Islands,4.4%
Central African Republic,3.6%
Chad,3%
Chile,3.1%
China,1.8%
Colombia,5%
Comoros,3%
"Congo, Democratic Republic of the",9%
"Congo, Republic of the",2.2%
Cook Islands,2.1%
Costa Rica,13.8%
Cote d'Ivoire,3.9%
Croatia,3.3%
Cuba,7%
Cyprus,NA
Czech Republic,1.9%
Denmark,1.8%
Djibouti,3%
Dominica,-0.1%
Dominican Republic,4.2%
East Timor,1.4%
Ecuador,2.1%
Egypt,4.9%
El Salvador,4.7%
Equatorial Guinea,5%
Eritrea,15%
Estonia,4.1%
Ethiopia,11.6%
European Union,2.2%
Falkland Islands (Islas Malvinas),3.6%
Faroe Islands,5.1%
Fiji,3%
Finland,0.9%
France,1.7%
French Guiana,1%
French Polynesia,1.1%
Gabon,-0.1%
"Gambia, The",8.8%
Gaza Strip,7%
Georgia,8.2%
Germany,2%
Ghana,15.1%
Gibraltar,1.5%
Greece,3.5%
Greenland,1.6%
Grenada,3%
Guadeloupe,NA
Guam,2.5%
Guatemala,9.1%
Guernsey,4.9%
Guinea,25%
Guinea-Bissau,4%
Guyana,6.9%
Haiti,15.7%
Honduras,8.8%
Hong Kong,0.9%
Hungary,3.6%
Iceland,4%
India,4.2%
Indonesia,10.5%
Iran,13.5%
Iraq,33%
Ireland,2.4%
Isle of Man,2.7%
Israel,1.3%
Italy,2%
Jamaica,15.3%
Japan,-0.3%
Jersey,5.3%
Jordan,4.5%
Kazakhstan,7.6%
Kenya,10.3%
Kiribati,0.5%
"Korea, North",NA
"Korea, South",2.8%
Kuwait,4.1%
Kyrgyzstan,5.2%
Laos,7%
Latvia,6.8%
Lebanon,2.4%
Lesotho,4.7%
Liberia,15%
Libya,3.4%
Liechtenstein,1%
Lithuania,2.7%
Luxembourg,2.5%
Macau,3.8%
Macedonia,0%
Madagascar,15%
Malawi,15.4%
Malaysia,3%
Maldives,6%
Mali,4.5%
Malta,3%
Marshall Islands,3%
Martinique,NA
Mauritania,7%
Mauritius,5%
Mayotte,NA
Mexico,4%
"Micronesia, Federated States of",2.2%
Moldova,11.9%
Monaco,1.9%
Mongolia,9.5%
Montenegro,3.4%
Montserrat,2.6%
Morocco,1%
Mozambique,6.5%
Namibia,2.3%
Nauru,-3.6%
Nepal,7.8%
Netherlands,1.7%
Netherlands Antilles,2.1%
New Caledonia,-0.6%
New Zealand,3%
Nicaragua,9.6%
Niger,0.2%
Nigeria,13.5%
Niue,4%
Northern Mariana Islands,-0.8%
Norway,1.6%
Oman,1.2%
Pakistan,9.1%
Palau,2.7%
Panama,2.9%
Papua New Guinea,1.7%
Paraguay,6.8%
Peru,1.6%
Philippines,7.6%
Poland,2.2%
Portugal,2.3%
Puerto Rico,6.5%
Qatar,8.8%
Reunion,NA
Romania,9%
Russia,12.7%
Rwanda,8%
Saint Helena,3.2%
Saint Kitts and Nevis,8.7%
Saint Lucia,2.9%
Saint Pierre and Miquelon,2.1%
Saint Vincent and the Grenadines,1%
Samoa,3.3%
San Marino,-1.7%
Sao Tome and Principe,15.2%
Saudi Arabia,0.4%
Senegal,1.7%
Serbia,15.5%
Seychelles,1.6%
Sierra Leone,1%
Singapore,0.4%
Slovakia,2.7%
Slovenia,2.5%
Solomon Islands,6.6%
Somalia,NA
South Africa,4%
Spain,3.4%
Sri Lanka,11.6%
Sudan,9%
Suriname,9.5%
Swaziland,4%
Sweden,0.5%
Switzerland,1.2%
Syria,5%
Taiwan,2.3%
Tajikistan,7.1%
Tanzania,4.3%
Thailand,4.5%
Togo,6%
Tokelau,NA
Tonga,11.1%
Trinidad and Tobago,6.9%
Tunisia,2.1%
Turkey,8.2%
Turkmenistan,10.5%
Turks and Caicos Islands,4%
Tuvalu,3.7%
Uganda,8.1%
Ukraine,13.5%
United Arab Emirates,10.5%
United Kingdom,2.1%
United States,3.2%
Uruguay,4.7%
Uzbekistan,6.9%
Vanuatu,-1.6%
Venezuela,16%
Vietnam,8.3%
Virgin Islands,2.2%
Wallis and Futuna,NA
West Bank,7%
Western Sahara,NA
World,NA
Yemen,11.8%
Zambia,18.3%
Zimbabwe,266.8%
