Country,"inflation_rate( migrant(s)/1,000 population)"
Afghanistan,0.9%
Albania,3.5%
Algeria,3.9%
American Samoa,NA
Andorra,1.6%
Angola,14.5%
Anguilla,1.1%
Antigua and Barbuda,2.9%
Argentina,22%
Armenia,8.2%
Aruba,2.1%
Australia,2.8%
Austria,1.7%
Azerbaijan,5.7%
"Bahamas, The",1.3%
Bahrain,2%
Bangladesh,8.1%
Barbados,5.4%
Belarus,7.8%
Belgium,2.3%
Belize,0.9%
Benin,2.3%
Bermuda,2.4%
Bhutan,7.1%
Bolivia,2.5%
Bosnia and Herzegovina,2.1%
Botswana,7%
Brazil,5%
British Virgin Islands,3.8%
Brunei,0.4%
Bulgaria,2.4%
Burkina Faso,-0.8%
Burma,7.7%
Burundi,6.4%
Cambodia,4%
Cameroon,1.3%
Canada,1.8%
Cape Verde,2.1%
Cayman Islands,0.3%
Central African Republic,1.5%
Chad,-2%
Chile,1.4%
China,3.2%
Colombia,2.3%
Comoros,2.7%
"Congo, Democratic Republic of the",23.1%
"Congo, Republic of the",5.2%
Cook Islands,2.1%
Costa Rica,5.7%
Cote d'Ivoire,1.1%
Croatia,1.1%
Cuba,2.9%
Curacao,3%
Cyprus,2.4%
Czech Republic,1.5%
Denmark,2.3%
Djibouti,4%
Dominica,3.2%
Dominican Republic,6.3%
Ecuador,3.6%
Egypt,11.1%
El Salvador,1.2%
Equatorial Guinea,8.2%
Eritrea,18%
Estonia,3%
Ethiopia,8.1%
European Union,1.9%
Falkland Islands (Islas Malvinas),3.6%
Faroe Islands,-1.1%
Fiji,5.5%
Finland,1.7%
France,1.7%
French Polynesia,1.1%
Gabon,1.5%
"Gambia, The",5%
Gaza Strip,6%
Georgia,7.1%
Germany,1.1%
Ghana,10.7%
Gibraltar,2.8%
Greece,4.7%
Greenland,9.4%
Grenada,5%
Guam,2.5%
Guatemala,3.9%
Guernsey,3.4%
Guinea,20%
Guinea-Bissau,2.5%
Guyana,4.5%
Haiti,5.7%
Honduras,4.7%
Hong Kong,2.3%
Hungary,4.9%
Iceland,5.4%
India,12%
Indonesia,5.1%
Iran,10.1%
Iraq,2.4%
Ireland,-0.9%
Isle of Man,3.1%
Israel,2.7%
Italy,1.6%
Jamaica,12.6%
Japan,-0.7%
Jersey,3.7%
Jordan,5%
Kazakhstan,7.1%
Kenya,4%
Kiribati,0.2%
"Korea, North",NA
"Korea, South",3%
Kosovo,3.5%
Kuwait,4%
Kyrgyzstan,8%
Laos,5.7%
Latvia,-1.1%
Lebanon,4%
Lesotho,3.6%
Liberia,7.3%
Libya,2.5%
Liechtenstein,0.7%
Lithuania,1.3%
Luxembourg,2.3%
Macau,2.8%
Macedonia,1.6%
Madagascar,9.2%
Malawi,7.4%
Malaysia,1.7%
Maldives,6%
Mali,1.1%
Malta,1.5%
Marshall Islands,12.9%
Mauritania,6.3%
Mauritius,2.9%
Mexico,4.2%
"Micronesia, Federated States of",2.2%
Moldova,7.4%
Monaco,1.9%
Mongolia,10.2%
Montenegro,3.4%
Montserrat,0.6%
Morocco,1%
Mozambique,13%
Namibia,4.5%
Nauru,NA
Nepal,10%
Netherlands,1.3%
New Caledonia,2.7%
New Zealand,2.3%
Nicaragua,5.5%
Niger,0.8%
Nigeria,13.7%
Niue,4%
Northern Mariana Islands,-0.8%
Norway,2.5%
Oman,3.2%
Pakistan,13.9%
Palau,2.7%
Panama,3.5%
Papua New Guinea,6%
Paraguay,4.7%
Peru,1.5%
Philippines,3.8%
Poland,2.6%
Portugal,1.4%
Puerto Rico,2.5%
Qatar,-2.4%
Romania,6.1%
Russia,6.9%
Rwanda,2.3%
"Saint Helena, Ascension, and Tristan da Cunha",3.2%
Saint Kitts and Nevis,0.5%
Saint Lucia,1.8%
Saint Pierre and Miquelon,8.1%
Saint Vincent and the Grenadines,1.5%
Samoa,1%
San Marino,2.8%
Sao Tome and Principe,14.4%
Saudi Arabia,5.4%
Senegal,1.2%
Serbia,6.3%
Seychelles,-2.4%
Sierra Leone,16.6%
Singapore,2.8%
Sint Maarten,0.7%
Slovakia,1%
Slovenia,1.8%
Solomon Islands,1.3%
Somalia,NA
South Africa,4.1%
Spain,2%
Sri Lanka,5.9%
Sudan,13%
Suriname,6.9%
Swaziland,4.5%
Sweden,1.3%
Switzerland,0.7%
Syria,4.4%
Taiwan,1%
Tajikistan,6.4%
Tanzania,7.2%
Thailand,3.3%
Timor-Leste,6.9%
Togo,1.4%
Tokelau,NA
Tonga,3.6%
Trinidad and Tobago,10.5%
Tunisia,4.4%
Turkey,8.6%
Turkmenistan,10%
Turks and Caicos Islands,2%
Tuvalu,3.8%
Uganda,4%
Ukraine,9.4%
United Arab Emirates,0.9%
United Kingdom,3.3%
United States,1.6%
Uruguay,6.7%
Uzbekistan,15%
Vanuatu,2.8%
Venezuela,28.2%
Vietnam,9%
Virgin Islands,2.2%
Wallis and Futuna,2.8%
West Bank,6%
Western Sahara,NA
World,NA
Yemen,11.2%
Zambia,8.5%
Zimbabwe,3.7%
