Country,"inflation_rate( migrant(s)/1,000 population)"
Afghanistan,NA
Albania,6%
Algeria,3%
American Samoa,NA
Andorra,4.3%
Angola,106%
Anguilla,2.3%
Antigua and Barbuda,0.4%
Argentina,41%
Armenia,1.1%
Aruba,3.2%
Australia,2.8%
Austria,1.8%
Azerbaijan,2.6%
"Bahamas, The",1.8%
Bahrain,0.5%
Bangladesh,3.1%
Barbados,-0.6%
Belarus,42.8%
Belgium,1.7%
Belize,1.9%
Benin,3.3%
Bermuda,2.3%
Bhutan,3%
Bolivia,2%
Bosnia and Herzegovina,3.5%
Botswana,8.1%
Brazil,8.3%
British Virgin Islands,2.5%
Brunei,-2%
Bulgaria,5.9%
Burkina Faso,3.5%
Burma,53.7%
Burundi,12%
Cambodia,3.3%
Cameroon,4.5%
Canada,2.2%
Cape Verde,3%
Cayman Islands,2.8%
Central African Republic,3.6%
Chad,6%
Chile,2.5%
China,-0.8%
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,6.2%
Comoros,3.5%
"Congo, Democratic Republic of the",16%
"Congo, Republic of the",4%
Cook Islands,3.2%
Costa Rica,9.1%
Cote d'Ivoire,3.2%
Croatia,2.2%
Cuba,7.1%
Cyprus,NA
Czech Republic,0.6%
Denmark,2.3%
Djibouti,2%
Dominica,1%
Dominican Republic,5.3%
East Timor,NA
Ecuador,12.5%
Egypt,4.3%
El Salvador,3.8%
Equatorial Guinea,6%
Eritrea,15%
Estonia,3.7%
Ethiopia,4%
Falkland Islands (Islas Malvinas),3.6%
Faroe Islands,5.1%
Fiji,2%
Finland,1.9%
France,1.8%
French Guiana,1.5%
French Polynesia,1.5%
Gabon,2.3%
"Gambia, The",5.5%
Gaza Strip,2.2%
Georgia,5.2%
Germany,1.3%
Ghana,14.5%
Gibraltar,1.5%
Greece,3.6%
Greenland,1.6%
Grenada,2.8%
Guadeloupe,NA
Guam,0%
Guatemala,8.1%
Guernsey,3.99%
Guinea,6%
Guinea-Bissau,4%
Guyana,4.7%
Haiti,11.9%
Honduras,7.7%
Hong Kong,3%
Hungary,5.3%
Iceland,5.2%
India,5.4%
Indonesia,11.9%
Iran,15.3%
Iraq,70%
Ireland,4.6%
Israel,5.7%
Italy,2.4%
Jamaica,7%
Japan,-0.9%
Jersey,4.7%
Jordan,3.3%
Kazakhstan,6%
Kenya,1.9%
Kiribati,2.5%
"Korea, North",NA
"Korea, South",2.8%
Kuwait,2%
Kyrgyzstan,2.1%
Laos,10%
Latvia,2%
Lebanon,3.5%
Lesotho,10%
Liberia,15%
Libya,1%
Liechtenstein,1%
Lithuania,0.8%
Luxembourg,1.6%
Macau,-2.6%
"Macedonia, The Former Yugoslav Republic of",1.1%
Madagascar,7.4%
Malawi,27.4%
Malaysia,1.9%
Maldives,1%
Mali,4.5%
Malta,2.4%
"Man, Isle of",3.6%
Marshall Islands,2%
Martinique,3.9%
Mauritania,3%
Mauritius,6.4%
Mayotte,NA
Mexico,6.4%
"Micronesia, Federated States of",1%
Moldova,5.5%
Monaco,NA
Mongolia,3%
Montserrat,2.6%
Morocco,3.6%
Mozambique,15.2%
Namibia,8%
Nauru,-3.6%
Nepal,2.8%
Netherlands,3.4%
Netherlands Antilles,0.4%
New Caledonia,-0.6%
New Zealand,2.7%
Nicaragua,3.7%
Niger,3%
Nigeria,14.2%
Niue,1%
Norfolk Island,NA
Northern Mariana Islands,1.2%
Norway,1.3%
Oman,-0.5%
Pakistan,3.9%
Palau,3.4%
Panama,1.1%
Papua New Guinea,9.8%
Paraguay,10.5%
Peru,0.2%
Philippines,3.1%
Pitcairn Islands,NA
Poland,1.9%
Portugal,3.7%
Puerto Rico,5%
Qatar,1.9%
Reunion,NA
Romania,22.5%
Russia,15%
Rwanda,5.5%
Saint Helena,3.2%
Saint Kitts and Nevis,1.7%
Saint Lucia,3%
Saint Pierre and Miquelon,2.1%
Saint Vincent and the Grenadines,-0.4%
Samoa,4%
San Marino,3.3%
Sao Tome and Principe,9%
Saudi Arabia,1%
Senegal,3%
Serbia and Montenegro,19%
Seychelles,0.5%
Sierra Leone,1%
Singapore,-0.4%
Slovakia,3.3%
Slovenia,7.4%
Solomon Islands,1.8%
Somalia,NA
South Africa,9.9%
Spain,3%
Sri Lanka,9.6%
Sudan,9.2%
Suriname,17%
Svalbard,NA
Swaziland,11.8%
Sweden,2.2%
Switzerland,0.5%
Syria,0.9%
Taiwan,-0.2%
Tajikistan,12%
Tanzania,4.8%
Thailand,0.6%
Togo,4%
Tokelau,NA
Tonga,8.4%
Trinidad and Tobago,4.3%
Tunisia,2.5%
Turkey,45.2%
Turkmenistan,5%
Turks and Caicos Islands,4%
Tuvalu,5%
Uganda,0.1%
Ukraine,-1.2%
United Arab Emirates,2.8%
United Kingdom,2.1%
United States,1.6%
Uruguay,14.1%
Uzbekistan,26%
Vanuatu,3.2%
Venezuela,31.2%
Vietnam,3.9%
Virgin Islands,2%
Wallis and Futuna,NA
West Bank,2.2%
Western Sahara,NA
World,NA
Yemen,12.2%
Zambia,21%
Zimbabwe,134.5%
