Country,"inflation_rate( migrant(s)/1,000 population)"
Afghanistan,13.3%
Albania,3.4%
Algeria,5%
American Samoa,NA
Andorra,2.3%
Angola,13.3%
Anguilla,5.3%
Antigua and Barbuda,1.5%
Argentina,22%
Armenia,6.9%
Aruba,3.4%
Australia,2.9%
Austria,1.5%
Azerbaijan,5.1%
"Bahamas, The",2.4%
Bahrain,3.3%
Bangladesh,8.1%
Barbados,5.5%
Belarus,7%
Belgium,2.3%
Belize,4.1%
Benin,1.6%
Bermuda,2.8%
Bhutan,4.3%
Bolivia,2.1%
Bosnia and Herzegovina,1.9%
Botswana,7.1%
Brazil,4.9%
British Virgin Islands,7.1%
Brunei,2.7%
Bulgaria,2.1%
Burkina Faso,1.4%
Burma,9.6%
Burundi,7.2%
Cambodia,4.1%
Cameroon,1.9%
Canada,1.6%
Cape Verde,2.5%
Cayman Islands,4.1%
Central African Republic,0.9%
Chad,4%
Chile,1.7%
China,5%
Colombia,2.6%
Comoros,3%
"Congo, Democratic Republic of the",26.2%
"Congo, Republic of the",5.2%
Cook Islands,2.1%
Costa Rica,5.8%
Cote d'Ivoire,1.4%
Croatia,1.3%
Cuba,0.7%
Curacao,1.7%
Cyprus,2.2%
Czech Republic,1.6%
Denmark,2.2%
Djibouti,6%
Dominica,0.1%
Dominican Republic,6.3%
Ecuador,3.6%
Egypt,12.8%
El Salvador,0.8%
Equatorial Guinea,8.2%
Eritrea,20%
Estonia,2.4%
Ethiopia,7%
European Union,1.7%
Falkland Islands (Islas Malvinas),3.6%
Faroe Islands,-1.1%
Fiji,4.8%
Finland,1.1%
France,1.5%
French Polynesia,1.1%
Gabon,-1.3%
"Gambia, The",5.5%
Gaza Strip,9.9%
Georgia,5.7%
Germany,1%
Ghana,10.9%
Gibraltar,2.6%
Greece,4.5%
Greenland,9.4%
Grenada,3.7%
Guam,2.5%
Guatemala,3.9%
Guernsey,3.4%
Guinea,15%
Guinea-Bissau,3.8%
Guyana,6.8%
Haiti,4.6%
Honduras,4.6%
Hong Kong,2.2%
Hungary,4.5%
Iceland,5.5%
India,11.7%
Indonesia,5.2%
Iran,11.8%
Iraq,4.2%
Ireland,-1.5%
Isle of Man,3.1%
Israel,2.6%
Italy,1.4%
Jamaica,13%
Japan,-0.9%
Jersey,3.7%
Jordan,4.4%
Kazakhstan,6.7%
Kenya,4.2%
Kiribati,0.2%
"Korea, North",NA
"Korea, South",3%
Kosovo,5.3%
Kuwait,3.8%
Kyrgyzstan,4.8%
Laos,6.2%
Latvia,-1.2%
Lebanon,3.7%
Lesotho,6.1%
Liberia,11.2%
Libya,3%
Liechtenstein,0.5%
Lithuania,0.9%
Luxembourg,2.1%
Macau,1.2%
Macedonia,1.5%
Madagascar,8.1%
Malawi,8%
Malaysia,1.8%
Maldives,7.3%
Mali,2.5%
Malta,1.7%
Marshall Islands,12.9%
Mauritania,7.3%
Mauritius,2.9%
Mayotte,1.7%
Mexico,4.1%
"Micronesia, Federated States of",2.2%
Moldova,7.3%
Monaco,1.9%
Mongolia,4.2%
Montenegro,3.4%
Montserrat,2.6%
Morocco,2.5%
Mozambique,13.5%
Namibia,4.6%
Nauru,NA
Nepal,8.6%
Netherlands,1.1%
New Caledonia,1.4%
New Zealand,2.6%
Nicaragua,4.7%
Niger,0.1%
Nigeria,13.9%
Niue,4%
Northern Mariana Islands,-0.8%
Norway,2.4%
Oman,4%
Pakistan,13.4%
Palau,2.7%
Panama,3.3%
Papua New Guinea,6.8%
Paraguay,4.2%
Peru,1.8%
Philippines,4.2%
Poland,2.4%
Portugal,1.1%
Puerto Rico,6.5%
Qatar,1.1%
Romania,6%
Russia,6.7%
Rwanda,6.4%
"Saint Helena, Ascension, and Tristan da Cunha",3.2%
Saint Kitts and Nevis,4.5%
Saint Lucia,1.9%
Saint Pierre and Miquelon,8.1%
Saint Vincent and the Grenadines,0.8%
Samoa,6%
San Marino,-3.5%
Sao Tome and Principe,13%
Saudi Arabia,5.7%
Senegal,1.2%
Serbia,4.9%
Seychelles,-2.2%
Sierra Leone,11.7%
Singapore,2.6%
Sint Maarten,0.7%
Slovakia,1.2%
Slovenia,2.1%
Solomon Islands,6.3%
Somalia,NA
South Africa,4.5%
Spain,1.3%
Sri Lanka,5.6%
Sudan,11.8%
Suriname,6.4%
Swaziland,5%
Sweden,1.4%
Switzerland,0.7%
Syria,5.9%
Taiwan,1.3%
Tajikistan,5.8%
Tanzania,7.2%
Thailand,3.3%
Timor-Leste,7.8%
Togo,2.6%
Tokelau,NA
Tonga,5.9%
Trinidad and Tobago,11.3%
Tunisia,4.5%
Turkey,8.7%
Turkmenistan,12%
Turks and Caicos Islands,4%
Tuvalu,3.8%
Uganda,9.4%
Ukraine,9.8%
United Arab Emirates,2.2%
United Kingdom,3.3%
United States,1.4%
Uruguay,6.8%
Uzbekistan,15%
Vanuatu,3.9%
Venezuela,29.8%
Vietnam,11.1%
Virgin Islands,2.2%
Wallis and Futuna,2.8%
West Bank,3.5%
Western Sahara,NA
World,NA
Yemen,12.2%
Zambia,8.5%
Zimbabwe,5.03%
