Country,"inflation_rate( migrant(s)/1,000 population)"
Afghanistan,13%
Albania,2.9%
Algeria,3.5%
American Samoa,NA
Andorra,3.2%
Angola,12.2%
Anguilla,5.3%
Antigua and Barbuda,1.5%
Argentina,8.8%
Armenia,4.4%
Aruba,3.4%
Australia,2.3%
Austria,2.2%
Azerbaijan,16.7%
"Bahamas, The",2.4%
Bahrain,3.3%
Bangladesh,9.1%
Barbados,5.5%
Belarus,8.4%
Belgium,1.8%
Belize,2.3%
Benin,1.3%
Bermuda,2.8%
Bhutan,4.9%
Bolivia,8.7%
Bosnia and Herzegovina,1.6%
Botswana,7.1%
Brazil,3.6%
British Virgin Islands,2%
Brunei,0.4%
Bulgaria,9.8%
Burkina Faso,-0.2%
Burma,35%
Burundi,8.3%
Cambodia,5.9%
Cameroon,1.1%
Canada,2.1%
Cape Verde,4.4%
Cayman Islands,4.4%
Central African Republic,0.9%
Chad,4%
Chile,4.4%
China,4.8%
Colombia,5.5%
Comoros,3%
"Congo, Democratic Republic of the",16.7%
"Congo, Republic of the",2.7%
Cook Islands,2.1%
Costa Rica,9.4%
Cote d'Ivoire,1.9%
Croatia,4.5%
Cuba,3.1%
Cyprus,2.4%
Czech Republic,2.9%
Denmark,1.7%
Djibouti,5%
Dominica,2.7%
Dominican Republic,6.1%
Ecuador,2.3%
Egypt,9.5%
El Salvador,4.6%
Equatorial Guinea,6%
Eritrea,17%
Estonia,6.6%
Ethiopia,17.2%
European Union,1.8%
Falkland Islands (Islas Malvinas),3.6%
Faroe Islands,1.8%
Fiji,4.8%
Finland,2.5%
France,1.5%
French Polynesia,1.1%
Gabon,5%
"Gambia, The",5.1%
Gaza Strip,3.6%
Georgia,9.3%
Germany,2.3%
Ghana,10.7%
Gibraltar,2.9%
Greece,2.9%
Greenland,1%
Grenada,3.7%
Guam,2.5%
Guatemala,6.8%
Guernsey,3.4%
Guinea,23.4%
Guinea-Bissau,3.8%
Guyana,12.3%
Haiti,8.5%
Honduras,6.9%
Hong Kong,2%
Hungary,8%
Iceland,5.1%
India,6.4%
Indonesia,6.3%
Iran,17.1%
Iraq,4.7%
Ireland,4.9%
Isle of Man,3.1%
Israel,0.5%
Italy,1.8%
Jamaica,9.5%
Japan,0.1%
Jersey,3.7%
Jordan,5.4%
Kazakhstan,10.8%
Kenya,9.7%
Kiribati,0.2%
"Korea, North",NA
"Korea, South",2.5%
Kosovo,2%
Kuwait,5.5%
Kyrgyzstan,10.2%
Laos,4.5%
Latvia,10.1%
Lebanon,4.2%
Lesotho,8%
Liberia,11.2%
Libya,6.3%
Liechtenstein,1%
Lithuania,5.7%
Luxembourg,2.3%
Macau,7.2%
Macedonia,2.3%
Madagascar,10.3%
Malawi,7.9%
Malaysia,2%
Maldives,5%
Mali,2.5%
Malta,1.3%
Marshall Islands,3%
Mauritania,7.3%
Mauritius,8.8%
Mayotte,1.7%
Mexico,4%
"Micronesia, Federated States of",2.2%
Moldova,12.3%
Monaco,1.9%
Mongolia,9%
Montenegro,3.4%
Montserrat,2.6%
Morocco,2%
Mozambique,8.2%
Namibia,6.7%
Nauru,-3.6%
Nepal,6.4%
Netherlands,1.6%
Netherlands Antilles,2.1%
New Caledonia,1.4%
New Zealand,2.4%
Nicaragua,11.1%
Niger,0.1%
Nigeria,5.4%
Niue,4%
Northern Mariana Islands,-0.8%
Norway,0.8%
Oman,5.9%
Pakistan,7.6%
Palau,2.7%
Panama,4.2%
Papua New Guinea,0.9%
Paraguay,8.1%
Peru,1.8%
Philippines,2.8%
Poland,2.5%
Portugal,2.4%
Puerto Rico,6.5%
Qatar,13.7%
Romania,4.8%
Russia,9%
Rwanda,9.1%
Saint Helena,3.2%
Saint Kitts and Nevis,4.5%
Saint Lucia,1.9%
Saint Pierre and Miquelon,8.1%
Saint Vincent and the Grenadines,6.1%
Samoa,6%
San Marino,-1.5%
Sao Tome and Principe,18%
Saudi Arabia,4.1%
Senegal,5.9%
Serbia,6.8%
Seychelles,5.3%
Sierra Leone,11.7%
Singapore,2.1%
Slovakia,2.8%
Slovenia,3.6%
Solomon Islands,6.3%
Somalia,NA
South Africa,6.5%
Spain,2.8%
Sri Lanka,15.8%
Sudan,8%
Suriname,6.4%
Swaziland,8.1%
Sweden,2.2%
Switzerland,0.7%
Syria,12.2%
Taiwan,1.8%
Tajikistan,13.1%
Tanzania,7%
Thailand,2.2%
Timor-Leste,7.8%
Togo,1%
Tokelau,NA
Tonga,5.9%
Trinidad and Tobago,7.9%
Tunisia,3.1%
Turkey,8.7%
Turkmenistan,11.3%
Turks and Caicos Islands,4%
Tuvalu,3.8%
Uganda,6.1%
Ukraine,12.8%
United Arab Emirates,14%
United Kingdom,2.3%
United States,2.9%
Uruguay,8.1%
Uzbekistan,12%
Vanuatu,3.9%
Venezuela,18.7%
Vietnam,8.3%
Virgin Islands,2.2%
Wallis and Futuna,2.8%
West Bank,3.6%
Western Sahara,NA
World,NA
Yemen,10%
Zambia,10.6%
Zimbabwe,NA
