Country,"inflation_rate( migrant(s)/1,000 population)"
Afghanistan,5.2%
Albania,2.4%
Algeria,3.5%
American Samoa,NA
Andorra,4.3%
Angola,76.6%
Anguilla,2.3%
Antigua and Barbuda,0.4%
Argentina,13.4%
Armenia,4.8%
Aruba,3.2%
Australia,2.8%
Austria,1.4%
Azerbaijan,2.1%
"Bahamas, The",1.7%
Bahrain,-0.2%
Bangladesh,5.6%
Barbados,-0.5%
Belarus,28.2%
Belgium,1.6%
Belize,2.6%
Benin,1.5%
Bermuda,3.3%
Bhutan,3%
Bolivia,3.3%
Bosnia and Herzegovina,0.9%
Botswana,9.2%
Brazil,14.7%
British Virgin Islands,2.5%
Brunei,-2%
Bulgaria,2.3%
Burkina Faso,1.9%
Burma,49.7%
Burundi,10.7%
Cambodia,1.7%
Cameroon,2.3%
Canada,2.8%
Cape Verde,3%
Cayman Islands,2.8%
Central African Republic,3.6%
Chad,6%
Chile,2.8%
China,1.2%
Christmas Island,NA
Cocos (Keeling) Islands,NA
Colombia,7.1%
Comoros,3.5%
"Congo, Democratic Republic of the",14%
"Congo, Republic of the",2.4%
Cook Islands,3.2%
Costa Rica,9.4%
Cote d'Ivoire,3.4%
Croatia,1.8%
Cuba,4.1%
Cyprus,NA
Czech Republic,0.1%
Denmark,2.1%
Djibouti,2%
Dominica,1%
Dominican Republic,27.5%
East Timor,8%
Ecuador,7.9%
Egypt,4.3%
El Salvador,2.1%
Equatorial Guinea,6%
Eritrea,12.3%
Estonia,1.3%
Ethiopia,17.8%
European Union,2%
Falkland Islands (Islas Malvinas),3.6%
Faroe Islands,5.1%
Fiji,1.6%
Finland,0.9%
France,2.1%
French Guiana,1.5%
French Polynesia,1.5%
Gabon,0.5%
"Gambia, The",14%
Gaza Strip,2.2%
Georgia,4.8%
Germany,1.1%
Ghana,26.7%
Gibraltar,1.5%
Greece,3.6%
Greenland,1.6%
Grenada,2.8%
Guadeloupe,NA
Guam,0%
Guatemala,5.5%
Guernsey,4%
Guinea,14.8%
Guinea-Bissau,4%
Guyana,5.7%
Haiti,37.8%
Honduras,7.7%
Hong Kong,-2.6%
Hungary,4.7%
Iceland,2.1%
India,3.8%
Indonesia,6.6%
Iran,16.4%
Iraq,29.3%
Ireland,3.5%
Israel,0.7%
Italy,2.7%
Jamaica,10.3%
Japan,-0.3%
Jersey,4.7%
Jordan,2.4%
Kazakhstan,6.6%
Kenya,9.8%
Kiribati,2.5%
"Korea, North",NA
"Korea, South",3.6%
Kuwait,1.2%
Kyrgyzstan,3.5%
Laos,15.3%
Latvia,2.9%
Lebanon,2.5%
Lesotho,6.1%
Liberia,15%
Libya,2.8%
Liechtenstein,1%
Lithuania,-1.2%
Luxembourg,2%
Macau,-2.6%
Macedonia,1.2%
Madagascar,8%
Malawi,9.5%
Malaysia,1.1%
Maldives,1%
Mali,4.5%
Malta,0.4%
"Man, Isle of",3.6%
Marshall Islands,2%
Martinique,3.9%
Mauritania,7%
Mauritius,4.2%
Mayotte,NA
Mexico,4.5%
"Micronesia, Federated States of",1%
Moldova,11.6%
Monaco,NA
Mongolia,1.5%
Montserrat,2.6%
Morocco,1.2%
Mozambique,14%
Namibia,7.3%
Nauru,-3.6%
Nepal,2.9%
Netherlands,2.1%
Netherlands Antilles,2.1%
New Caledonia,-0.6%
New Zealand,1.8%
Nicaragua,5.3%
Niger,3%
Nigeria,13.8%
Niue,1%
Norfolk Island,NA
Northern Mariana Islands,1.2%
Norway,2.5%
Oman,-0.3%
Pakistan,2.9%
Palau,3.4%
Panama,1.4%
Papua New Guinea,14.7%
Paraguay,14.2%
Peru,2.3%
Philippines,3.1%
Pitcairn Islands,NA
Poland,0.7%
Portugal,3.3%
Puerto Rico,6.5%
Qatar,2.3%
Reunion,NA
Romania,15.3%
Russia,13.7%
Rwanda,7.5%
Saint Helena,3.2%
Saint Kitts and Nevis,1.7%
Saint Lucia,3%
Saint Pierre and Miquelon,2.1%
Saint Vincent and the Grenadines,-0.4%
Samoa,4%
San Marino,3.3%
Sao Tome and Principe,9%
Saudi Arabia,0.5%
Senegal,0%
Serbia and Montenegro,11.2%
Seychelles,3.3%
Sierra Leone,1%
Singapore,0.5%
Slovakia,8.6%
Slovenia,5.6%
Solomon Islands,9%
Somalia,NA
South Africa,5.9%
Spain,3%
Sri Lanka,6.3%
Sudan,8.8%
Suriname,17%
Svalbard,NA
Swaziland,7.3%
Sweden,1.9%
Switzerland,0.6%
Syria,1.5%
Taiwan,-0.3%
Tajikistan,16.3%
Tanzania,4.4%
Thailand,1.8%
Togo,-1%
Tokelau,NA
Tonga,10.3%
Trinidad and Tobago,3.8%
Tunisia,2.7%
Turkey,25.3%
Turkmenistan,9.5%
Turks and Caicos Islands,4%
Tuvalu,5%
Uganda,7.9%
Ukraine,5.2%
United Arab Emirates,3.2%
United Kingdom,1.4%
United States,2.3%
Uruguay,19.4%
Uzbekistan,13.1%
Vanuatu,2%
Venezuela,31.1%
Vietnam,3.1%
Virgin Islands,2.2%
Wallis and Futuna,NA
West Bank,2.2%
Western Sahara,NA
World,NA
Yemen,10.8%
Zambia,21.4%
Zimbabwe,384.7%
