Country,"inflation_rate( migrant(s)/1,000 population)"
Afghanistan,10.3%
Albania,3.2%
Algeria,3.1%
American Samoa,NA
Andorra,4.3%
Angola,43.8%
Anguilla,2.3%
Antigua and Barbuda,0.4%
Argentina,6.1%
Armenia,3.5%
Aruba,3.2%
Australia,2.3%
Austria,1.8%
Azerbaijan,4.6%
"Bahamas, The",1.2%
Bahrain,2.1%
Bangladesh,6%
Barbados,-0.5%
Belarus,17.4%
Belgium,1.9%
Belize,2.9%
Benin,2.8%
Bermuda,3.3%
Bhutan,3%
Bolivia,4.9%
Bosnia and Herzegovina,1.1%
Botswana,7%
Brazil,7.6%
British Virgin Islands,2.5%
Brunei,0.3%
Bulgaria,6.1%
Burkina Faso,2.4%
Burma,17.2%
Burundi,8.5%
Cambodia,3.1%
Cameroon,1%
Canada,1.9%
Cape Verde,1.5%
Cayman Islands,2.8%
Central African Republic,3.6%
Chad,8%
Chile,2.4%
China,4.1%
Colombia,5.9%
Comoros,3.5%
"Congo, Democratic Republic of the",14%
"Congo, Republic of the",1.8%
Cook Islands,3.2%
Costa Rica,11.5%
Cote d'Ivoire,1.4%
Croatia,2.5%
Cuba,3.1%
Cyprus,NA
Czech Republic,3.2%
Denmark,1.4%
Djibouti,2%
Dominica,1%
Dominican Republic,55%
East Timor,4%
Ecuador,2%
Egypt,9.5%
El Salvador,5.4%
Equatorial Guinea,8.5%
Eritrea,10%
Estonia,3%
Ethiopia,2.4%
European Union,2.1%
Falkland Islands (Islas Malvinas),3.6%
Faroe Islands,5.1%
Fiji,1.6%
Finland,0.7%
France,2.3%
French Guiana,1.5%
French Polynesia,1.5%
Gabon,1.5%
"Gambia, The",7%
Gaza Strip,2.2%
Georgia,5.5%
Germany,1.6%
Ghana,13%
Gibraltar,1.5%
Greece,2.9%
Greenland,1.6%
Grenada,2.8%
Guadeloupe,NA
Guam,0%
Guatemala,7.2%
Guernsey,4.9%
Guinea,18%
Guinea-Bissau,4%
Guyana,4.5%
Haiti,22%
Honduras,7%
Hong Kong,-0.3%
Hungary,7%
Iceland,4%
India,4.2%
Indonesia,6.1%
Iran,15.5%
Iraq,25.4%
Ireland,2.2%
Israel,0%
Italy,2.3%
Jamaica,12.4%
Japan,-0.1%
Jersey,5.3%
Jordan,3.2%
Kazakhstan,6.9%
Kenya,9%
Kiribati,2.5%
"Korea, North",NA
"Korea, South",3.6%
Kuwait,2.3%
Kyrgyzstan,3.2%
Laos,12.3%
Latvia,6%
Lebanon,2%
Lesotho,5.3%
Liberia,15%
Libya,2.9%
Liechtenstein,1%
Lithuania,1.1%
Luxembourg,2.4%
Macau,2%
Macedonia,0.4%
Madagascar,7.5%
Malawi,12%
Malaysia,1.3%
Maldives,1%
Mali,4.5%
Malta,2.9%
"Man, Isle of",3.6%
Marshall Islands,2%
Martinique,3.9%
Mauritania,7%
Mauritius,4.5%
Mayotte,NA
Mexico,5.4%
"Micronesia, Federated States of",1%
Moldova,11.5%
Monaco,1.9%
Mongolia,11%
Montserrat,2.6%
Morocco,2.1%
Mozambique,12.8%
Namibia,4.2%
Nauru,-3.6%
Nepal,2.9%
Netherlands,1.4%
Netherlands Antilles,2.1%
New Caledonia,-0.6%
New Zealand,2.4%
Nicaragua,9.3%
Niger,3%
Nigeria,16.5%
Niue,1%
Norfolk Island,NA
Northern Mariana Islands,1.2%
Norway,1%
Oman,0.2%
Pakistan,4.8%
Palau,3.4%
Panama,2%
Papua New Guinea,4.2%
Paraguay,5.1%
Peru,3.8%
Philippines,5.5%
Pitcairn Islands,NA
Poland,3.4%
Portugal,2.1%
Puerto Rico,6.5%
Qatar,3%
Reunion,NA
Romania,9.6%
Russia,11.5%
Rwanda,7%
Saint Helena,3.2%
Saint Kitts and Nevis,1.7%
Saint Lucia,3%
Saint Pierre and Miquelon,2.1%
Saint Vincent and the Grenadines,-0.4%
Samoa,4%
San Marino,3.3%
Sao Tome and Principe,14%
Saudi Arabia,0.8%
Senegal,0.8%
Serbia and Montenegro,8.8%
Seychelles,5%
Sierra Leone,1%
Singapore,1.7%
Slovakia,7.5%
Slovenia,3.3%
Solomon Islands,10%
Somalia,NA
South Africa,4.5%
Spain,3.2%
Sri Lanka,5.8%
Sudan,9%
Suriname,23%
Swaziland,5.4%
Sweden,0.7%
Switzerland,0.9%
Syria,2.1%
Taiwan,1.7%
Tajikistan,8%
Tanzania,5.4%
Thailand,2.8%
Togo,1%
Tokelau,NA
Tonga,10.3%
Trinidad and Tobago,3.3%
Tunisia,4.1%
Turkey,9.3%
Turkmenistan,9%
Turks and Caicos Islands,4%
Tuvalu,5%
Uganda,3.5%
Ukraine,12%
United Arab Emirates,3.2%
United Kingdom,1.4%
United States,2.5%
Uruguay,7.6%
Uzbekistan,3%
Vanuatu,3.1%
Venezuela,22.4%
Vietnam,9.5%
Virgin Islands,2.2%
Wallis and Futuna,NA
West Bank,2.2%
Western Sahara,NA
World,NA
Yemen,12.2%
Zambia,18.3%
Zimbabwe,133%
