Country,"inflation_rate( migrant(s)/1,000 population)"
Afghanistan,16.3%
Albania,2.4%
Algeria,2.6%
American Samoa,NA
Andorra,3.2%
Angola,13.3%
Anguilla,5.3%
Antigua and Barbuda,0.9%
Argentina,10.9%
Armenia,2.9%
Aruba,3.4%
Australia,3.5%
Austria,1.4%
Azerbaijan,8.3%
"Bahamas, The",1.2%
Bahrain,2.1%
Bangladesh,6.8%
Barbados,-0.5%
Belarus,7%
Belgium,1.8%
Belize,4.3%
Benin,3.8%
Bermuda,2.8%
Bhutan,5.5%
Bolivia,4.3%
Bosnia and Herzegovina,7.5%
Botswana,11.5%
Brazil,4.2%
British Virgin Islands,2%
Brunei,1.1%
Bulgaria,7.3%
Burkina Faso,2.3%
Burma,20%
Burundi,2.8%
Cambodia,4.7%
Cameroon,5.1%
Canada,2%
Cape Verde,5.4%
Cayman Islands,4.4%
Central African Republic,3.6%
Chad,8%
Chile,3.4%
China,1.7%
Colombia,4.3%
Comoros,3%
"Congo, Democratic Republic of the",18.2%
"Congo, Republic of the",5.5%
Cook Islands,2.1%
Costa Rica,11.5%
Cote d'Ivoire,2.4%
Croatia,3.2%
Cuba,6.2%
Cyprus,NA
Czech Republic,2.5%
Denmark,1.9%
Djibouti,3%
Dominica,-0.1%
Dominican Republic,7.6%
Ecuador,3.3%
Egypt,7.7%
El Salvador,4%
Equatorial Guinea,5%
Eritrea,15%
Estonia,4.4%
Ethiopia,13.5%
European Union,1.8%
Falkland Islands (Islas Malvinas),3.6%
Faroe Islands,1.8%
Fiji,3%
Finland,1.6%
France,1.7%
French Polynesia,1.1%
Gabon,4%
"Gambia, The",1.5%
Gaza Strip,1.2%
Georgia,9.2%
Germany,1.7%
Ghana,10.9%
Gibraltar,1.5%
Greece,3.2%
Greenland,1%
Grenada,3%
Guam,2.5%
Guatemala,6.6%
Guernsey,3.4%
Guinea,30%
Guinea-Bissau,4%
Guyana,7.2%
Haiti,13.1%
Honduras,5.6%
Hong Kong,2%
Hungary,4.1%
Iceland,6.7%
India,6.2%
Indonesia,13.1%
Iran,12%
Iraq,53.2%
Ireland,3.9%
Isle of Man,3.1%
Israel,2.1%
Italy,2.1%
Jamaica,8.6%
Japan,0.2%
Jersey,3.7%
Jordan,6.2%
Kazakhstan,8.6%
Kenya,14.5%
Kiribati,0.5%
"Korea, North",NA
"Korea, South",2.2%
Kuwait,3%
Kyrgyzstan,5.6%
Laos,6.8%
Latvia,6.5%
Lebanon,4%
Lesotho,6.1%
Liberia,15%
Libya,2.7%
Liechtenstein,1%
Lithuania,3.8%
Luxembourg,2.7%
Macau,4.4%
Macedonia,3.2%
Madagascar,10.8%
Malawi,14%
Malaysia,3.6%
Maldives,6%
Mali,4.5%
Malta,2.8%
Marshall Islands,3%
Mauritania,7%
Mauritius,8.9%
Mayotte,1.7%
Mexico,3.6%
"Micronesia, Federated States of",2.2%
Moldova,12.7%
Monaco,1.9%
Mongolia,9.5%
Montenegro,3.4%
Montserrat,2.6%
Morocco,3.4%
Mozambique,13.2%
Namibia,5.1%
Nauru,-3.6%
Nepal,8.6%
Netherlands,1.1%
Netherlands Antilles,2.1%
New Caledonia,1.4%
New Zealand,3.4%
Nicaragua,9.1%
Niger,0.2%
Nigeria,8.2%
Niue,4%
Northern Mariana Islands,-0.8%
Norway,2.3%
Oman,3.2%
Pakistan,7.9%
Palau,2.7%
Panama,1.1%
Papua New Guinea,2.9%
Paraguay,9.6%
Peru,2%
Philippines,6.3%
Poland,1%
Portugal,3.1%
Puerto Rico,6.5%
Qatar,11.8%
Romania,6.6%
Russia,9.7%
Rwanda,8.8%
Saint Helena,3.2%
Saint Kitts and Nevis,8.7%
Saint Lucia,2.9%
Saint Pierre and Miquelon,8.1%
Saint Vincent and the Grenadines,1%
Samoa,3.3%
San Marino,-1.5%
Sao Tome and Principe,23.1%
Saudi Arabia,2.2%
Senegal,2.1%
Serbia,15.5%
Seychelles,-0.4%
Sierra Leone,1%
Singapore,1%
Slovakia,4.5%
Slovenia,2.5%
Solomon Islands,6.6%
Somalia,NA
South Africa,4.6%
Spain,3.5%
Sri Lanka,13.7%
Sudan,7.2%
Suriname,9.5%
Swaziland,5.7%
Sweden,1.4%
Switzerland,1.1%
Syria,10%
Taiwan,0.6%
Tajikistan,11.9%
Tanzania,6.1%
Thailand,4.6%
Timor-Leste,1.4%
Togo,2.2%
Tokelau,NA
Tonga,11.1%
Trinidad and Tobago,8.3%
Tunisia,4.5%
Turkey,10.5%
Turkmenistan,11.5%
Turks and Caicos Islands,4%
Tuvalu,3.9%
Uganda,6.6%
Ukraine,9.1%
United Arab Emirates,13.5%
United Kingdom,2.3%
United States,3.2%
Uruguay,6.4%
Uzbekistan,19.8%
Vanuatu,-1.6%
Venezuela,13.7%
Vietnam,7.5%
Virgin Islands,2.2%
Wallis and Futuna,2.8%
West Bank,2.9%
Western Sahara,NA
World,NA
Yemen,20.8%
Zambia,9%
Zimbabwe,NA
