Country,"inflation_rate( migrant(s)/1,000 population)"
Afghanistan,13%
Albania,3.4%
Algeria,4.4%
American Samoa,NA
Andorra,3.9%
Angola,12.5%
Anguilla,5.3%
Antigua and Barbuda,1.5%
Argentina,8.6%
Armenia,9%
Aruba,3.4%
Australia,4.4%
Austria,3.2%
Azerbaijan,20.8%
"Bahamas, The",2.4%
Bahrain,7%
Bangladesh,8.9%
Barbados,5.5%
Belarus,14.8%
Belgium,4.5%
Belize,6.4%
Benin,7.9%
Bermuda,2.8%
Bhutan,4.9%
Bolivia,14%
Bosnia and Herzegovina,7.3%
Botswana,12.6%
Brazil,5.7%
British Virgin Islands,2%
Brunei,0.3%
Bulgaria,12.3%
Burkina Faso,10.7%
Burma,26.8%
Burundi,24.1%
Cambodia,25%
Cameroon,5.3%
Canada,2.4%
Cape Verde,6.8%
Cayman Islands,4.4%
Central African Republic,0.9%
Chad,10.3%
Chile,8.7%
China,5.9%
Colombia,7%
Comoros,3%
"Congo, Democratic Republic of the",16.7%
"Congo, Republic of the",7.3%
Cook Islands,2.1%
Costa Rica,13.4%
Cote d'Ivoire,6.3%
Croatia,6.1%
Cuba,3.4%
Cyprus,4.7%
Czech Republic,6.3%
Denmark,3.4%
Djibouti,5%
Dominica,2.7%
Dominican Republic,10.6%
Ecuador,8.3%
Egypt,18.3%
El Salvador,7.3%
Equatorial Guinea,7.5%
Eritrea,18%
Estonia,10.4%
Ethiopia,44.4%
European Union,3.5%
Falkland Islands (Islas Malvinas),3.6%
Faroe Islands,1.8%
Fiji,4.8%
Finland,4.1%
France,2.8%
French Polynesia,1.1%
Gabon,5.3%
"Gambia, The",4.5%
Gaza Strip,11.5%
Georgia,10%
Germany,2.7%
Ghana,16.5%
Gibraltar,2.9%
Greece,4.1%
Greenland,1%
Grenada,3.7%
Guam,2.5%
Guatemala,11.4%
Guernsey,3.4%
Guinea,15%
Guinea-Bissau,3.8%
Guyana,8.3%
Haiti,15.5%
Honduras,11.4%
Hong Kong,4.3%
Hungary,6.1%
Iceland,12.7%
India,8.3%
Indonesia,9.9%
Iran,25.6%
Iraq,2.8%
Ireland,4.1%
Isle of Man,3.1%
Israel,4.6%
Italy,3.4%
Jamaica,22%
Japan,1.4%
Jersey,3.7%
Jordan,14.9%
Kazakhstan,17%
Kenya,26.2%
Kiribati,0.2%
"Korea, North",NA
"Korea, South",4.7%
Kosovo,5.3%
Kuwait,10.6%
Kyrgyzstan,24.5%
Laos,8.6%
Latvia,15.4%
Lebanon,10%
Lesotho,10.7%
Liberia,11.2%
Libya,10.4%
Liechtenstein,1%
Lithuania,10.9%
Luxembourg,3.4%
Macau,6.2%
Macedonia,8.3%
Madagascar,9.2%
Malawi,8.7%
Malaysia,5.4%
Maldives,12.8%
Mali,2.5%
Malta,4.3%
Marshall Islands,12.9%
Mauritania,7.3%
Mauritius,9.7%
Mayotte,1.7%
Mexico,5.1%
"Micronesia, Federated States of",2.2%
Moldova,12.8%
Monaco,1.9%
Mongolia,28%
Montenegro,3.4%
Montserrat,2.6%
Morocco,3.8%
Mozambique,10.3%
Namibia,10.3%
Nauru,NA
Nepal,7.7%
Netherlands,2.5%
Netherlands Antilles,2.1%
New Caledonia,1.4%
New Zealand,4%
Nicaragua,19.8%
Niger,0.1%
Nigeria,11.6%
Niue,4%
Northern Mariana Islands,-0.8%
Norway,3.8%
Oman,12.5%
Pakistan,20.3%
Palau,2.7%
Panama,8.8%
Papua New Guinea,10.7%
Paraguay,10.2%
Peru,5.8%
Philippines,9.3%
Poland,4.2%
Portugal,2.6%
Puerto Rico,6.5%
Qatar,15.2%
Romania,7.8%
Russia,14.1%
Rwanda,15.4%
Saint Helena,3.2%
Saint Kitts and Nevis,4.5%
Saint Lucia,1.9%
Saint Pierre and Miquelon,8.1%
Saint Vincent and the Grenadines,6.1%
Samoa,6%
San Marino,-3.5%
Sao Tome and Principe,26%
Saudi Arabia,9.9%
Senegal,5.8%
Serbia,6.8%
Seychelles,37%
Sierra Leone,11.7%
Singapore,6.5%
Slovakia,4.6%
Slovenia,5.7%
Solomon Islands,6.3%
Somalia,NA
South Africa,11.3%
Spain,4.1%
Sri Lanka,22.6%
Sudan,14.3%
Suriname,6.4%
Swaziland,13.4%
Sweden,3.5%
Switzerland,2.4%
Syria,15.7%
Taiwan,3.5%
Tajikistan,20.5%
Tanzania,10.3%
Thailand,5.5%
Timor-Leste,7.8%
Togo,8.7%
Tokelau,NA
Tonga,5.9%
Trinidad and Tobago,12%
Tunisia,5%
Turkey,10.4%
Turkmenistan,13%
Turks and Caicos Islands,4%
Tuvalu,3.8%
Uganda,12.1%
Ukraine,25.2%
United Arab Emirates,15.8%
United Kingdom,3.6%
United States,3.8%
Uruguay,7.9%
Uzbekistan,14%
Vanuatu,3.9%
Venezuela,30.4%
Vietnam,23.1%
Virgin Islands,2.2%
Wallis and Futuna,2.8%
West Bank,11.5%
Western Sahara,NA
World,NA
Yemen,19%
Zambia,12.4%
Zimbabwe,14.9%
