Country,"inflation_rate( migrant(s)/1,000 population)"
Afghanistan,6.8%
Albania,1.7%
Algeria,3.9%
American Samoa,NA
Andorra,1.1%
Angola,8.9%
Anguilla,3.1%
Antigua and Barbuda,3%
Argentina,20.8%
Armenia,6.2%
Aruba,-2%
Australia,2.4%
Austria,2.1%
Azerbaijan,2.4%
"Bahamas, The",1%
Bahrain,3.1%
Bangladesh,7.6%
Barbados,2.1%
Belarus,19%
Belgium,1.3%
Belize,1.3%
Benin,2.4%
Bermuda,1.8%
Bhutan,11%
Bolivia,6.5%
Bosnia and Herzegovina,0.2%
Botswana,6.1%
Brazil,6.2%
British Virgin Islands,1.6%
Brunei,1%
Bulgaria,1.5%
Burkina Faso,2.1%
Burma,5.7%
Burundi,9.3%
Cabo Verde,1.9%
Cambodia,3.2%
Cameroon,2.6%
Canada,1%
Cayman Islands,1.8%
Central African Republic,7%
Chad,4.5%
Chile,1.7%
China,2.6%
Colombia,2.2%
Comoros,2.5%
"Congo, Democratic Republic of the",7.1%
"Congo, Republic of the",1.7%
Cook Islands,2.2%
Costa Rica,5.6%
Cote d'Ivoire,2.9%
Croatia,2.2%
Cuba,6%
Curacao,3.2%
Cyprus,0.2%
Czech Republic,1.4%
Denmark,0.8%
Djibouti,2.5%
Dominica,1.8%
Dominican Republic,5%
Ecuador,2.6%
Egypt,9%
El Salvador,0.9%
Equatorial Guinea,6%
Eritrea,13%
Estonia,3.4%
Ethiopia,8.4%
European Union,1.5%
Falkland Islands (Islas Malvinas),1.2%
Faroe Islands,2.3%
Fiji,3%
Finland,2.2%
France,0.9%
French Polynesia,1.1%
Gabon,1.2%
"Gambia, The",6%
Gaza Strip,1.7%
Georgia,-0.5%
Germany,1.6%
Ghana,11%
Gibraltar,2.8%
Greece,-0.8%
Greenland,2.8%
Grenada,2.4%
Guam,4%
Guatemala,4.4%
Guernsey,3.4%
Guinea,11.9%
Guinea-Bissau,1.9%
Guyana,3.9%
Haiti,6.3%
Honduras,5.2%
Hong Kong,4.4%
Hungary,1.9%
Iceland,3.9%
India,9.6%
Indonesia,7.7%
Iran,42.3%
Iraq,2%
Ireland,0.6%
Isle of Man,5%
Israel,1.7%
Italy,1.2%
Jamaica,9.4%
Japan,0.2%
Jersey,3.7%
Jordan,5.9%
Kazakhstan,5.8%
Kenya,5.8%
Kiribati,0.2%
"Korea, North",NA
"Korea, South",1.1%
Kosovo,1.8%
Kuwait,2.8%
Kyrgyzstan,6.8%
Laos,6.5%
Latvia,0.2%
Lebanon,5%
Lesotho,5%
Liberia,5.2%
Libya,3.2%
Liechtenstein,-0.7%
Lithuania,1.2%
Luxembourg,1.8%
Macau,5.5%
Macedonia,2.8%
Madagascar,8.8%
Malawi,26.9%
Malaysia,2.2%
Maldives,5.1%
Mali,0.1%
Malta,1%
Marshall Islands,12.9%
Mauritania,4.6%
Mauritius,3.5%
Mexico,4%
"Micronesia, Federated States of",3.4%
Moldova,4.6%
Monaco,1.5%
Mongolia,8.2%
Montenegro,4%
Montserrat,4.5%
Morocco,2.5%
Mozambique,4.4%
Namibia,5.5%
Nauru,NA
Nepal,NA
Netherlands,2.5%
New Caledonia,1.7%
New Zealand,1.3%
Nicaragua,5.7%
Niger,1.9%
Nigeria,8.7%
Niue,4%
Northern Mariana Islands,-2.7%
Norway,1.9%
Oman,1.6%
Pakistan,7.7%
Palau,2.7%
Panama,4.1%
Papua New Guinea,3.8%
Paraguay,2.3%
Peru,2.9%
Philippines,2.8%
Poland,1%
Portugal,0.4%
Puerto Rico,0.9%
Qatar,3.1%
Romania,3.2%
Russia,6.8%
Rwanda,5.9%
"Saint Helena, Ascension, and Tristan da Cunha",4%
Saint Kitts and Nevis,2.2%
Saint Lucia,5.3%
Saint Pierre and Miquelon,4.5%
Saint Vincent and the Grenadines,2.8%
Samoa,2.7%
San Marino,2.8%
Sao Tome and Principe,8.7%
Saudi Arabia,3.7%
Senegal,0.8%
Serbia,2.2%
Seychelles,4.3%
Sierra Leone,11.1%
Singapore,2.4%
Sint Maarten,4%
Slovakia,1.7%
Slovenia,1.8%
Solomon Islands,2.6%
Somalia,NA
South Africa,5.8%
South Sudan,1.7%
Spain,1.8%
Sri Lanka,4.7%
Sudan,25%
Suriname,4.2%
Swaziland,6.1%
Sweden,0%
Switzerland,-0.4%
Syria,59.1%
Taiwan,1.1%
Tajikistan,3.7%
Tanzania,7.8%
Thailand,2.2%
Timor-Leste,4.5%
Togo,2.2%
Tokelau,NA
Tonga,2%
Trinidad and Tobago,5.4%
Tunisia,6.1%
Turkey,7.6%
Turkmenistan,9%
Turks and Caicos Islands,2.5%
Tuvalu,3.8%
Uganda,6.2%
Ukraine,0.7%
United Arab Emirates,1.3%
United Kingdom,2%
United States,1.5%
Uruguay,8.3%
Uzbekistan,10.1%
Vanuatu,1.9%
Venezuela,56.2%
Vietnam,6.8%
Virgin Islands,2.2%
Wallis and Futuna,2.8%
West Bank,1.7%
Western Sahara,NA
World,NA
Yemen,11.8%
Zambia,7.1%
Zimbabwe,8.5%
