961991229327081474,Fri Feb 09 15:52:36 +0000 2018,3969768798,rizza is your au dealer.jpg,en,tl,-43.19330031,-22.9822866

961991292224929792,Fri Feb 09 15:52:51 +0000 2018,170100800,BoojieAzzJazz 👑,en,en,-43.34741862,-21.7631904

961991325787873280,Fri Feb 09 15:52:59 +0000 2018,876788667746066432,A.R.M.elod.Y,en,ja,-44.51672087,-23.0251931

961991338395873281,Fri Feb 09 15:53:02 +0000 2018,912711973761982465,KIRAN ULLIGERI,en,hi,28.968346,41.037121

961991367760142338,Fri Feb 09 15:53:09 +0000 2018,2367130177,むらたむうた,ja,ja,28.968367,41.037735

961991401289416704,Fri Feb 09 15:53:17 +0000 2018,2905620275,gizossorry,tr,tr,28.96834,41.037128

961991401285156864,Fri Feb 09 15:53:17 +0000 2018,3403173433,딱반,ko,ko,28.968555,41.037386

961991464195588096,Fri Feb 09 15:53:32 +0000 2018,1363416962,.. نايف ..,ar,ar,28.968782,41.037842

961991468419182592,Fri Feb 09 15:53:33 +0000 2018,720124229602144256,中香風,ja,ja,28.968564,41.037793

961991548085846017,Fri Feb 09 15:53:52 +0000 2018,2910618372,Phyka,ja,ja,-57.55,-38.0

961991573268500480,Fri Feb 09 15:53:58 +0000 2018,1686193830,🇦🇪 մ̤ȷĨↄ  Ϫɕ̇ 🇦🇪,en,und,-81.45006219,28.47553202

961991598417604608,Fri Feb 09 15:54:04 +0000 2018,627627504,Payton Guion,en,en,27.05098363,38.3947728

961991615190454272,Fri Feb 09 15:54:08 +0000 2018,881123940076208128,有生光@すわわ推しラブライブマニア,ja,ja,1.91597557,41.46624756

961991661323665408,Fri Feb 09 15:54:19 +0000 2018,1384125031,レッズ@このすば,ja,ja,-88.019826,44.519159

961991694903209985,Fri Feb 09 15:54:27 +0000 2018,731838828101558272,윱ㅢ,ko,ko,-74.8225792,40.1438462

961991820715606016,Fri Feb 09 15:54:57 +0000 2018,266136054,Tacoma R-Estate,en,en,-122.4417426,47.2529105

961991875237466112,Fri Feb 09 15:55:10 +0000 2018,1924026469,〽️ira🙂,en,en,-35.79257865,-9.51506279

961991917193039872,Fri Feb 09 15:55:20 +0000 2018,953276387858833408,💖👑FAIZA👑💖,fr,ar,1.3590569,36.1712201

961992101750767616,Fri Feb 09 15:56:04 +0000 2018,2967036649,❤ كويتية ذهب ❤,ar,ar,-79.350909,43.7550231

961992126908248064,Fri Feb 09 15:56:10 +0000 2018,234709437,Lucian Cernat,en-gb,en,-117.4260465,47.6587802

961992160483540992,Fri Feb 09 15:56:18 +0000 2018,945746214045212672,هوكوريكو العرضية المضادة,ja,in,-80.2022629,25.8253708

961992206616678400,Fri Feb 09 15:56:29 +0000 2018,387364838,Hobg0blin,en,en,-75.46211285,40.22038861

961992294667833344,Fri Feb 09 15:56:50 +0000 2018,824743858365923328,.🅰.,pt,pt,-77.9155395,35.7212689

961992336623439873,Fri Feb 09 15:57:00 +0000 2018,4753776561,Gonca Ozdemir,tr,tr,29.00631998,41.04410594

